 Total battles: 267947
 Avg. weight/team: 0.033
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Arcanine           | 31.55477% | 141420 | 26.390% | 63072  | 26.371% | 
 | 2    | Excadrill          | 29.44570% | 117203 | 21.871% | 59306  | 24.796% | 
 | 3    | Whimsicott         | 29.01863% | 158931 | 29.657% | 54334  | 22.717% | 
 | 4    | Dragapult          | 26.59561% | 130740 | 24.397% | 60790  | 25.417% | 
 | 5    | Dracovish          | 22.63314% | 121724 | 22.714% | 69477  | 29.049% | 
 | 6    | Gastrodon          | 22.30050% | 101107 | 18.867% | 49857  | 20.846% | 
 | 7    | Grimmsnarl         | 21.49666% | 125737 | 23.463% | 46409  | 19.404% | 
 | 8    | Duraludon          | 20.89214% | 92309  | 17.225% | 41893  | 17.516% | 
 | 9    | Tyranitar          | 17.51504% | 77605  | 14.481% | 35831  | 14.981% | 
 | 10   | Indeedee-F         | 16.03507% | 76185  | 14.216% | 30595  | 12.792% | 
 | 11   | Rotom-Wash         | 15.82401% | 82977  | 15.484% | 40641  | 16.992% | 
 | 12   | Torkoal            | 15.74539% | 54632  | 10.195% | 29090  | 12.163% | 
 | 13   | Corviknight        | 15.66423% | 85156  | 15.890% | 33245  | 13.900% | 
 | 14   | Rhyperior          | 15.60107% | 49173  |  9.176% | 28536  | 11.931% | 
 | 15   | Togekiss           | 14.71713% | 63090  | 11.773% | 28426  | 11.885% | 
 | 16   | Braviary           | 14.39191% | 78855  | 14.715% | 28373  | 11.863% | 
 | 17   | Rotom-Mow          | 14.02785% | 41597  |  7.762% | 17238  |  7.207% | 
 | 18   | Sylveon            | 12.23443% | 46458  |  8.669% | 22780  |  9.524% | 
 | 19   | Mimikyu            | 12.15065% | 50241  |  9.375% | 20188  |  8.441% | 
 | 20   | Hatterene          | 10.99270% | 64312  | 12.001% | 27408  | 11.460% | 
 | 21   | Gyarados           |  9.61126% | 47485  |  8.861% | 22928  |  9.586% | 
 | 22   | Snorlax            |  9.13089% | 33838  |  6.314% | 15852  |  6.628% | 
 | 23   | Mudsdale           |  8.76027% | 39925  |  7.450% | 20564  |  8.598% | 
 | 24   | Dusclops           |  8.62809% | 20537  |  3.832% | 8132   |  3.400% | 
 | 25   | Ferrothorn         |  7.87329% | 62168  | 11.601% | 28519  | 11.924% | 
 | 26   | Rotom-Heat         |  7.47853% | 44251  |  8.257% | 20213  |  8.451% | 
 | 27   | Conkeldurr         |  6.93782% | 29581  |  5.520% | 14148  |  5.915% | 
 | 28   | Scrafty            |  6.87077% | 29057  |  5.422% | 13644  |  5.705% | 
 | 29   | Charizard          |  6.69173% | 29705  |  5.543% | 14278  |  5.970% | 
 | 30   | Chandelure         |  6.55359% | 25711  |  4.798% | 10682  |  4.466% | 
 | 31   | Darmanitan-Galar   |  6.07585% | 32267  |  6.021% | 16460  |  6.882% | 
 | 32   | Hydreigon          |  5.58622% | 33254  |  6.205% | 15685  |  6.558% | 
 | 33   | Pelipper           |  4.70734% | 38485  |  7.181% | 17184  |  7.185% | 
 | 34   | Bronzong           |  4.51242% | 16833  |  3.141% | 6201   |  2.593% | 
 | 35   | Lucario            |  4.47103% | 41954  |  7.829% | 20935  |  8.753% | 
 | 36   | Oranguru           |  4.20605% | 22399  |  4.180% | 7960   |  3.328% | 
 | 37   | Butterfree         |  4.10052% | 14440  |  2.695% | 5757   |  2.407% | 
 | 38   | Durant             |  3.56289% | 4866   |  0.908% | 2145   |  0.897% | 
 | 39   | Ludicolo           |  3.53915% | 27188  |  5.073% | 13827  |  5.781% | 
 | 40   | Gothitelle         |  3.20146% | 11777  |  2.198% | 4703   |  1.966% | 
 | 41   | Hawlucha           |  2.81814% | 14430  |  2.693% | 6286   |  2.628% | 
 | 42   | Aegislash          |  2.73239% | 17251  |  3.219% | 7330   |  3.065% | 
 | 43   | Kommo-o            |  2.68177% | 13319  |  2.485% | 6531   |  2.731% | 
 | 44   | Lapras             |  2.60359% | 14348  |  2.677% | 7683   |  3.212% | 
 | 45   | Hitmontop          |  2.60023% | 21710  |  4.051% | 8905   |  3.723% | 
 | 46   | Milotic            |  2.52884% | 25277  |  4.717% | 10477  |  4.381% | 
 | 47   | Vileplume          |  2.36653% | 10098  |  1.884% | 4173   |  1.745% | 
 | 48   | Toxtricity         |  2.34147% | 29101  |  5.430% | 12852  |  5.374% | 
