 Total battles: 309245
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 36.57941% | 226240 | 36.579% | 101372 | 37.907% | 
 | 2    | Mimikyu            | 32.56657% | 201421 | 32.567% | 73175  | 27.363% | 
 | 3    | Excadrill          | 31.28135% | 193472 | 31.281% | 91042  | 34.044% | 
 | 4    | Corviknight        | 28.93369% | 178952 | 28.934% | 65679  | 24.560% | 
 | 5    | Togekiss           | 20.43994% | 126419 | 20.440% | 60172  | 22.501% | 
 | 6    | Hydreigon          | 19.47711% | 120464 | 19.477% | 44042  | 16.469% | 
 | 7    | Gyarados           | 17.49842% | 108226 | 17.498% | 46201  | 17.276% | 
 | 8    | Tyranitar          | 16.68467% | 103193 | 16.685% | 45966  | 17.189% | 
 | 9    | Grimmsnarl         | 16.33462% | 101028 | 16.335% | 53296  | 19.930% | 
 | 10   | Darmanitan-Galar   | 15.72378% | 97250  | 15.724% | 47972  | 17.939% | 
 | 11   | Rotom-Heat         | 14.51729% | 89788  | 14.517% | 37300  | 13.948% | 
 | 12   | Rotom-Wash         | 13.28574% | 82171  | 13.286% | 37226  | 13.920% | 
 | 13   | Ferrothorn         | 12.90255% | 79801  | 12.903% | 30079  | 11.248% | 
 | 14   | Toxapex            | 11.23963% | 69516  | 11.240% | 28172  | 10.535% | 
 | 15   | Sylveon            | 10.95571% | 67760  | 10.956% | 27814  | 10.401% | 
 | 16   | Dracovish          |  9.79757% | 60597  |  9.798% | 27555  | 10.304% | 
 | 17   | Aegislash          |  8.97686% | 55521  |  8.977% | 24810  |  9.277% | 
 | 18   | Cinderace          |  8.92739% | 55215  |  8.927% | 24655  |  9.220% | 
 | 19   | Gastrodon          |  7.90312% | 48880  |  7.903% | 20950  |  7.834% | 
 | 20   | Corsola-Galar      |  7.89148% | 48808  |  7.891% | 18738  |  7.007% | 
 | 21   | Charizard          |  7.82600% | 48403  |  7.826% | 22156  |  8.285% | 
 | 22   | Snorlax            |  7.35339% | 45480  |  7.353% | 18726  |  7.002% | 
 | 23   | Hippowdon          |  6.91959% | 42797  |  6.920% | 21470  |  8.029% | 
 | 24   | Cloyster           |  6.65524% | 41162  |  6.655% | 18573  |  6.945% | 
 | 25   | Arcanine           |  6.57181% | 40646  |  6.572% | 18085  |  6.763% | 
 | 26   | Hatterene          |  6.26316% | 38737  |  6.263% | 18779  |  7.022% | 
 | 27   | Toxtricity         |  6.19266% | 38301  |  6.193% | 15447  |  5.776% | 
 | 28   | Whimsicott         |  5.92120% | 36622  |  5.921% | 19622  |  7.337% | 
 | 29   | Conkeldurr         |  5.68594% | 35167  |  5.686% | 14121  |  5.280% | 
 | 30   | Ditto              |  5.14511% | 31822  |  5.145% | 11425  |  4.272% | 
 | 31   | Dracozolt          |  4.80590% | 29724  |  4.806% | 13500  |  5.048% | 
 | 32   | Duraludon          |  4.78633% | 29603  |  4.786% | 14451  |  5.404% | 
 | 33   | Quagsire           |  4.61317% | 28532  |  4.613% | 11822  |  4.421% | 
 | 34   | Haxorus            |  4.32909% | 26775  |  4.329% | 11644  |  4.354% | 
 | 35   | Umbreon            |  3.94752% | 24415  |  3.948% | 9883   |  3.696% | 
 | 36   | Polteageist        |  3.63757% | 22498  |  3.638% | 12921  |  4.832% | 
 | 37   | Rhyperior          |  3.56740% | 22064  |  3.567% | 11403  |  4.264% | 
 | 38   | Seismitoad         |  3.48025% | 21525  |  3.480% | 9811   |  3.669% | 
 | 39   | Gengar             |  3.43369% | 21237  |  3.434% | 10054  |  3.760% | 
 | 40   | Durant             |  3.37160% | 20853  |  3.372% | 10630  |  3.975% | 
 | 41   | Hawlucha           |  3.29496% | 20379  |  3.295% | 8761   |  3.276% | 
 | 42   | Rotom-Mow          |  3.26004% | 20163  |  3.260% | 7740   |  2.894% | 
 | 43   | Chandelure         |  3.19649% | 19770  |  3.196% | 8890   |  3.324% | 
 | 44   | Obstagoon          |  3.16852% | 19597  |  3.169% | 9222   |  3.448% | 
 | 45   | Clefable           |  3.02398% | 18703  |  3.024% | 8084   |  3.023% | 
 | 46   | Bisharp            |  2.99795% | 18542  |  2.998% | 8052   |  3.011% | 
 | 47   | Inteleon           |  2.86650% | 17729  |  2.866% | 7628   |  2.852% | 
 | 48   | Lapras             |  2.82769% | 17489  |  2.828% | 7937   |  2.968% | 
 | 49   | Butterfree         |  2.76464% | 17099  |  2.765% | 8458   |  3.163% | 
 | 50   | Milotic            |  2.69948% | 16696  |  2.699% | 7007   |  2.620% | 
 | 51   | Barraskewda        |  2.49834% | 15452  |  2.498% | 6302   |  2.357% | 
 | 52   | Lucario            |  2.42170% | 14978  |  2.422% | 6652   |  2.487% | 
 | 53   | Rillaboom          |  2.35865% | 14588  |  2.359% | 5424   |  2.028% | 
