 Total battles: 12071
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Toxtricity         | 29.60815% | 7148   | 29.608% | 5196   | 28.477% | 
 | 2    | Dragapult          | 27.75661% | 6701   | 27.757% | 5163   | 28.296% | 
 | 3    | Hydreigon          | 24.66241% | 5954   | 24.662% | 4570   | 25.046% | 
 | 4    | Dracovish          | 22.51263% | 5435   | 22.513% | 4098   | 22.459% | 
 | 5    | Corsola-Galar      | 19.48057% | 4703   | 19.481% | 3698   | 20.267% | 
 | 6    | Cinderace          | 19.35631% | 4673   | 19.356% | 3669   | 20.108% | 
 | 7    | Mew                | 14.20761% | 3430   | 14.208% | 2552   | 13.986% | 
 | 8    | Barraskewda        | 12.47204% | 3011   | 12.472% | 2165   | 11.865% | 
 | 9    | Avalugg            | 12.23594% | 2954   | 12.236% | 2207   | 12.096% | 
 | 10   | Goodra             | 11.54005% | 2786   | 11.540% | 2109   | 11.558% | 
 | 11   | Coalossal          | 11.28324% | 2724   | 11.283% | 2273   | 12.457% | 
 | 12   | Haxorus            | 11.05956% | 2670   | 11.060% | 1934   | 10.599% | 
 | 13   | Gyarados           | 10.80689% | 2609   | 10.807% | 1906   | 10.446% | 
 | 14   | Hatterene          | 10.75719% | 2597   | 10.757% | 1993   | 10.923% | 
 | 15   | Excadrill          | 10.14000% | 2448   | 10.140% | 1978   | 10.841% | 
 | 16   | Kommo-o            | 10.10687% | 2440   | 10.107% | 1738   |  9.525% | 
 | 17   | Tyranitar          |  9.62224% | 2323   |  9.622% | 1687   |  9.246% | 
 | 18   | Polteageist        |  9.45655% | 2283   |  9.457% | 1638   |  8.977% | 
 | 19   | Toxapex            |  8.62812% | 2083   |  8.628% | 1641   |  8.994% | 
 | 20   | Ditto              |  8.23875% | 1989   |  8.239% | 1393   |  7.634% | 
 | 21   | Frosmoth           |  7.54287% | 1821   |  7.543% | 1302   |  7.136% | 
 | 22   | Aegislash          |  7.40618% | 1788   |  7.406% | 1317   |  7.218% | 
 | 23   | Sirfetch'd         |  7.04995% | 1702   |  7.050% | 1267   |  6.944% | 
 | 24   | Corviknight        |  6.97125% | 1683   |  6.971% | 1237   |  6.779% | 
 | 25   | Weezing-Galar      |  6.86356% | 1657   |  6.864% | 1355   |  7.426% | 
 | 26   | Ferrothorn         |  6.80557% | 1643   |  6.806% | 1352   |  7.410% | 
 | 27   | Mandibuzz          |  6.67302% | 1611   |  6.673% | 1239   |  6.790% | 
 | 28   | Clefable           |  6.22152% | 1502   |  6.222% | 1154   |  6.325% | 
 | 29   | Conkeldurr         |  5.67062% | 1369   |  5.671% | 1042   |  5.711% | 
 | 30   | Arcanine           |  5.54635% | 1339   |  5.546% | 1044   |  5.722% | 
 | 31   | Chandelure         |  5.45522% | 1317   |  5.455% | 1012   |  5.546% | 
 | 32   | Pelipper           |  5.28954% | 1277   |  5.290% | 1175   |  6.440% | 
 | 33   | Togekiss           |  5.26883% | 1272   |  5.269% | 971    |  5.322% | 
 | 34   | Lucario            |  5.22326% | 1261   |  5.223% | 877    |  4.806% | 
 | 35   | Boltund            |  5.01615% | 1211   |  5.016% | 888    |  4.867% | 
 | 36   | Obstagoon          |  4.85047% | 1171   |  4.850% | 883    |  4.839% | 
 | 37   | Dracozolt          |  4.84633% | 1170   |  4.846% | 834    |  4.571% | 
 | 38   | Inteleon           |  4.76762% | 1151   |  4.768% | 927    |  5.080% | 
 | 39   | Vikavolt           |  4.65164% | 1123   |  4.652% | 935    |  5.124% | 
 | 40   | Grimmsnarl         |  4.62265% | 1116   |  4.623% | 883    |  4.839% | 
 | 41   | Darmanitan-Galar   |  4.56880% | 1103   |  4.569% | 885    |  4.850% | 
 | 42   | Dhelmise           |  4.46939% | 1079   |  4.469% | 800    |  4.384% | 
 | 43   | Gengar             |  4.25814% | 1028   |  4.258% | 734    |  4.023% | 
 | 44   | Centiskorch        |  4.08417% | 986    |  4.084% | 722    |  3.957% | 
 | 45   | Copperajah         |  4.05517% | 979    |  4.055% | 756    |  4.143% | 
 | 46   | Noivern            |  3.71966% | 898    |  3.720% | 679    |  3.721% | 
 | 47   | Seismitoad         |  3.61610% | 873    |  3.616% | 664    |  3.639% | 
 | 48   | Appletun           |  3.42971% | 828    |  3.430% | 624    |  3.420% | 
 | 49   | Shuckle            |  3.33858% | 806    |  3.339% | 760    |  4.165% | 
 | 50   | Steelix            |  3.23088% | 780    |  3.231% | 602    |  3.299% | 
 | 51   | Reuniclus          |  3.10248% | 749    |  3.102% | 548    |  3.003% | 
 | 52   | Mimikyu            |  2.87880% | 695    |  2.879% | 545    |  2.987% | 
 | 53   | Hawlucha           |  2.85395% | 689    |  2.854% | 479    |  2.625% | 
 | 54   | Orbeetle           |  2.85395% | 689    |  2.854% | 595    |  3.261% | 
 | 55   | Snorlax            |  2.81667% | 680    |  2.817% | 536    |  2.938% | 
 | 56   | Cinccino           |  2.77939% | 671    |  2.779% | 531    |  2.910% | 
 | 57   | Bisharp            |  2.69240% | 650    |  2.692% | 516    |  2.828% | 
 | 58   | Rotom-Wash         |  2.67583% | 646    |  2.676% | 505    |  2.768% | 
 | 59   | Falinks            |  2.66341% | 643    |  2.663% | 434    |  2.379% | 
 | 60   | Cloyster           |  2.62613% | 634    |  2.626% | 471    |  2.581% | 
 | 61   | Jellicent          |  2.60542% | 629    |  2.605% | 503    |  2.757% | 
 | 62   | Claydol            |  2.45630% | 593    |  2.456% | 503    |  2.757% | 
 | 63   | Ribombee           |  2.36931% | 572    |  2.369% | 493    |  2.702% | 
 | 64   | Gardevoir          |  2.34860% | 567    |  2.349% | 421    |  2.307% | 
 | 65   | Barbaracle         |  2.30304% | 556    |  2.303% | 412    |  2.258% | 
 | 66   | Araquanid          |  2.19949% | 531    |  2.199% | 462    |  2.532% | 
