 Total battles: 2465
 Avg. weight/team: 0.576
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Equilibra          | 25.63722% | 1153   | 23.387% | 838    | 23.243% | 
 | 2    | Snaelstrom         | 24.51515% | 1080   | 21.907% | 926    | 25.684% | 
 | 3    | Cawmodore          | 22.75049% | 1093   | 22.170% | 869    | 24.103% | 
 | 4    | Caribolt           | 19.88469% | 970    | 19.675% | 713    | 19.776% | 
 | 5    | Pajantom           | 19.73517% | 986    | 20.000% | 672    | 18.639% | 
 | 6    | Colossoil          | 19.43101% | 886    | 17.972% | 657    | 18.223% | 
 | 7    | Arghonaut          | 19.21074% | 872    | 17.688% | 682    | 18.916% | 
 | 8    | Jumbao             | 18.64890% | 823    | 16.694% | 553    | 15.338% | 
 | 9    | Tomohawk           | 18.10637% | 796    | 16.146% | 602    | 16.697% | 
 | 10   | Revenankh          | 14.77961% | 621    | 12.596% | 445    | 12.343% | 
 | 11   | Aurumoth           | 14.35336% | 733    | 14.868% | 440    | 12.204% | 
 | 12   | Stratagem          | 14.34380% | 692    | 14.037% | 487    | 13.508% | 
 | 13   | Mollux             | 13.32221% | 584    | 11.846% | 447    | 12.398% | 
 | 14   | Kerfluffle         | 11.96304% | 563    | 11.420% | 415    | 11.511% | 
 | 15   | Smokomodo          | 11.69198% | 600    | 12.170% | 451    | 12.509% | 
 | 16   | Syclant            | 11.54279% | 567    | 11.501% | 387    | 10.734% | 
 | 17   | Darmanitan-Galar   | 11.40973% | 508    | 10.304% | 375    | 10.401% | 
 | 18   | Crucibelle         | 11.33739% | 533    | 10.811% | 410    | 11.372% | 
 | 19   | Volkraken          | 11.23962% | 553    | 11.217% | 414    | 11.483% | 
 | 20   | Cyclohm            | 10.73856% | 555    | 11.258% | 398    | 11.039% | 
 | 21   | Plasmanta          | 10.66108% | 506    | 10.264% | 370    | 10.263% | 
 | 22   | Kitsunoh           | 10.40178% | 550    | 11.156% | 419    | 11.622% | 
 | 23   | Naviathan          | 10.01951% | 523    | 10.609% | 385    | 10.679% | 
 | 24   | Dragapult          |  9.62738% | 496    | 10.061% | 378    | 10.484% | 
 | 25   | Krilowatt          |  9.08732% | 418    |  8.479% | 264    |  7.322% | 
 | 26   | Dracovish          |  8.77539% | 449    |  9.108% | 346    |  9.597% | 
 | 27   | Corviknight        |  8.05491% | 402    |  8.154% | 303    |  8.404% | 
 | 28   | Fidgit             |  7.80512% | 381    |  7.728% | 337    |  9.347% | 
 | 29   | Malaconda          |  7.48505% | 429    |  8.702% | 307    |  8.515% | 
 | 30   | Toxtricity         |  6.70232% | 349    |  7.079% | 273    |  7.572% | 
 | 31   | Necturna           |  6.68731% | 304    |  6.166% | 223    |  6.185% | 
 | 32   | Pyroak             |  6.68695% | 357    |  7.241% | 284    |  7.877% | 
 | 33   | Ferrothorn         |  5.79441% | 284    |  5.761% | 227    |  6.296% | 
 | 34   | Voodoom            |  5.17520% | 255    |  5.172% | 164    |  4.549% | 
 | 35   | Necrozma-Dusk-Mane |  5.04049% | 198    |  4.016% | 137    |  3.800% | 
 | 36   | Grimmsnarl         |  4.88875% | 246    |  4.990% | 178    |  4.937% | 
 | 37   | Hatterene          |  4.79091% | 219    |  4.442% | 157    |  4.355% | 
 | 38   | Aegislash          |  4.40106% | 210    |  4.260% | 168    |  4.660% | 
 | 39   | Clefable           |  4.38878% | 172    |  3.489% | 128    |  3.550% | 
 | 40   | Corsola-Galar      |  4.22513% | 210    |  4.260% | 163    |  4.521% | 
 | 41   | Marshadow          |  3.74418% | 142    |  2.880% | 94     |  2.607% | 
 | 42   | Cinderace          |  3.68751% | 223    |  4.523% | 169    |  4.688% | 
 | 43   | Kyurem-White       |  3.41859% | 140    |  2.840% | 110    |  3.051% | 
 | 44   | Toxapex            |  3.36971% | 160    |  3.245% | 121    |  3.356% | 
 | 45   | Charizard          |  2.97506% | 191    |  3.874% | 150    |  4.161% | 
 | 46   | Mewtwo             |  2.95516% | 112    |  2.272% | 65     |  1.803% | 
 | 47   | Seismitoad         |  2.76671% | 115    |  2.333% | 104    |  2.885% | 
 | 48   | Hydreigon          |  2.68147% | 143    |  2.901% | 103    |  2.857% | 
 | 49   | Mimikyu            |  2.53132% | 158    |  3.205% | 119    |  3.301% | 
 | 50   | Rotom-Heat         |  2.51490% | 111    |  2.252% | 94     |  2.607% | 
 | 51   | Tyranitar          |  2.46988% | 157    |  3.185% | 119    |  3.301% | 
 | 52   | Barraskewda        |  2.45378% | 116    |  2.353% | 76     |  2.108% | 
 | 53   | Gyarados           |  2.25694% | 104    |  2.110% | 73     |  2.025% | 
 | 54   | Excadrill          |  2.16941% | 115    |  2.333% | 87     |  2.413% | 
 | 55   | Pelipper           |  2.05948% | 101    |  2.049% | 93     |  2.580% | 
 | 56   | Ditto              |  2.05217% | 106    |  2.150% | 77     |  2.136% | 
 | 57   | Obstagoon          |  1.84824% | 93     |  1.886% | 66     |  1.831% | 
 | 58   | Rotom-Wash         |  1.83999% | 95     |  1.927% | 75     |  2.080% | 
 | 59   | Kommo-o            |  1.78148% | 75     |  1.521% | 57     |  1.581% | 
 | 60   | Centiskorch        |  1.74391% | 103    |  2.089% | 85     |  2.358% | 
