 Total battles: 275013
 Avg. weight/team: 0.541
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dracovish          | 28.08536% | 148663 | 27.028% | 0      |  0.000% | 
 | 2    | Whimsicott         | 24.53929% | 131188 | 23.851% | 0      |  0.000% | 
 | 3    | Grimmsnarl         | 19.79325% | 104714 | 19.038% | 0      |  0.000% | 
 | 4    | Dragapult          | 19.30128% | 104212 | 18.947% | 0      |  0.000% | 
 | 5    | Hatterene          | 17.12038% | 88087  | 16.015% | 0      |  0.000% | 
 | 6    | Arcanine           | 16.83584% | 85082  | 15.469% | 0      |  0.000% | 
 | 7    | Gastrodon          | 13.81039% | 67453  | 12.264% | 0      |  0.000% | 
 | 8    | Excadrill          | 13.32616% | 66976  | 12.177% | 0      |  0.000% | 
 | 9    | Lucario            | 12.23899% | 70081  | 12.741% | 0      |  0.000% | 
 | 10   | Tyranitar          | 12.16723% | 61677  | 11.213% | 0      |  0.000% | 
 | 11   | Corviknight        | 12.14832% | 65635  | 11.933% | 0      |  0.000% | 
 | 12   | Ferrothorn         | 10.49979% | 56903  | 10.346% | 0      |  0.000% | 
 | 13   | Darmanitan-Galar   |  9.91686% | 53617  |  9.748% | 0      |  0.000% | 
 | 14   | Pelipper           |  9.61326% | 51525  |  9.368% | 0      |  0.000% | 
 | 15   | Indeedee-F         |  9.04884% | 44357  |  8.065% | 0      |  0.000% | 
 | 16   | Braviary           |  8.85994% | 43618  |  7.930% | 0      |  0.000% | 
 | 17   | Toxtricity         |  8.48509% | 48422  |  8.804% | 0      |  0.000% | 
 | 18   | Togekiss           |  8.25551% | 44089  |  8.016% | 0      |  0.000% | 
 | 19   | Duraludon          |  8.15585% | 41328  |  7.514% | 0      |  0.000% | 
 | 20   | Torkoal            |  7.88103% | 37173  |  6.758% | 0      |  0.000% | 
 | 21   | Gyarados           |  7.57677% | 39436  |  7.170% | 0      |  0.000% | 
 | 22   | Rotom-Wash         |  7.30187% | 38079  |  6.923% | 0      |  0.000% | 
 | 23   | Snorlax            |  6.76857% | 35558  |  6.465% | 0      |  0.000% | 
 | 24   | Mimikyu            |  6.72081% | 35660  |  6.483% | 0      |  0.000% | 
 | 25   | Sylveon            |  6.03584% | 29534  |  5.370% | 0      |  0.000% | 
 | 26   | Aegislash          |  5.80547% | 33377  |  6.068% | 0      |  0.000% | 
 | 27   | Barraskewda        |  5.65067% | 31454  |  5.719% | 0      |  0.000% | 
 | 28   | Lapras             |  5.57106% | 27503  |  5.000% | 0      |  0.000% | 
 | 29   | Alcremie           |  5.35716% | 34421  |  6.258% | 0      |  0.000% | 
 | 30   | Hydreigon          |  5.33173% | 28496  |  5.181% | 0      |  0.000% | 
 | 31   | Cinderace          |  5.27015% | 30745  |  5.590% | 0      |  0.000% | 
 | 32   | Coalossal          |  5.08650% | 29540  |  5.371% | 0      |  0.000% | 
 | 33   | Runerigus          |  5.07628% | 27148  |  4.936% | 0      |  0.000% | 
 | 34   | Oranguru           |  5.03977% | 28254  |  5.137% | 0      |  0.000% | 
 | 35   | Chandelure         |  4.76145% | 24127  |  4.387% | 0      |  0.000% | 
 | 36   | Charizard          |  4.47283% | 23949  |  4.354% | 0      |  0.000% | 
 | 37   | Copperajah         |  4.44687% | 23314  |  4.239% | 0      |  0.000% | 
 | 38   | Conkeldurr         |  4.41592% | 21887  |  3.979% | 0      |  0.000% | 
 | 39   | Rotom-Heat         |  4.33798% | 23159  |  4.211% | 0      |  0.000% | 
 | 40   | Milotic            |  4.22391% | 22328  |  4.059% | 0      |  0.000% | 
 | 41   | Rhyperior          |  4.13915% | 19301  |  3.509% | 0      |  0.000% | 
 | 42   | Corsola-Galar      |  4.03789% | 23545  |  4.281% | 0      |  0.000% | 
 | 43   | Weezing-Galar      |  3.90085% | 22606  |  4.110% | 0      |  0.000% | 
 | 44   | Dusclops           |  3.89232% | 18266  |  3.321% | 0      |  0.000% | 
 | 45   | Ludicolo           |  3.82861% | 20519  |  3.731% | 0      |  0.000% | 
 | 46   | Appletun           |  3.72314% | 23955  |  4.355% | 0      |  0.000% | 
 | 47   | Toxapex            |  3.39792% | 21963  |  3.993% | 0      |  0.000% | 
 | 48   | Clefable           |  3.21187% | 20465  |  3.721% | 0      |  0.000% | 
 | 49   | Gengar             |  3.11142% | 17971  |  3.267% | 0      |  0.000% | 
 | 50   | Bronzong           |  3.08145% | 16261  |  2.956% | 0      |  0.000% | 
 | 51   | Dracozolt          |  3.07647% | 16664  |  3.030% | 0      |  0.000% | 
 | 52   | Scrafty            |  2.98865% | 14528  |  2.641% | 0      |  0.000% | 
 | 53   | Centiskorch        |  2.88665% | 17653  |  3.209% | 0      |  0.000% | 
 | 54   | Mudsdale           |  2.87735% | 14609  |  2.656% | 0      |  0.000% | 
 | 55   | Gothitelle         |  2.87115% | 13654  |  2.482% | 0      |  0.000% | 
 | 56   | Obstagoon          |  2.75354% | 15869  |  2.885% | 0      |  0.000% | 
 | 57   | Raichu             |  2.63297% | 13477  |  2.450% | 0      |  0.000% | 
 | 58   | Kommo-o            |  2.61638% | 14626  |  2.659% | 0      |  0.000% | 
 | 59   | Seismitoad         |  2.51755% | 14128  |  2.569% | 0      |  0.000% | 
 | 60   | Cursola            |  2.50721% | 14141  |  2.571% | 0      |  0.000% | 
 | 61   | Vikavolt           |  2.49188% | 12493  |  2.271% | 0      |  0.000% | 
 | 62   | Hitmontop          |  2.40730% | 12028  |  2.187% | 0      |  0.000% | 
 | 63   | Stonjourner        |  2.40018% | 13946  |  2.536% | 0      |  0.000% | 
 | 64   | Rotom-Mow          |  2.38713% | 11237  |  2.043% | 0      |  0.000% | 
 | 65   | Hawlucha           |  2.33873% | 12139  |  2.207% | 0      |  0.000% | 
 | 66   | Weavile            |  2.30394% | 12903  |  2.346% | 0      |  0.000% | 
 | 67   | Goodra             |  2.23949% | 12970  |  2.358% | 0      |  0.000% | 
 | 68   | Heliolisk          |  2.22092% | 11720  |  2.131% | 0      |  0.000% | 
 | 69   | Greedent           |  2.20762% | 12853  |  2.337% | 0      |  0.000% | 
 | 70   | Sirfetch'd         |  2.20427% | 12157  |  2.210% | 0      |  0.000% | 
 | 71   | Araquanid          |  2.15139% | 12389  |  2.252% | 0      |  0.000% | 
 | 72   | Butterfree         |  2.14738% | 11499  |  2.091% | 0      |  0.000% | 
 | 73   | Falinks            |  2.12621% | 13041  |  2.371% | 0      |  0.000% | 
 | 74   | Polteageist        |  2.10708% | 13375  |  2.432% | 0      |  0.000% | 
 | 75   | Reuniclus          |  2.07379% | 10933  |  1.988% | 0      |  0.000% | 
 | 76   | Inteleon           |  2.06970% | 13043  |  2.371% | 0      |  0.000% | 
 | 77   | Ninetales          |  2.05324% | 11781  |  2.142% | 0      |  0.000% | 
 | 78   | Gardevoir          |  2.03612% | 11970  |  2.176% | 0      |  0.000% | 
 | 79   | Malamar            |  1.99082% | 12512  |  2.275% | 0      |  0.000% | 
 | 80   | Bisharp            |  1.97793% | 10889  |  1.980% | 0      |  0.000% | 
 | 81   | Ditto              |  1.96604% | 11934  |  2.170% | 0      |  0.000% | 
 | 82   | Eiscue             |  1.96134% | 12679  |  2.305% | 0      |  0.000% | 
 | 83   | Mew                |  1.90446% | 10598  |  1.927% | 0      |  0.000% | 
 | 84   | Perrserker         |  1.86435% | 10420  |  1.894% | 0      |  0.000% | 
 | 85   | Frosmoth           |  1.80986% | 11675  |  2.123% | 0      |  0.000% | 
 | 86   | Rillaboom          |  1.80193% | 9686   |  1.761% | 0      |  0.000% | 
 | 87   | Orbeetle           |  1.77255% | 11530  |  2.096% | 0      |  0.000% | 
 | 88   | Jellicent          |  1.76312% | 9198   |  1.672% | 0      |  0.000% | 
 | 89   | Cofagrigus         |  1.67605% | 8742   |  1.589% | 0      |  0.000% | 
 | 90   | Mr. Mime-Galar     |  1.67073% | 9123   |  1.659% | 0      |  0.000% | 
 | 91   | Vanilluxe          |  1.65274% | 8698   |  1.581% | 0      |  0.000% | 
 | 92   | Escavalier         |  1.65259% | 8818   |  1.603% | 0      |  0.000% | 
 | 93   | Sableye            |  1.61496% | 9918   |  1.803% | 0      |  0.000% | 
 | 94   | Shuckle            |  1.60150% | 10628  |  1.932% | 0      |  0.000% | 
 | 95   | Drednaw            |  1.59319% | 9532   |  1.733% | 0      |  0.000% | 
 | 96   | Abomasnow          |  1.58858% | 9645   |  1.754% | 0      |  0.000% | 
 | 97   | Arctozolt          |  1.56505% | 8925   |  1.623% | 0      |  0.000% | 
 | 98   | Ribombee           |  1.52527% | 8798   |  1.600% | 0      |  0.000% | 
 | 99   | Pincurchin         |  1.51973% | 9409   |  1.711% | 0      |  0.000% | 
 | 100  | Cramorant          |  1.51496% | 9854   |  1.792% | 0      |  0.000% | 
 | 101  | Salazzle           |  1.50965% | 9603   |  1.746% | 0      |  0.000% | 
 | 102  | Golisopod          |  1.49757% | 8021   |  1.458% | 0      |  0.000% | 
 | 103  | Machamp            |  1.46138% | 7923   |  1.440% | 0      |  0.000% | 
 | 104  | Indeedee           |  1.42587% | 7499   |  1.363% | 0      |  0.000% | 
 | 105  | Vileplume          |  1.42007% | 7017   |  1.276% | 0      |  0.000% | 
 | 106  | Mr. Rime           |  1.39767% | 8362   |  1.520% | 0      |  0.000% | 
 | 107  | Galvantula         |  1.37411% | 7932   |  1.442% | 0      |  0.000% | 
 | 108  | Cloyster           |  1.34967% | 8586   |  1.561% | 0      |  0.000% | 
 | 109  | Gigalith           |  1.32261% | 6932   |  1.260% | 0      |  0.000% | 
