 Total battles: 46135
 Avg. weight/team: 0.004
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 55.99928% | 36929  | 40.023% | 15720  | 39.855% | 
 | 2    | Excadrill          | 39.38458% | 16576  | 17.965% | 6999   | 17.745% | 
 | 3    | Grimmsnarl         | 37.24455% | 22599  | 24.492% | 11467  | 29.073% | 
 | 4    | Mimikyu            | 33.11007% | 15478  | 16.775% | 6525   | 16.543% | 
 | 5    | Corviknight        | 31.08676% | 21040  | 22.803% | 7171   | 18.181% | 
 | 6    | Togekiss           | 25.52162% | 10933  | 11.849% | 5177   | 13.125% | 
 | 7    | Tyranitar          | 19.35057% | 8641   |  9.365% | 3675   |  9.317% | 
 | 8    | Rotom-Heat         | 18.79874% | 9061   |  9.820% | 3813   |  9.667% | 
 | 9    | Hydreigon          | 18.10965% | 9131   |  9.896% | 3750   |  9.508% | 
 | 10   | Snorlax            | 16.98355% | 6414   |  6.951% | 3051   |  7.735% | 
 | 11   | Ferrothorn         | 16.31103% | 14784  | 16.023% | 5975   | 15.149% | 
 | 12   | Lapras             | 16.08167% | 4296   |  4.656% | 2601   |  6.594% | 
 | 13   | Gyarados           | 14.92382% | 11948  | 12.949% | 4718   | 11.962% | 
 | 14   | Rotom-Wash         | 13.98559% | 8343   |  9.042% | 3823   |  9.693% | 
 | 15   | Toxapex            | 13.03640% | 11746  | 12.730% | 4828   | 12.241% | 
 | 16   | Darmanitan-Galar   | 12.89010% | 20518  | 22.237% | 9924   | 25.161% | 
 | 17   | Dracovish          | 12.86709% | 18378  | 19.918% | 9389   | 23.804% | 
 | 18   | Dracozolt          | 12.03904% | 4752   |  5.150% | 1956   |  4.959% | 
 | 19   | Hippowdon          | 11.26207% | 2069   |  2.242% | 774    |  1.962% | 
 | 20   | Corsola-Galar      |  8.09321% | 14471  | 15.683% | 6403   | 16.234% | 
 | 21   | Sylveon            |  7.94457% | 4509   |  4.887% | 1622   |  4.112% | 
 | 22   | Conkeldurr         |  7.03375% | 3483   |  3.775% | 1430   |  3.626% | 
 | 23   | Chandelure         |  6.94750% | 2624   |  2.844% | 1210   |  3.068% | 
 | 24   | Seismitoad         |  6.66383% | 2898   |  3.141% | 1176   |  2.982% | 
 | 25   | Hatterene          |  5.93581% | 10143  | 10.993% | 4536   | 11.500% | 
