 Total battles: 7972
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 32.86503% | 5240   | 32.865% | 3777   | 32.034% | 
 | 2    | Corviknight        | 32.32564% | 5154   | 32.326% | 4158   | 35.265% | 
 | 3    | Arcanine           | 22.84872% | 3643   | 22.849% | 2821   | 23.926% | 
 | 4    | Cinderace          | 21.30582% | 3397   | 21.306% | 2506   | 21.254% | 
 | 5    | Eternatus          | 18.99147% | 3028   | 18.991% | 2311   | 19.600% | 
 | 6    | Toxtricity         | 17.95033% | 2862   | 17.950% | 2139   | 18.141% | 
 | 7    | Toxapex            | 14.80808% | 2361   | 14.808% | 1886   | 15.996% | 
 | 8    | Ditto              | 13.37180% | 2132   | 13.372% | 1417   | 12.018% | 
 | 9    | Dracovish          | 12.97040% | 2068   | 12.970% | 1467   | 12.442% | 
 | 10   | Barraskewda        | 12.55645% | 2002   | 12.556% | 1384   | 11.738% | 
 | 11   | Excadrill          | 12.48746% | 1991   | 12.487% | 1427   | 12.103% | 
 | 12   | Noivern            | 10.07903% | 1607   | 10.079% | 1227   | 10.407% | 
 | 13   | Hydreigon          |  9.94104% | 1585   |  9.941% | 1119   |  9.491% | 
 | 14   | Mimikyu            |  9.89087% | 1577   |  9.891% | 1185   | 10.050% | 
 | 15   | Gengar             |  9.41420% | 1501   |  9.414% | 1016   |  8.617% | 
 | 16   | Kommo-o            |  9.39538% | 1498   |  9.395% | 1086   |  9.211% | 
 | 17   | Dracozolt          |  8.40442% | 1340   |  8.404% | 958    |  8.125% | 
 | 18   | Grimmsnarl         |  8.15981% | 1301   |  8.160% | 963    |  8.167% | 
 | 19   | Cursola            |  7.86503% | 1254   |  7.865% | 880    |  7.464% | 
 | 20   | Lucario            |  7.80231% | 1244   |  7.802% | 867    |  7.353% | 
 | 21   | Darmanitan-Galar   |  6.97441% | 1112   |  6.974% | 814    |  6.904% | 
 | 22   | Hatterene          |  6.89915% | 1100   |  6.899% | 786    |  6.666% | 
 | 23   | Mew                |  6.62318% | 1056   |  6.623% | 783    |  6.641% | 
 | 24   | Inteleon           |  6.55419% | 1045   |  6.554% | 785    |  6.658% | 
 | 25   | Mandibuzz          |  6.39112% | 1019   |  6.391% | 752    |  6.378% | 
 | 26   | Weavile            |  6.37858% | 1017   |  6.379% | 765    |  6.488% | 
 | 27   | Tyranitar          |  6.24059% | 995    |  6.241% | 755    |  6.403% | 
 | 28   | Ferrothorn         |  6.22805% | 993    |  6.228% | 781    |  6.624% | 
 | 29   | Shuckle            |  5.95208% | 949    |  5.952% | 861    |  7.302% | 
 | 30   | Chandelure         |  5.89563% | 940    |  5.896% | 680    |  5.767% | 
 | 31   | Hippowdon          |  5.80783% | 926    |  5.808% | 762    |  6.463% | 
 | 32   | Rhyperior          |  5.72629% | 913    |  5.726% | 706    |  5.988% | 
 | 33   | Gyarados           |  5.53813% | 883    |  5.538% | 664    |  5.632% | 
 | 34   | Zamazenta-Crowned  |  5.28098% | 842    |  5.281% | 629    |  5.335% | 
 | 35   | Jellicent          |  5.16809% | 824    |  5.168% | 654    |  5.547% | 
 | 36   | Aegislash          |  5.01129% | 799    |  5.011% | 621    |  5.267% | 
 | 37   | Charizard          |  4.73532% | 755    |  4.735% | 609    |  5.165% | 
 | 38   | Duraludon          |  4.64752% | 741    |  4.648% | 562    |  4.766% | 
 | 39   | Mamoswine          |  4.53462% | 723    |  4.535% | 564    |  4.783% | 
 | 40   | Indeedee           |  4.08931% | 652    |  4.089% | 449    |  3.808% | 
 | 41   | Haxorus            |  3.90743% | 623    |  3.907% | 426    |  3.613% | 
 | 42   | Rillaboom          |  3.73181% | 595    |  3.732% | 451    |  3.825% | 
 | 43   | Centiskorch        |  3.54992% | 566    |  3.550% | 416    |  3.528% | 
 | 44   | Corsola-Galar      |  3.41821% | 545    |  3.418% | 418    |  3.545% | 
 | 45   | Clefable           |  3.31159% | 528    |  3.312% | 409    |  3.469% | 
 | 46   | Orbeetle           |  3.31159% | 528    |  3.312% | 455    |  3.859% | 
 | 47   | Vikavolt           |  3.07953% | 491    |  3.080% | 409    |  3.469% | 
 | 48   | Bisharp            |  2.86001% | 456    |  2.860% | 334    |  2.833% | 
 | 49   | Milotic            |  2.84119% | 453    |  2.841% | 348    |  2.951% | 
 | 50   | Gastrodon          |  2.80983% | 448    |  2.810% | 378    |  3.206% | 
 | 51   | Coalossal          |  2.75339% | 439    |  2.753% | 346    |  2.935% | 
 | 52   | Cloyster           |  2.73457% | 436    |  2.735% | 319    |  2.706% | 
 | 53   | Reuniclus          |  2.60286% | 415    |  2.603% | 289    |  2.451% | 
 | 54   | Vaporeon           |  2.59659% | 414    |  2.597% | 335    |  2.841% | 
 | 55   | Pelipper           |  2.48996% | 397    |  2.490% | 350    |  2.968% | 
 | 56   | Runerigus          |  2.48996% | 397    |  2.490% | 320    |  2.714% | 
 | 57   | Conkeldurr         |  2.46488% | 393    |  2.465% | 287    |  2.434% | 
 | 58   | Snorlax            |  2.45861% | 392    |  2.459% | 300    |  2.544% | 
 | 59   | Steelix            |  2.40843% | 384    |  2.408% | 294    |  2.493% | 
 | 60   | Salazzle           |  2.39589% | 382    |  2.396% | 273    |  2.315% | 
 | 61   | Jolteon            |  2.36453% | 377    |  2.365% | 299    |  2.536% | 
 | 62   | Dugtrio            |  2.30181% | 367    |  2.302% | 286    |  2.426% | 
 | 63   | Togekiss           |  2.23281% | 356    |  2.233% | 249    |  2.112% | 
 | 64   | Golisopod          |  2.14501% | 342    |  2.145% | 266    |  2.256% | 
 | 65   | Zacian             |  2.08856% | 333    |  2.089% | 214    |  1.815% | 
 | 66   | Rotom-Wash         |  2.06974% | 330    |  2.070% | 254    |  2.154% | 
 | 67   | Falinks            |  2.05720% | 328    |  2.057% | 215    |  1.823% | 
 | 68   | Polteageist        |  2.05093% | 327    |  2.051% | 222    |  1.883% | 
 | 69   | Boltund            |  2.03838% | 325    |  2.038% | 237    |  2.010% | 
 | 70   | Copperajah         |  2.01957% | 322    |  2.020% | 247    |  2.095% | 
 | 71   | Charizard-Mega-X   |  2.01330% | 321    |  2.013% | 271    |  2.298% | 
 | 72   | Goodra             |  2.00702% | 320    |  2.007% | 241    |  2.044% | 
 | 73   | Appletun           |  1.99448% | 318    |  1.994% | 225    |  1.908% | 
 | 74   | Sirfetch'd         |  1.97566% | 315    |  1.976% | 240    |  2.036% | 
 | 75   | Alcremie           |  1.95058% | 311    |  1.951% | 227    |  1.925% | 
 | 76   | Lapras             |  1.91295% | 305    |  1.913% | 246    |  2.086% | 
 | 77   | Morpeko            |  1.84395% | 294    |  1.844% | 245    |  2.078% | 
 | 78   | Frosmoth           |  1.78123% | 284    |  1.781% | 185    |  1.569% | 
