 Total battles: 7972
 Avg. weight/team: 0.116
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Corviknight        | 52.91547% | 5154   | 32.326% | 4158   | 35.265% | 
 | 2    | Arcanine           | 43.40683% | 3643   | 22.849% | 2821   | 23.926% | 
 | 3    | Eternatus          | 32.22630% | 3028   | 18.991% | 2311   | 19.600% | 
 | 4    | Dragapult          | 30.82047% | 5240   | 32.865% | 3777   | 32.034% | 
 | 5    | Excadrill          | 23.60951% | 1991   | 12.487% | 1427   | 12.103% | 
 | 6    | Toxapex            | 22.39686% | 2361   | 14.808% | 1886   | 15.996% | 
 | 7    | Ditto              | 21.69587% | 2132   | 13.372% | 1417   | 12.018% | 
 | 8    | Toxtricity         | 17.22645% | 2862   | 17.950% | 2139   | 18.141% | 
 | 9    | Rhyperior          | 15.92404% | 913    |  5.726% | 706    |  5.988% | 
 | 10   | Jellicent          | 14.29307% | 824    |  5.168% | 654    |  5.547% | 
 | 11   | Noivern            | 14.26833% | 1607   | 10.079% | 1227   | 10.407% | 
 | 12   | Mimikyu            | 12.82638% | 1577   |  9.891% | 1185   | 10.050% | 
 | 13   | Hippowdon          | 12.82174% | 926    |  5.808% | 762    |  6.463% | 
 | 14   | Hydreigon          | 12.54034% | 1585   |  9.941% | 1119   |  9.491% | 
 | 15   | Cinderace          | 11.48511% | 3397   | 21.306% | 2506   | 21.254% | 
 | 16   | Gengar             | 10.87800% | 1501   |  9.414% | 1016   |  8.617% | 
 | 17   | Dracozolt          | 10.19404% | 1340   |  8.404% | 958    |  8.125% | 
 | 18   | Cursola            |  9.17710% | 1254   |  7.865% | 880    |  7.464% | 
 | 19   | Mew                |  8.81227% | 1056   |  6.623% | 783    |  6.641% | 
 | 20   | Mamoswine          |  8.67295% | 723    |  4.535% | 564    |  4.783% | 
 | 21   | Kommo-o            |  8.64200% | 1498   |  9.395% | 1086   |  9.211% | 
 | 22   | Barraskewda        |  8.47957% | 2002   | 12.556% | 1384   | 11.738% | 
 | 23   | Chandelure         |  8.34408% | 940    |  5.896% | 680    |  5.767% | 
 | 24   | Vikavolt           |  7.58251% | 491    |  3.080% | 409    |  3.469% | 
 | 25   | Lucario            |  6.75729% | 1244   |  7.802% | 867    |  7.353% | 
 | 26   | Mandibuzz          |  6.75365% | 1019   |  6.391% | 752    |  6.378% | 
 | 27   | Clefable           |  6.44982% | 528    |  3.312% | 409    |  3.469% | 
 | 28   | Gastrodon          |  6.04118% | 448    |  2.810% | 378    |  3.206% | 
 | 29   | Dracovish          |  5.91225% | 2068   | 12.970% | 1467   | 12.442% | 
 | 30   | Gourgeist-Super    |  5.49345% | 241    |  1.512% | 175    |  1.484% | 
 | 31   | Weavile            |  5.17093% | 1017   |  6.379% | 765    |  6.488% | 
 | 32   | Shuckle            |  4.98655% | 949    |  5.952% | 861    |  7.302% | 
 | 33   | Darmanitan-Galar   |  4.93480% | 1112   |  6.974% | 814    |  6.904% | 
 | 34   | Inteleon           |  4.74566% | 1045   |  6.554% | 785    |  6.658% | 
 | 35   | Hatterene          |  4.25721% | 1100   |  6.899% | 786    |  6.666% | 
 | 36   | Rotom-Wash         |  4.11878% | 330    |  2.070% | 254    |  2.154% | 
 | 37   | Tyranitar          |  3.96808% | 995    |  6.241% | 755    |  6.403% | 
 | 38   | Ferrothorn         |  3.95419% | 993    |  6.228% | 781    |  6.624% | 
 | 39   | Dugtrio            |  3.63061% | 367    |  2.302% | 286    |  2.426% | 
 | 40   | Gyarados           |  3.53490% | 883    |  5.538% | 664    |  5.632% | 
 | 41   | Vaporeon           |  3.38096% | 414    |  2.597% | 335    |  2.841% | 
 | 42   | Reuniclus          |  3.36558% | 415    |  2.603% | 289    |  2.451% | 
 | 43   | Milotic            |  3.30340% | 453    |  2.841% | 348    |  2.951% | 
 | 44   | Grimmsnarl         |  3.28091% | 1301   |  8.160% | 963    |  8.167% | 
 | 45   | Zamazenta-Crowned  |  3.20402% | 842    |  5.281% | 629    |  5.335% | 
 | 46   | Runerigus          |  3.10944% | 397    |  2.490% | 320    |  2.714% | 
 | 47   | Corsola-Galar      |  3.04415% | 545    |  3.418% | 418    |  3.545% | 
 | 48   | Indeedee           |  3.04292% | 652    |  4.089% | 449    |  3.808% | 
 | 49   | Wobbuffet          |  2.74667% | 161    |  1.010% | 101    |  0.857% | 
 | 50   | Drampa             |  2.19302% | 143    |  0.897% | 111    |  0.941% | 
 | 51   | Steelix            |  2.17016% | 384    |  2.408% | 294    |  2.493% | 
 | 52   | Rotom-Heat         |  2.05591% | 235    |  1.474% | 202    |  1.713% | 
 | 53   | Pelipper           |  2.01866% | 397    |  2.490% | 350    |  2.968% | 
 | 54   | Duraludon          |  1.98033% | 741    |  4.648% | 562    |  4.766% | 
 | 55   | Haxorus            |  1.90147% | 623    |  3.907% | 426    |  3.613% | 
 | 56   | Mr. Rime           |  1.82385% | 178    |  1.116% | 121    |  1.026% | 
 | 57   | Orbeetle           |  1.80605% | 528    |  3.312% | 455    |  3.859% | 
 | 58   | Golisopod          |  1.74453% | 342    |  2.145% | 266    |  2.256% | 
 | 59   | Bisharp            |  1.73542% | 456    |  2.860% | 334    |  2.833% | 
 | 60   | Salazzle           |  1.61661% | 382    |  2.396% | 273    |  2.315% | 
 | 61   | Appletun           |  1.61022% | 318    |  1.994% | 225    |  1.908% | 
 | 62   | Copperajah         |  1.56420% | 322    |  2.020% | 247    |  2.095% | 
 | 63   | Torkoal            |  1.48477% | 179    |  1.123% | 134    |  1.136% | 
 | 64   | Cloyster           |  1.44526% | 436    |  2.735% | 319    |  2.706% | 
 | 65   | Snorlax            |  1.37465% | 392    |  2.459% | 300    |  2.544% | 
