 Total battles: 50670
 Avg. weight/team: 0.017
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ditto              | 21.50137% | 8301   |  8.191% | 5608   |  7.539% | 
 | 2    | Kartana            | 21.30893% | 9890   |  9.759% | 6964   |  9.362% | 
 | 3    | Zygarde            | 20.55803% | 6806   |  6.716% | 4521   |  6.078% | 
 | 4    | Magearna           | 20.40974% | 8186   |  8.078% | 5663   |  7.613% | 
 | 5    | Blastoise-Mega     | 16.37991% | 10168  | 10.034% | 6898   |  9.274% | 
 | 6    | Dracovish          | 16.33731% | 9016   |  8.897% | 6660   |  8.954% | 
 | 7    | Landorus-Therian   | 16.31575% | 12586  | 12.420% | 10227  | 13.749% | 
 | 8    | Ferrothorn         | 16.27011% | 8921   |  8.803% | 7334   |  9.860% | 
 | 9    | Toxapex            | 14.48395% | 6997   |  6.904% | 5379   |  7.231% | 
 | 10   | Chansey            | 14.18811% | 6086   |  6.006% | 4416   |  5.937% | 
 | 11   | Zapdos             | 13.14614% | 4366   |  4.308% | 3407   |  4.580% | 
 | 12   | Grimmsnarl         | 13.04007% | 8471   |  8.359% | 6528   |  8.776% | 
 | 13   | Excadrill          | 13.01869% | 8777   |  8.661% | 6842   |  9.198% | 
 | 14   | Darmanitan-Galar   | 12.01933% | 11985  | 11.827% | 8564   | 11.513% | 
 | 15   | Greninja-Ash       | 11.83101% | 11432  | 11.281% | 8183   | 11.001% | 
 | 16   | Metagross-Mega     | 10.51434% | 6283   |  6.200% | 4631   |  6.226% | 
 | 17   | Dragapult          | 10.37722% | 12966  | 12.795% | 9225   | 12.402% | 
 | 18   | Genesect           |  9.91689% | 5655   |  5.580% | 4606   |  6.192% | 
 | 19   | Corviknight        |  9.48703% | 6704   |  6.615% | 4943   |  6.645% | 
 | 20   | Mew                |  8.63954% | 3934   |  3.882% | 3350   |  4.504% | 
 | 21   | Heatran            |  8.06623% | 5497   |  5.424% | 4413   |  5.933% | 
 | 22   | Tapu Koko          |  7.85453% | 7537   |  7.437% | 5806   |  7.806% | 
 | 23   | Lopunny-Mega       |  7.34282% | 4100   |  4.046% | 2991   |  4.021% | 
 | 24   | Aegislash          |  7.32463% | 5488   |  5.415% | 4054   |  5.450% | 
 | 25   | Melmetal           |  6.97444% | 6920   |  6.828% | 5325   |  7.159% | 
 | 26   | Rotom-Wash         |  6.83375% | 5156   |  5.088% | 4108   |  5.523% | 
 | 27   | Mawile-Mega        |  6.56026% | 2933   |  2.894% | 2004   |  2.694% | 
 | 28   | Tornadus-Therian   |  6.46461% | 2787   |  2.750% | 1998   |  2.686% | 
 | 29   | Tapu Bulu          |  6.25959% | 2789   |  2.752% | 1945   |  2.615% | 
 | 30   | Clefable           |  6.18202% | 2972   |  2.933% | 2086   |  2.804% | 
 | 31   | Pelipper           |  6.05620% | 4255   |  4.199% | 3816   |  5.130% | 
 | 32   | Tangrowth          |  5.25289% | 2335   |  2.304% | 1713   |  2.303% | 
 | 33   | Swampert-Mega      |  5.12772% | 3511   |  3.465% | 2710   |  3.643% | 
 | 34   | Corsola-Galar      |  4.94710% | 5955   |  5.876% | 4388   |  5.899% | 
 | 35   | Hawlucha           |  4.90921% | 4358   |  4.300% | 2909   |  3.911% | 
 | 36   | Sableye-Mega       |  4.89466% | 1941   |  1.915% | 1594   |  2.143% | 
 | 37   | Gyarados           |  4.52729% | 3094   |  3.053% | 2173   |  2.921% | 
 | 38   | Hydreigon          |  4.52477% | 4407   |  4.349% | 3046   |  4.095% | 
 | 39   | Cresselia          |  4.42818% | 830    |  0.819% | 598    |  0.804% | 
 | 40   | Keldeo             |  4.42231% | 1601   |  1.580% | 1167   |  1.569% | 
 | 41   | Marowak-Alola      |  4.31211% | 1140   |  1.125% | 814    |  1.094% | 
 | 42   | Cinderace          |  4.20869% | 8452   |  8.340% | 6072   |  8.163% | 
 | 43   | Greninja           |  4.17971% | 5211   |  5.142% | 3813   |  5.126% | 
 | 44   | Uxie               |  4.08946% | 615    |  0.607% | 566    |  0.761% | 
 | 45   | Reuniclus          |  4.06849% | 748    |  0.738% | 517    |  0.695% | 
 | 46   | Dugtrio            |  3.63387% | 1641   |  1.619% | 1197   |  1.609% | 
 | 47   | Scizor-Mega        |  3.62891% | 3404   |  3.359% | 2479   |  3.333% | 
 | 48   | Celesteela         |  3.55285% | 3796   |  3.746% | 2878   |  3.869% | 
 | 49   | Tyranitar          |  3.42403% | 4366   |  4.308% | 3292   |  4.426% | 
 | 50   | Volcarona          |  3.42048% | 5141   |  5.073% | 3435   |  4.618% | 
 | 51   | Heracross-Mega     |  3.40312% | 1206   |  1.190% | 830    |  1.116% | 
 | 52   | Skarmory           |  3.33912% | 2641   |  2.606% | 2186   |  2.939% | 
 | 53   | Gyarados-Mega      |  3.19779% | 1526   |  1.506% | 1120   |  1.506% | 
 | 54   | Dragonite          |  3.16673% | 3275   |  3.232% | 2273   |  3.056% | 
 | 55   | Garchomp           |  3.04737% | 6229   |  6.147% | 4560   |  6.130% | 
 | 56   | Hatterene          |  3.04413% | 5043   |  4.976% | 3718   |  4.998% | 
 | 57   | Tapu Lele          |  2.88277% | 3038   |  2.998% | 2141   |  2.878% | 
 | 58   | Mantine            |  2.85714% | 718    |  0.709% | 524    |  0.704% | 
 | 59   | Serperior          |  2.83404% | 4922   |  4.857% | 3443   |  4.629% | 
 | 60   | Salamence          |  2.79757% | 3046   |  3.006% | 2159   |  2.903% | 
 | 61   | Deoxys-Defense     |  2.76796% | 2052   |  2.025% | 1659   |  2.230% | 
 | 62   | Polteageist        |  2.68972% | 1924   |  1.899% | 1332   |  1.791% | 
 | 63   | Staraptor          |  2.53331% | 1646   |  1.624% | 1247   |  1.676% | 
 | 64   | Donphan            |  2.46941% | 497    |  0.490% | 408    |  0.549% | 
 | 65   | Barraskewda        |  2.46116% | 2491   |  2.458% | 1716   |  2.307% | 
 | 66   | Mimikyu            |  2.44116% | 3837   |  3.786% | 2711   |  3.645% | 
 | 67   | Victini            |  2.41941% | 2600   |  2.566% | 1929   |  2.593% | 
 | 68   | Tapu Fini          |  2.37565% | 2170   |  2.141% | 1699   |  2.284% | 
 | 69   | Bisharp            |  2.26239% | 3129   |  3.088% | 2238   |  3.009% | 
 | 70   | Blacephalon        |  2.26147% | 2663   |  2.628% | 1861   |  2.502% | 
 | 71   | Thundurus-Therian  |  2.18532% | 1121   |  1.106% | 799    |  1.074% | 
 | 72   | Tyranitar-Mega     |  2.17713% | 1871   |  1.846% | 1397   |  1.878% | 
 | 73   | Alakazam-Mega      |  2.17162% | 3539   |  3.492% | 2277   |  3.061% | 
 | 74   | Xurkitree          |  2.13514% | 1474   |  1.455% | 1114   |  1.498% | 
 | 75   | Seismitoad         |  1.85637% | 2036   |  2.009% | 1653   |  2.222% | 
 | 76   | Charizard-Mega-X   |  1.80571% | 4016   |  3.963% | 2846   |  3.826% | 
 | 77   | Hippowdon          |  1.75066% | 996    |  0.983% | 841    |  1.131% | 
 | 78   | Kommo-o            |  1.72871% | 3037   |  2.997% | 2069   |  2.782% | 
 | 79   | Magnezone          |  1.67486% | 1959   |  1.933% | 1425   |  1.916% | 
 | 80   | Diancie-Mega       |  1.60621% | 1830   |  1.806% | 1428   |  1.920% | 
 | 81   | Venusaur-Mega      |  1.59608% | 2875   |  2.837% | 2092   |  2.812% | 
 | 82   | Togekiss           |  1.49458% | 3568   |  3.521% | 2554   |  3.434% | 
 | 83   | Medicham-Mega      |  1.49117% | 1583   |  1.562% | 1158   |  1.557% | 
 | 84   | Gliscor            |  1.42268% | 4869   |  4.805% | 3669   |  4.933% | 
 | 85   | Thundurus          |  1.35695% | 715    |  0.706% | 541    |  0.727% | 
 | 86   | Pinsir-Mega        |  1.32332% | 1028   |  1.014% | 654    |  0.879% | 
 | 87   | Ribombee           |  1.32038% | 1797   |  1.773% | 1597   |  2.147% | 
 | 88   | Rotom-Heat         |  1.28899% | 1981   |  1.955% | 1548   |  2.081% | 
 | 89   | Azumarill          |  1.20465% | 2497   |  2.464% | 1867   |  2.510% | 
 | 90   | Toxtricity         |  1.16499% | 4308   |  4.251% | 2983   |  4.010% | 
 | 91   | Swampert           |  1.15628% | 953    |  0.940% | 776    |  1.043% | 
 | 92   | Charizard-Mega-Y   |  1.13989% | 3580   |  3.533% | 2718   |  3.654% | 
 | 93   | Araquanid          |  1.11808% | 1235   |  1.219% | 967    |  1.300% | 
 | 94   | Crawdaunt          |  1.06422% | 848    |  0.837% | 624    |  0.839% | 
 | 95   | Zeraora            |  1.05465% | 2498   |  2.465% | 1807   |  2.429% | 
 | 96   | Weavile            |  1.02700% | 1588   |  1.567% | 1138   |  1.530% | 
 | 97   | Quagsire           |  1.02142% | 996    |  0.983% | 762    |  1.024% | 
 | 98   | Latios             |  0.99822% | 1037   |  1.023% | 740    |  0.995% | 
 | 99   | Kyurem             |  0.95587% | 847    |  0.836% | 615    |  0.827% | 
 | 100  | Drednaw            |  0.92204% | 608    |  0.600% | 403    |  0.542% | 
 | 101  | Manectric-Mega     |  0.90652% | 1109   |  1.094% | 868    |  1.167% | 
 | 102  | Pyukumuku          |  0.88651% | 969    |  0.956% | 733    |  0.985% | 
 | 103  | Dracozolt          |  0.86492% | 1561   |  1.540% | 1093   |  1.469% | 
 | 104  | Ninetales-Alola    |  0.85705% | 2152   |  2.124% | 1698   |  2.283% | 
 | 105  | Gengar             |  0.85073% | 3274   |  3.231% | 2271   |  3.053% | 
 | 106  | Venusaur           |  0.83812% | 2105   |  2.077% | 1530   |  2.057% | 
 | 107  | Goodra             |  0.78296% | 1637   |  1.615% | 1234   |  1.659% | 
 | 108  | Sylveon            |  0.77892% | 1301   |  1.284% | 892    |  1.199% | 
 | 109  | Buzzwole           |  0.77160% | 712    |  0.703% | 499    |  0.671% | 
 | 110  | Torkoal            |  0.73797% | 1462   |  1.443% | 1308   |  1.758% | 
 | 111  | Latias-Mega        |  0.72493% | 569    |  0.561% | 395    |  0.531% | 
 | 112  | Breloom            |  0.69810% | 2256   |  2.226% | 1706   |  2.294% | 
 | 113  | Infernape          |  0.69160% | 2475   |  2.442% | 1874   |  2.519% | 
 | 114  | Arcanine           |  0.68981% | 1641   |  1.619% | 1262   |  1.697% | 
 | 115  | Krookodile         |  0.68629% | 867    |  0.856% | 646    |  0.868% | 
 | 116  | Beedrill-Mega      |  0.67659% | 2486   |  2.453% | 1785   |  2.400% | 
 | 117  | Manaphy            |  0.64625% | 806    |  0.795% | 587    |  0.789% | 
 | 118  | Slowbro-Mega       |  0.64541% | 377    |  0.372% | 275    |  0.370% | 
 | 119  | Milotic            |  0.63303% | 1422   |  1.403% | 1055   |  1.418% | 
 | 120  | Azelf              |  0.61474% | 462    |  0.456% | 399    |  0.536% | 
 | 121  | Gastrodon          |  0.61432% | 1154   |  1.139% | 824    |  1.108% | 
 | 122  | Mandibuzz          |  0.58963% | 1404   |  1.385% | 998    |  1.342% | 
 | 123  | Klefki             |  0.58954% | 720    |  0.710% | 591    |  0.795% | 
 | 124  | Cloyster           |  0.57250% | 1466   |  1.447% | 1097   |  1.475% | 
 | 125  | Conkeldurr         |  0.54581% | 2198   |  2.169% | 1626   |  2.186% | 
 | 126  | Scizor             |  0.53959% | 1616   |  1.595% | 1177   |  1.582% | 
 | 127  | Slowbro            |  0.53007% | 790    |  0.780% | 584    |  0.785% | 
 | 128  | Diggersby          |  0.51343% | 300    |  0.296% | 233    |  0.313% | 
 | 129  | Volcanion          |  0.51025% | 830    |  0.819% | 648    |  0.871% | 
 | 130  | Galvantula         |  0.50748% | 1820   |  1.796% | 1604   |  2.156% | 
 | 131  | Sandslash-Alola    |  0.50330% | 526    |  0.519% | 362    |  0.487% | 
 | 132  | Virizion           |  0.50215% | 188    |  0.186% | 135    |  0.181% | 
 | 133  | Porygon-Z          |  0.49257% | 1472   |  1.453% | 1006   |  1.352% | 
 | 134  | Steelix            |  0.48081% | 611    |  0.603% | 502    |  0.675% | 
 | 135  | Aurorus            |  0.47804% | 341    |  0.336% | 287    |  0.386% | 
 | 136  | Latias             |  0.47541% | 439    |  0.433% | 278    |  0.374% | 
 | 137  | Incineroar         |  0.46728% | 1603   |  1.582% | 1347   |  1.811% | 
 | 138  | Altaria-Mega       |  0.43106% | 989    |  0.976% | 683    |  0.918% | 
 | 139  | Lucario            |  0.41783% | 1658   |  1.636% | 1165   |  1.566% | 
 | 140  | Copperajah         |  0.41687% | 660    |  0.651% | 449    |  0.604% | 
 | 141  | Entei              |  0.40805% | 275    |  0.271% | 207    |  0.278% | 
 | 142  | Stakataka          |  0.39975% | 793    |  0.783% | 565    |  0.760% | 
 | 143  | Glaceon            |  0.37450% | 291    |  0.287% | 230    |  0.309% | 
 | 144  | Shuckle            |  0.37310% | 1573   |  1.552% | 1430   |  1.922% | 
 | 145  | Gallade-Mega       |  0.37031% | 1360   |  1.342% | 918    |  1.234% | 
