 Total battles: 114918
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zacian-Crowned     | 29.85564% | 68619  | 29.856% | 43193  | 29.130% | 
 | 2    | Rayquaza-Mega      | 19.93204% | 45811  | 19.932% | 28466  | 19.198% | 
 | 3    | Groudon-Primal     | 16.94991% | 38957  | 16.950% | 29033  | 19.581% | 
 | 4    | Ditto              | 14.35241% | 32987  | 14.352% | 17703  | 11.939% | 
 | 5    | Necrozma-Dusk-Mane | 10.86470% | 24971  | 10.865% | 17391  | 11.729% | 
 | 6    | Xerneas            |  9.48067% | 21790  |  9.481% | 13310  |  8.977% | 
 | 7    | Eternatus          |  8.84022% | 20318  |  8.840% | 12358  |  8.335% | 
 | 8    | Marshadow          |  8.83369% | 20303  |  8.834% | 12668  |  8.544% | 
 | 9    | Smeargle           |  8.42470% | 19363  |  8.425% | 12957  |  8.739% | 
 | 10   | Dracovish          |  7.98482% | 18352  |  7.985% | 10110  |  6.818% | 
 | 11   | Dragapult          |  7.76336% | 17843  |  7.763% | 11727  |  7.909% | 
 | 12   | Kyogre-Primal      |  7.29738% | 16772  |  7.297% | 10426  |  7.032% | 
 | 13   | Darmanitan-Galar   |  6.97106% | 16022  |  6.971% | 8907   |  6.007% | 
 | 14   | Ho-Oh              |  6.27882% | 14431  |  6.279% | 10730  |  7.237% | 
 | 15   | Yveltal            |  6.00124% | 13793  |  6.001% | 9671   |  6.522% | 
 | 16   | Ferrothorn         |  5.42691% | 12473  |  5.427% | 9798   |  6.608% | 
 | 17   | Cinderace          |  4.81952% | 11077  |  4.820% | 7485   |  5.048% | 
 | 18   | Arceus             |  4.78080% | 10988  |  4.781% | 6994   |  4.717% | 
 | 19   | Zygarde            |  4.72293% | 10855  |  4.723% | 7331   |  4.944% | 
 | 20   | Corviknight        |  4.38443% | 10077  |  4.384% | 6504   |  4.386% | 
 | 21   | Aegislash          |  4.28958% | 9859   |  4.290% | 6276   |  4.233% | 
 | 22   | Toxtricity         |  4.26739% | 9808   |  4.267% | 6153   |  4.150% | 
 | 23   | Greninja-Ash       |  4.14513% | 9527   |  4.145% | 6287   |  4.240% | 
 | 24   | Grimmsnarl         |  4.07464% | 9365   |  4.075% | 6178   |  4.167% | 
 | 25   | Excadrill          |  3.90974% | 8986   |  3.910% | 6814   |  4.596% | 
 | 26   | Corsola-Galar      |  3.85188% | 8853   |  3.852% | 6032   |  4.068% | 
 | 27   | Lugia              |  3.81402% | 8766   |  3.814% | 5822   |  3.927% | 
 | 28   | Zamazenta-Crowned  |  3.57690% | 8221   |  3.577% | 4949   |  3.338% | 
 | 29   | Shuckle            |  3.47030% | 7976   |  3.470% | 6248   |  4.214% | 
 | 30   | Toxapex            |  3.35021% | 7700   |  3.350% | 5436   |  3.666% | 
