 Total battles: 110443
 Avg. weight/team: 0.01
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ditto              | 24.60194% | 16901  |  7.651% | 11333  |  7.049% | 
 | 2    | Landorus-Therian   | 21.80974% | 22839  | 10.340% | 18733  | 11.651% | 
 | 3    | Magearna           | 19.62051% | 11110  |  5.030% | 8040   |  5.001% | 
 | 4    | Zygarde            | 18.91229% | 6766   |  3.063% | 4720   |  2.936% | 
 | 5    | Dracovish          | 18.36158% | 23823  | 10.785% | 17502  | 10.886% | 
 | 6    | Blastoise-Mega     | 18.21548% | 12269  |  5.554% | 8588   |  5.341% | 
 | 7    | Kartana            | 17.70276% | 13524  |  6.123% | 9718   |  6.044% | 
 | 8    | Grimmsnarl         | 16.78583% | 16609  |  7.519% | 12528  |  7.792% | 
 | 9    | Tapu Koko          | 14.47141% | 14528  |  6.577% | 11192  |  6.961% | 
 | 10   | Excadrill          | 14.43797% | 19804  |  8.966% | 15270  |  9.497% | 
 | 11   | Greninja-Ash       | 14.22830% | 17282  |  7.824% | 12185  |  7.579% | 
 | 12   | Darmanitan-Galar   | 12.41072% | 26480  | 11.988% | 19086  | 11.871% | 
 | 13   | Heatran            | 12.13537% | 10239  |  4.635% | 7874   |  4.897% | 
 | 14   | Dragapult          | 12.06375% | 30091  | 13.623% | 21203  | 13.188% | 
 | 15   | Corsola-Galar      | 11.36597% | 15091  |  6.832% | 11344  |  7.056% | 
 | 16   | Metagross-Mega     | 11.30383% | 8806   |  3.987% | 6421   |  3.994% | 
 | 17   | Ferrothorn         | 10.87932% | 22451  | 10.164% | 18274  | 11.366% | 
 | 18   | Chansey            | 10.25951% | 9590   |  4.342% | 6900   |  4.292% | 
 | 19   | Corviknight        |  9.80177% | 18950  |  8.579% | 13952  |  8.678% | 
