 Total battles: 5286
 Avg. weight/team: 0.094
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Machoke            | 64.04922% | 4348   | 41.128% | 3610   | 43.068% | 
 | 2    | Mr. Mime-Galar     | 61.47299% | 5355   | 50.653% | 3841   | 45.823% | 
 | 3    | Corsola-Galar      | 49.92247% | 3145   | 29.748% | 2592   | 30.923% | 
 | 4    | Linoone-Galar      | 37.37156% | 3001   | 28.386% | 2497   | 29.789% | 
 | 5    | Piloswine          | 36.57895% | 2882   | 27.261% | 2458   | 29.324% | 
 | 6    | Haunter            | 36.29358% | 3527   | 33.362% | 2660   | 31.734% | 
 | 7    | Pawniard           | 30.29596% | 1564   | 14.794% | 1255   | 14.972% | 
 | 8    | Klang              | 22.95401% | 2103   | 19.892% | 1694   | 20.210% | 
 | 9    | Ferroseed          | 21.42153% | 1493   | 14.122% | 1316   | 15.700% | 
 | 10   | Hattrem            | 20.81062% | 1595   | 15.087% | 1307   | 15.593% | 
 | 11   | Gurdurr            | 17.72291% | 2230   | 21.093% | 1790   | 21.355% | 
 | 12   | Rufflet            | 16.87946% | 1440   | 13.621% | 1107   | 13.207% | 
 | 13   | Gloom              | 15.60684% | 961    |  9.090% | 767    |  9.150% | 
 | 14   | Mareanie           | 10.77387% | 1037   |  9.809% | 819    |  9.771% | 
 | 15   | Fraxure            | 10.15311% | 1459   | 13.801% | 984    | 11.739% | 
 | 16   | Palpitoad          | 10.14880% | 1079   | 10.206% | 890    | 10.618% | 
 | 17   | Clefairy           |  9.81931% | 1323   | 12.514% | 1014   | 12.097% | 
 | 18   | Carkol             |  9.72303% | 1314   | 12.429% | 1128   | 13.457% | 
 | 19   | Honedge            |  8.93993% | 617    |  5.836% | 471    |  5.619% | 
 | 20   | Sneasel            |  8.16612% | 1169   | 11.058% | 938    | 11.190% | 
 | 21   | Duosion            |  6.68099% | 947    |  8.958% | 693    |  8.268% | 
 | 22   | Drakloak           |  6.22006% | 1969   | 18.625% | 1494   | 17.824% | 
 | 23   | Vulpix             |  5.88119% | 409    |  3.869% | 379    |  4.522% | 
