 Total battles: 2457
 Avg. weight/team: 0.083
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 43.47300% | 2030   | 41.311% | 1459   | 39.427% | 
 | 2    | Excadrill          | 31.39611% | 989    | 20.126% | 779    | 21.051% | 
 | 3    | Obstagoon          | 29.89500% | 951    | 19.353% | 726    | 19.619% | 
 | 4    | Ferrothorn         | 26.36089% | 1023   | 20.818% | 874    | 23.618% | 
 | 5    | Diggersby          | 24.41678% | 431    |  8.771% | 326    |  8.810% | 
 | 6    | Rotom-Wash         | 20.08676% | 961    | 19.556% | 794    | 21.457% | 
 | 7    | Sylveon            | 19.90969% | 612    | 12.454% | 466    | 12.593% | 
 | 8    | Mimikyu            | 17.82780% | 570    | 11.600% | 403    | 10.890% | 
 | 9    | Grimmsnarl         | 16.90365% | 814    | 16.565% | 647    | 17.484% | 
 | 10   | Dracovish          | 15.53174% | 881    | 17.928% | 586    | 15.836% | 
 | 11   | Snorlax            | 15.25549% | 538    | 10.948% | 371    | 10.026% | 
 | 12   | Rotom-Heat         | 15.01001% | 637    | 12.963% | 533    | 14.403% | 
 | 13   | Toxtricity         | 14.98639% | 592    | 12.047% | 405    | 10.944% | 
 | 14   | Chandelure         | 14.38045% | 369    |  7.509% | 280    |  7.567% | 
 | 15   | Heliolisk          | 13.19700% | 222    |  4.518% | 167    |  4.513% | 
 | 16   | Hatterene          | 12.35046% | 651    | 13.248% | 473    | 12.782% | 
 | 17   | Corsola-Galar      | 12.27431% | 273    |  5.556% | 214    |  5.783% | 
 | 18   | Gyarados           | 12.23239% | 734    | 14.937% | 487    | 13.160% | 
 | 19   | Bewear             | 12.20194% | 351    |  7.143% | 272    |  7.350% | 
 | 20   | Cinderace          | 11.85076% | 369    |  7.509% | 293    |  7.918% | 
 | 21   | Ditto              | 10.76554% | 454    |  9.239% | 321    |  8.675% | 
 | 22   | Tyranitar          |  9.74866% | 560    | 11.396% | 456    | 12.323% | 
 | 23   | Hawlucha           |  9.07386% | 235    |  4.782% | 148    |  3.999% | 
 | 24   | Hydreigon          |  8.83849% | 496    | 10.094% | 357    |  9.647% | 
 | 25   | Braviary           |  8.17662% | 239    |  4.864% | 168    |  4.540% | 
 | 26   | Togekiss           |  7.72093% | 347    |  7.061% | 249    |  6.729% | 
 | 27   | Indeedee           |  7.69262% | 251    |  5.108% | 191    |  5.161% | 
 | 28   | Claydol            |  6.39943% | 62     |  1.262% | 47     |  1.270% | 
 | 29   | Torkoal            |  6.34417% | 95     |  1.933% | 85     |  2.297% | 
 | 30   | Corviknight        |  6.14731% | 570    | 11.600% | 446    | 12.052% | 
 | 31   | Kommo-o            |  5.86562% | 327    |  6.654% | 223    |  6.026% | 
 | 32   | Jellicent          |  5.49544% | 122    |  2.483% | 95     |  2.567% | 
 | 33   | Darmanitan-Galar   |  5.18707% | 490    |  9.972% | 359    |  9.701% | 
 | 34   | Gastrodon          |  5.07377% | 116    |  2.361% | 91     |  2.459% | 
 | 35   | Type: Null         |  4.67695% | 247    |  5.026% | 189    |  5.107% | 
 | 36   | Araquanid          |  4.58818% | 149    |  3.032% | 134    |  3.621% | 
 | 37   | Dracozolt          |  4.32201% | 328    |  6.675% | 233    |  6.296% | 
 | 38   | Shuckle            |  4.18849% | 116    |  2.361% | 112    |  3.027% | 
 | 39   | Hippowdon          |  4.06500% | 115    |  2.340% | 100    |  2.702% | 
 | 40   | Seismitoad         |  4.04954% | 212    |  4.314% | 177    |  4.783% | 
 | 41   | Escavalier         |  3.85432% | 143    |  2.910% | 127    |  3.432% | 
 | 42   | Dugtrio            |  3.53173% | 126    |  2.564% | 106    |  2.864% | 
 | 43   | Boltund            |  3.09630% | 410    |  8.344% | 295    |  7.972% | 
 | 44   | Quagsire           |  3.04510% | 55     |  1.119% | 46     |  1.243% | 
 | 45   | Toxapex            |  2.98699% | 182    |  3.704% | 133    |  3.594% | 
 | 46   | Aegislash          |  2.88928% | 498    | 10.134% | 392    | 10.593% | 
 | 47   | Rotom-Mow          |  2.75044% | 77     |  1.567% | 62     |  1.675% | 
 | 48   | Bisharp            |  2.68327% | 265    |  5.393% | 202    |  5.459% | 
 | 49   | Barraskewda        |  2.61346% | 377    |  7.672% | 278    |  7.512% | 
 | 50   | Gengar             |  2.57686% | 176    |  3.582% | 137    |  3.702% | 
 | 51   | Mandibuzz          |  2.36467% | 132    |  2.686% | 97     |  2.621% | 
 | 52   | Pelipper           |  2.26567% | 241    |  4.904% | 208    |  5.621% | 
 | 53   | Drakloak           |  2.21760% | 36     |  0.733% | 25     |  0.676% | 
 | 54   | Inteleon           |  2.09475% | 216    |  4.396% | 159    |  4.297% | 
 | 55   | Orbeetle           |  2.07925% | 218    |  4.436% | 150    |  4.054% | 
 | 56   | Mew                |  2.06143% | 65     |  1.323% | 51     |  1.378% | 
 | 57   | Drapion            |  1.98026% | 101    |  2.055% | 72     |  1.946% | 
 | 58   | Conkeldurr         |  1.91885% | 154    |  3.134% | 102    |  2.756% | 
 | 59   | Ninjask            |  1.91256% | 128    |  2.605% | 113    |  3.054% | 
 | 60   | Rotom-Frost        |  1.80155% | 63     |  1.282% | 43     |  1.162% | 
 | 61   | Accelgor           |  1.76788% | 139    |  2.829% | 131    |  3.540% | 
 | 62   | Avalugg            |  1.76146% | 35     |  0.712% | 29     |  0.784% | 
 | 63   | Weezing-Galar      |  1.65544% | 197    |  4.009% | 149    |  4.026% | 
 | 64   | Ribombee           |  1.58499% | 73     |  1.486% | 67     |  1.811% | 
 | 65   | Greedent           |  1.55826% | 75     |  1.526% | 47     |  1.270% | 
 | 66   | Polteageist        |  1.55284% | 97     |  1.974% | 67     |  1.811% | 
 | 67   | Sirfetch'd         |  1.53630% | 79     |  1.608% | 55     |  1.486% | 
 | 68   | Runerigus          |  1.41729% | 84     |  1.709% | 71     |  1.919% | 
 | 69   | Lucario            |  1.39935% | 231    |  4.701% | 171    |  4.621% | 
 | 70   | Drifblim           |  1.35535% | 45     |  0.916% | 33     |  0.892% | 
 | 71   | Durant             |  1.17622% | 173    |  3.521% | 140    |  3.783% | 
 | 72   | Linoone-Galar      |  1.13258% | 18     |  0.366% | 16     |  0.432% | 
 | 73   | Mantine            |  1.01906% | 27     |  0.549% | 16     |  0.432% | 
 | 74   | Copperajah         |  1.00343% | 54     |  1.099% | 45     |  1.216% | 
 | 75   | Clefable           |  0.99139% | 91     |  1.852% | 70     |  1.892% | 
 | 76   | Rillaboom          |  0.98424% | 91     |  1.852% | 75     |  2.027% | 
 | 77   | Crustle            |  0.94268% | 82     |  1.669% | 82     |  2.216% | 
 | 78   | Duraludon          |  0.86288% | 117    |  2.381% | 94     |  2.540% | 
 | 79   | Perrserker         |  0.82686% | 91     |  1.852% | 79     |  2.135% | 
 | 80   | Gallade            |  0.82425% | 117    |  2.381% | 73     |  1.973% | 
 | 81   | Pincurchin         |  0.69147% | 72     |  1.465% | 56     |  1.513% | 
 | 82   | Indeedee-F         |  0.66914% | 74     |  1.506% | 54     |  1.459% | 
 | 83   | Cursola            |  0.55836% | 31     |  0.631% | 24     |  0.649% | 
 | 84   | Roserade           |  0.55770% | 46     |  0.936% | 31     |  0.838% | 
 | 85   | Doublade           |  0.53250% | 33     |  0.672% | 30     |  0.811% | 
 | 86   | Cloyster           |  0.52632% | 158    |  3.215% | 111    |  3.000% | 
 | 87   | Rhyperior          |  0.52386% | 34     |  0.692% | 27     |  0.730% | 
 | 88   | Pikachu            |  0.51792% | 39     |  0.794% | 30     |  0.811% | 
 | 89   | Raichu             |  0.46669% | 55     |  1.119% | 39     |  1.054% | 
 | 90   | Weavile            |  0.44204% | 64     |  1.302% | 55     |  1.486% | 
 | 91   | Salazzle           |  0.43909% | 93     |  1.893% | 62     |  1.675% | 
 | 92   | Espeon             |  0.43813% | 32     |  0.651% | 22     |  0.595% | 
 | 93   | Oranguru           |  0.42973% | 9      |  0.183% | 8      |  0.216% | 
 | 94   | Goodra             |  0.39920% | 77     |  1.567% | 49     |  1.324% | 
 | 95   | Scrafty            |  0.36286% | 195    |  3.968% | 141    |  3.810% | 
 | 96   | Crawdaunt          |  0.34447% | 108    |  2.198% | 90     |  2.432% | 
 | 97   | Whimsicott         |  0.34085% | 98     |  1.994% | 69     |  1.865% | 
 | 98   | Dhelmise           |  0.34027% | 57     |  1.160% | 45     |  1.216% | 
 | 99   | Bronzong           |  0.33097% | 41     |  0.834% | 32     |  0.865% | 
 | 100  | Sigilyph           |  0.32132% | 20     |  0.407% | 13     |  0.351% | 
 | 101  | Barbaracle         |  0.30130% | 44     |  0.895% | 28     |  0.757% | 
 | 102  | Dubwool            |  0.30071% | 48     |  0.977% | 37     |  1.000% | 
 | 103  | Drampa             |  0.28571% | 27     |  0.549% | 22     |  0.595% | 
 | 104  | Charizard          |  0.28252% | 63     |  1.282% | 46     |  1.243% | 
 | 105  | Vaporeon           |  0.25648% | 31     |  0.631% | 20     |  0.540% | 
 | 106  | Flapple            |  0.25370% | 95     |  1.933% | 68     |  1.838% | 
 | 107  | Rotom-Fan          |  0.24521% | 13     |  0.265% | 7      |  0.189% | 
 | 108  | Butterfree         |  0.23468% | 43     |  0.875% | 35     |  0.946% | 
 | 109  | Toxicroak          |  0.22377% | 23     |  0.468% | 15     |  0.405% | 
 | 110  | Eldegoss           |  0.22196% | 27     |  0.549% | 23     |  0.622% | 
 | 111  | Centiskorch        |  0.21586% | 188    |  3.826% | 144    |  3.891% | 
 | 112  | Mudsdale           |  0.21524% | 20     |  0.407% | 19     |  0.513% | 
 | 113  | Malamar            |  0.20747% | 44     |  0.895% | 29     |  0.784% | 
 | 114  | Sableye            |  0.19263% | 49     |  0.997% | 40     |  1.081% | 
 | 115  | Steelix            |  0.18807% | 60     |  1.221% | 52     |  1.405% | 
 | 116  | Pangoro            |  0.17902% | 37     |  0.753% | 28     |  0.757% | 
 | 117  | Morpeko            |  0.17513% | 51     |  1.038% | 44     |  1.189% | 
 | 118  | Reuniclus          |  0.17038% | 43     |  0.875% | 32     |  0.865% | 
 | 119  | Hakamo-o           |  0.14310% | 8      |  0.163% | 6      |  0.162% | 
 | 120  | Arcanine           |  0.12898% | 73     |  1.486% | 59     |  1.594% | 
 | 121  | Stonjourner        |  0.12713% | 15     |  0.305% | 13     |  0.351% | 
 | 122  | Arctozolt          |  0.11623% | 22     |  0.448% | 14     |  0.378% | 
 | 123  | Drednaw            |  0.10695% | 59     |  1.201% | 44     |  1.189% | 
 | 124  | Frosmoth           |  0.09806% | 76     |  1.547% | 48     |  1.297% | 
 | 125  | Shedinja           |  0.09574% | 34     |  0.692% | 27     |  0.730% | 
 | 126  | Grapploct          |  0.09376% | 45     |  0.916% | 37     |  1.000% | 
 | 127  | Coalossal          |  0.09028% | 93     |  1.893% | 84     |  2.270% | 
 | 128  | Solrock            |  0.08834% | 5      |  0.102% | 3      |  0.081% | 
 | 129  | Appletun           |  0.08342% | 86     |  1.750% | 65     |  1.757% | 
 | 130  | Mamoswine          |  0.08091% | 21     |  0.427% | 18     |  0.486% | 
 | 131  | Ninetales          |  0.07551% | 5      |  0.102% | 4      |  0.108% | 
 | 132  | Rhydon             |  0.07513% | 13     |  0.265% | 11     |  0.297% | 
