 Total battles: 1118098
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 35.03489% | 559661 | 25.027% | 254619 | 25.500% | 
 | 2    | Arcanine           | 33.99943% | 571304 | 25.548% | 262236 | 26.263% | 
 | 3    | Excadrill          | 29.62458% | 524795 | 23.468% | 271263 | 27.167% | 
 | 4    | Whimsicott         | 28.31384% | 634366 | 28.368% | 221237 | 22.157% | 
 | 5    | Togekiss           | 23.19080% | 365633 | 16.351% | 160803 | 16.105% | 
 | 6    | Gastrodon          | 22.35990% | 482499 | 21.577% | 230730 | 23.108% | 
 | 7    | Grimmsnarl         | 20.64814% | 468825 | 20.965% | 173914 | 17.418% | 
 | 8    | Duraludon          | 20.31320% | 421373 | 18.843% | 187328 | 18.761% | 
 | 9    | Tyranitar          | 20.00872% | 356339 | 15.935% | 165964 | 16.621% | 
 | 10   | Snorlax            | 19.11380% | 306827 | 13.721% | 153578 | 15.381% | 
 | 11   | Dracovish          | 16.52638% | 434910 | 19.449% | 237269 | 23.763% | 
 | 12   | Corviknight        | 14.11360% | 307548 | 13.753% | 121692 | 12.188% | 
 | 13   | Rotom-Wash         | 14.08576% | 317827 | 14.213% | 149296 | 14.952% | 
 | 14   | Rhyperior          | 14.07355% | 191238 |  8.552% | 108458 | 10.862% | 
 | 15   | Mimikyu            | 13.95162% | 246360 | 11.017% | 101031 | 10.118% | 
 | 16   | Rotom-Mow          | 13.92630% | 166712 |  7.455% | 68342  |  6.845% | 
 | 17   | Braviary           | 13.65864% | 263463 | 11.782% | 94693  |  9.484% | 
 | 18   | Sylveon            | 12.75944% | 163713 |  7.321% | 79858  |  7.998% | 
 | 19   | Gyarados           | 12.13775% | 237789 | 10.634% | 117657 | 11.783% | 
 | 20   | Indeedee-F         | 11.39425% | 295162 | 13.199% | 115603 | 11.578% | 
 | 21   | Torkoal            |  9.54628% | 227565 | 10.176% | 121122 | 12.131% | 
 | 22   | Darmanitan-Galar   |  9.47756% | 145309 |  6.498% | 76312  |  7.643% | 
 | 23   | Rotom-Heat         |  8.45736% | 186917 |  8.359% | 82616  |  8.274% | 
 | 24   | Dusclops           |  8.43976% | 106732 |  4.773% | 42724  |  4.279% | 
 | 25   | Charizard          |  8.22241% | 142268 |  6.362% | 71297  |  7.140% | 
 | 26   | Conkeldurr         |  7.96945% | 149518 |  6.686% | 74305  |  7.442% | 
 | 27   | Hatterene          |  7.70048% | 250359 | 11.196% | 103484 | 10.364% | 
 | 28   | Mudsdale           |  7.41899% | 165453 |  7.399% | 85373  |  8.550% | 
 | 29   | Ferrothorn         |  7.31385% | 232775 | 10.409% | 104430 | 10.459% | 
 | 30   | Scrafty            |  6.32356% | 135607 |  6.064% | 64304  |  6.440% | 
 | 31   | Hydreigon          |  5.53718% | 122138 |  5.462% | 57884  |  5.797% | 
 | 32   | Chandelure         |  5.44743% | 114461 |  5.119% | 47429  |  4.750% | 
 | 33   | Bronzong           |  4.51584% | 79210  |  3.542% | 27032  |  2.707% | 
 | 34   | Butterfree         |  4.16758% | 96033  |  4.294% | 35405  |  3.546% | 
 | 35   | Vanilluxe          |  3.71761% | 30720  |  1.374% | 14769  |  1.479% | 
 | 36   | Jellicent          |  3.67256% | 57595  |  2.576% | 24562  |  2.460% | 
 | 37   | Pelipper           |  3.59859% | 137410 |  6.145% | 60110  |  6.020% | 
 | 38   | Inteleon           |  3.47716% | 26809  |  1.199% | 11847  |  1.186% | 
 | 39   | Durant             |  3.37342% | 25826  |  1.155% | 11981  |  1.200% | 
 | 40   | Ludicolo           |  3.35823% | 104866 |  4.689% | 53723  |  5.380% | 
 | 41   | Togedemaru         |  3.35668% | 33004  |  1.476% | 13406  |  1.343% | 
 | 42   | Weezing-Galar      |  3.08165% | 119010 |  5.322% | 41574  |  4.164% | 
 | 43   | Hitmontop          |  3.07471% | 73867  |  3.303% | 32540  |  3.259% | 
 | 44   | Milotic            |  2.84266% | 96373  |  4.310% | 38913  |  3.897% | 
 | 45   | Lucario            |  2.67351% | 146066 |  6.532% | 73313  |  7.342% | 
 | 46   | Gothitelle         |  2.37283% | 50987  |  2.280% | 21185  |  2.122% | 
 | 47   | Vileplume          |  2.32413% | 51283  |  2.293% | 20446  |  2.048% | 
 | 48   | Lapras             |  2.26944% | 61916  |  2.769% | 33725  |  3.378% | 
 | 49   | Hawlucha           |  2.17758% | 70522  |  3.154% | 32061  |  3.211% | 
 | 50   | Oranguru           |  2.15542% | 66701  |  2.983% | 24070  |  2.411% | 
 | 51   | Toxtricity         |  2.13430% | 95513  |  4.271% | 41349  |  4.141% | 
 | 52   | Dracozolt          |  2.00867% | 43759  |  1.957% | 22890  |  2.292% | 
 | 53   | Appletun           |  1.89110% | 45178  |  2.020% | 18681  |  1.871% | 
 | 54   | Aegislash          |  1.57587% | 69838  |  3.123% | 29821  |  2.987% | 
 | 55   | Mandibuzz          |  1.44685% | 21296  |  0.952% | 7363   |  0.737% | 
 | 56   | Araquanid          |  1.39019% | 35156  |  1.572% | 14916  |  1.494% | 
 | 57   | Kommo-o            |  1.30037% | 50015  |  2.237% | 23928  |  2.396% | 
 | 58   | Sirfetch'd         |  1.25061% | 30868  |  1.380% | 15923  |  1.595% | 
 | 59   | Barraskewda        |  1.24149% | 82186  |  3.675% | 39329  |  3.939% | 
 | 60   | Rillaboom          |  1.22810% | 35911  |  1.606% | 16239  |  1.626% | 
 | 61   | Obstagoon          |  1.21516% | 69321  |  3.100% | 33681  |  3.373% | 
 | 62   | Coalossal          |  1.14556% | 71565  |  3.200% | 33180  |  3.323% | 
 | 63   | Sableye            |  1.11405% | 46559  |  2.082% | 17540  |  1.757% | 
 | 64   | Passimian          |  1.07612% | 19198  |  0.859% | 9034   |  0.905% | 
 | 65   | Indeedee           |  1.06965% | 34054  |  1.523% | 12029  |  1.205% | 
 | 66   | Raichu             |  1.06379% | 47981  |  2.146% | 20067  |  2.010% | 
 | 67   | Goodra             |  1.05125% | 39641  |  1.773% | 18473  |  1.850% | 
 | 68   | Gardevoir          |  1.04947% | 43265  |  1.935% | 17821  |  1.785% | 
 | 69   | Gigalith           |  1.01711% | 22502  |  1.006% | 10127  |  1.014% | 
 | 70   | Ribombee           |  1.01632% | 33715  |  1.508% | 14424  |  1.445% | 
 | 71   | Bisharp            |  1.00990% | 32270  |  1.443% | 13523  |  1.354% | 
 | 72   | Haxorus            |  0.95588% | 33727  |  1.508% | 15995  |  1.602% | 
 | 73   | Cinderace          |  0.88090% | 41080  |  1.837% | 18563  |  1.859% | 
 | 74   | Perrserker         |  0.84971% | 19587  |  0.876% | 9345   |  0.936% | 
 | 75   | Flygon             |  0.84731% | 17018  |  0.761% | 7806   |  0.782% | 
 | 76   | Gengar             |  0.84244% | 47423  |  2.121% | 21170  |  2.120% | 
 | 77   | Mamoswine          |  0.76524% | 33318  |  1.490% | 16293  |  1.632% | 
 | 78   | Cofagrigus         |  0.76085% | 27981  |  1.251% | 9113   |  0.913% | 
 | 79   | Shiinotic          |  0.73873% | 13601  |  0.608% | 5479   |  0.549% | 
 | 80   | Ninetales          |  0.69451% | 30662  |  1.371% | 14316  |  1.434% | 
 | 81   | Sandaconda         |  0.68916% | 22840  |  1.021% | 9768   |  0.978% | 
 | 82   | Gallade            |  0.68341% | 26403  |  1.181% | 12631  |  1.265% | 
 | 83   | Silvally           |  0.67684% | 17301  |  0.774% | 7773   |  0.778% | 
 | 84   | Centiskorch        |  0.66150% | 37664  |  1.684% | 18300  |  1.833% | 
 | 85   | Reuniclus          |  0.63589% | 23038  |  1.030% | 9449   |  0.946% | 
 | 86   | Copperajah         |  0.61007% | 42042  |  1.880% | 20783  |  2.081% | 
 | 87   | Runerigus          |  0.60520% | 31387  |  1.404% | 10611  |  1.063% | 
 | 88   | Pikachu            |  0.59376% | 19293  |  0.863% | 6957   |  0.697% | 
 | 89   | Clefable           |  0.58172% | 38983  |  1.743% | 16392  |  1.642% | 
 | 90   | Vikavolt           |  0.57164% | 29399  |  1.315% | 13499  |  1.352% | 
 | 91   | Umbreon            |  0.56913% | 16158  |  0.723% | 6312   |  0.632% | 
 | 92   | Hippowdon          |  0.54910% | 12146  |  0.543% | 5178   |  0.519% | 
 | 93   | Seismitoad         |  0.53018% | 26105  |  1.167% | 13100  |  1.312% | 
 | 94   | Greedent           |  0.49393% | 18221  |  0.815% | 8916   |  0.893% | 
 | 95   | Weavile            |  0.48839% | 38657  |  1.729% | 18400  |  1.843% | 
 | 96   | Drampa             |  0.46667% | 21203  |  0.948% | 9726   |  0.974% | 
 | 97   | Alcremie           |  0.46263% | 36916  |  1.651% | 15257  |  1.528% | 
 | 98   | Abomasnow          |  0.46116% | 22247  |  0.995% | 10395  |  1.041% | 
 | 99   | Dhelmise           |  0.45081% | 21868  |  0.978% | 9772   |  0.979% | 
