 Total leads: 222
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Porygon2           | 23.72449% | 12     |  5.405% | 
 | 2    | Umbreon            | 22.24985% | 9      |  4.054% | 
 | 3    | Venusaur           |  6.40298% | 6      |  2.703% | 
 | 4    | Persian            |  5.63180% | 4      |  1.802% | 
 | 5    | Jumpluff           |  2.76704% | 2      |  0.901% | 
 | 6    | Golem              |  0.00000% | 1      |  0.450% | 
 | 7    | Pinsir             |  0.00000% | 1      |  0.450% | 
 | 8    | Quagsire           |  0.00000% | 2      |  0.901% | 
 | 9    | Cloyster           |  0.00000% | 2      |  0.901% | 
 | 10   | Dragonite          |  0.00000% | 1      |  0.450% | 
 | 11   | Tauros             |  0.00000% | 2      |  0.901% | 
 | 12   | Jynx               |  0.00000% | 4      |  1.802% | 
 | 13   | Vaporeon           |  0.00000% | 3      |  1.351% | 
 | 14   | Tyranitar          |  0.00000% | 5      |  2.252% | 
 | 15   | Raikou             |  0.00000% | 11     |  4.955% | 
 | 16   | Ursaring           |  0.00000% | 1      |  0.450% | 
 | 17   | Muk                |  0.00000% | 2      |  0.901% | 
 | 18   | Poliwrath          |  0.00000% | 1      |  0.450% | 
 | 19   | Machamp            |  0.00000% | 11     |  4.955% | 
 | 20   | Marowak            |  0.00000% | 6      |  2.703% | 
 | 21   | Wartortle          |  0.00000% | 1      |  0.450% | 
 | 22   | Wigglytuff         |  0.00000% | 1      |  0.450% | 
 | 23   | Wobbuffet          |  0.00000% | 1      |  0.450% | 
 | 24   | Forretress         |  0.00000% | 5      |  2.252% | 
 | 25   | Miltank            |  0.00000% | 11     |  4.955% | 
 | 26   | Croconaw           |  0.00000% | 1      |  0.450% | 
 | 27   | Spinarak           |  0.00000% | 1      |  0.450% | 
 | 28   | Shuckle            |  0.00000% | 2      |  0.901% | 
 | 29   | Meganium           |  0.00000% | 1      |  0.450% | 
 | 30   | Rhydon             |  0.00000% | 1      |  0.450% | 
 | 31   | Exeggutor          |  0.00000% | 1      |  0.450% | 
 | 32   | Alakazam           |  0.00000% | 4      |  1.802% | 
 | 33   | Blissey            |  0.00000% | 9      |  4.054% | 
 | 34   | Qwilfish           |  0.00000% | 1      |  0.450% | 
 | 35   | Rattata            |  0.00000% | 1      |  0.450% | 
 | 36   | Furret             |  0.00000% | 1      |  0.450% | 
 | 37   | Ditto              |  0.00000% | 4      |  1.802% | 
 | 38   | Aerodactyl         |  0.00000% | 2      |  0.901% | 
 | 39   | Cyndaquil          |  0.00000% | 1      |  0.450% | 
 | 40   | Starmie            |  0.00000% | 4      |  1.802% | 
 | 41   | Heracross          |  0.00000% | 25     | 11.261% | 
 | 42   | Entei              |  0.00000% | 1      |  0.450% | 
 | 43   | Steelix            |  0.00000% | 1      |  0.450% | 
 | 44   | Misdreavus         |  0.00000% | 3      |  1.351% | 
 | 45   | Houndoom           |  0.00000% | 2      |  0.901% | 
 | 46   | Gengar             |  0.00000% | 8      |  3.604% | 
 | 47   | Crobat             |  0.00000% | 1      |  0.450% | 
 | 48   | Vileplume          |  0.00000% | 1      |  0.450% | 
 | 49   | Charizard          |  0.00000% | 1      |  0.450% | 
 | 50   | Typhlosion         |  0.00000% | 3      |  1.351% | 
 | 51   | Scyther            |  0.00000% | 1      |  0.450% | 
 | 52   | Dodrio             |  0.00000% | 1      |  0.450% | 
 | 53   | Suicune            |  0.00000% | 9      |  4.054% | 
 | 54   | Ampharos           |  0.00000% | 2      |  0.901% | 
 | 55   | Scizor             |  0.00000% | 4      |  1.802% | 
 | 56   | Skarmory           |  0.00000% | 2      |  0.901% | 
 | 57   | Nidoking           |  0.00000% | 2      |  0.901% | 
 | 58   | Zapdos             |  0.00000% | 8      |  3.604% | 
 | 59   | Mr. Mime           |  0.00000% | 1      |  0.450% | 
 | 60   | Electrode          |  0.00000% | 4      |  1.802% | 
 | 61   | Articuno           |  0.00000% | 1      |  0.450% | 
 | 62   | Blastoise          |  0.00000% | 2      |  0.901% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
