 Total leads: 566192
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Smeargle           |  4.27487% | 24204  |  4.275% | 
 | 2    | Groudon-Primal     |  2.58181% | 14618  |  2.582% | 
 | 3    | Ferrothorn         |  2.19254% | 12414  |  2.193% | 
 | 4    | Shuckle            |  1.84019% | 10419  |  1.840% | 
 | 5    | Rayquaza-Mega      |  1.79904% | 10186  |  1.799% | 
 | 6    | Eevee              |  1.75223% | 9921   |  1.752% | 
 | 7    | Drifblim           |  1.71550% | 9713   |  1.715% | 
 | 8    | Forretress         |  1.51821% | 8596   |  1.518% | 
 | 9    | Xerneas            |  1.44174% | 8163   |  1.442% | 
 | 10   | Skarmory           |  1.25682% | 7116   |  1.257% | 
 | 11   | Ninjask            |  1.18635% | 6717   |  1.186% | 
 | 12   | Galvantula         |  1.15138% | 6519   |  1.151% | 
 | 13   | Scolipede          |  1.03287% | 5848   |  1.033% | 
 | 14   | Toxapex            |  1.00478% | 5689   |  1.005% | 
 | 15   | Darkrai            |  0.94721% | 5363   |  0.947% | 
 | 16   | Greninja-Ash       |  0.94067% | 5326   |  0.941% | 
 | 17   | Cloyster           |  0.91789% | 5197   |  0.918% | 
 | 18   | Gliscor            |  0.91259% | 5167   |  0.913% | 
 | 19   | Kyogre-Primal      |  0.88150% | 4991   |  0.882% | 
 | 20   | Blaziken-Mega      |  0.87497% | 4954   |  0.875% | 
 | 21   | Ditto              |  0.84618% | 4791   |  0.846% | 
 | 22   | Marshadow          |  0.82287% | 4659   |  0.823% | 
 | 23   | Sableye-Mega       |  0.82287% | 4659   |  0.823% | 
 | 24   | Deoxys-Speed       |  0.81615% | 4621   |  0.816% | 
 | 25   | Aegislash          |  0.81121% | 4593   |  0.811% | 
 | 26   | Garchomp           |  0.72555% | 4108   |  0.726% | 
 | 27   | Greninja           |  0.68970% | 3905   |  0.690% | 
 | 28   | Blaziken           |  0.63600% | 3601   |  0.636% | 
 | 29   | Espeon             |  0.63229% | 3580   |  0.632% | 
 | 30   | Snorlax            |  0.59150% | 3349   |  0.591% | 
 | 31   | Mimikyu            |  0.58902% | 3335   |  0.589% | 
 | 32   | Breloom            |  0.57613% | 3262   |  0.576% | 
 | 33   | Mew                |  0.55794% | 3159   |  0.558% | 
 | 34   | Tyranitar          |  0.54028% | 3059   |  0.540% | 
 | 35   | Charizard-Mega-X   |  0.53780% | 3045   |  0.538% | 
 | 36   | Rattata            |  0.52438% | 2969   |  0.524% | 
 | 37   | Arceus             |  0.51679% | 2926   |  0.517% | 
 | 38   | Weavile            |  0.50654% | 2868   |  0.507% | 
 | 39   | Necrozma-Dusk-Mane |  0.49612% | 2809   |  0.496% | 
 | 40   | Mewtwo-Mega-Y      |  0.47528% | 2691   |  0.475% | 
 | 41   | Excadrill          |  0.47510% | 2690   |  0.475% | 
 | 42   | Landorus-Therian   |  0.47316% | 2679   |  0.473% | 
 | 43   | Gengar-Mega        |  0.46680% | 2643   |  0.467% | 
 | 44   | Clefable           |  0.45744% | 2590   |  0.457% | 
 | 45   | Gengar             |  0.45409% | 2571   |  0.454% | 
 | 46   | Yveltal            |  0.45267% | 2563   |  0.453% | 
 | 47   | Shedinja           |  0.43589% | 2468   |  0.436% | 
 | 48   | Diancie-Mega       |  0.43113% | 2441   |  0.431% | 
 | 49   | Togekiss           |  0.42141% | 2386   |  0.421% | 
 | 50   | Kartana            |  0.41717% | 2362   |  0.417% | 
 | 51   | Tapu Koko          |  0.41541% | 2352   |  0.415% | 
 | 52   | Zygarde            |  0.40693% | 2304   |  0.407% | 
 | 53   | Lucario-Mega       |  0.39739% | 2250   |  0.397% | 
 | 54   | Serperior          |  0.39651% | 2245   |  0.397% | 
 | 55   | Durant             |  0.38132% | 2159   |  0.381% | 
 | 56   | Volcarona          |  0.38114% | 2158   |  0.381% | 
 | 57   | Deoxys-Attack      |  0.38008% | 2152   |  0.380% | 
 | 58   | Ninetales-Alola    |  0.37743% | 2137   |  0.377% | 
 | 59   | Shaymin-Sky        |  0.36878% | 2088   |  0.369% | 
 | 60   | Jolteon            |  0.36436% | 2063   |  0.364% | 
 | 61   | Charizard-Mega-Y   |  0.35465% | 2008   |  0.355% | 
 | 62   | Pikachu            |  0.35412% | 2005   |  0.354% | 
 | 63   | Infernape          |  0.35218% | 1994   |  0.352% | 
 | 64   | Froslass           |  0.34794% | 1970   |  0.348% | 
 | 65   | Dragonite          |  0.34264% | 1940   |  0.343% | 
 | 66   | Zeraora            |  0.33275% | 1884   |  0.333% | 
 | 67   | Umbreon            |  0.32851% | 1860   |  0.329% | 
 | 68   | Nidoking           |  0.32233% | 1825   |  0.322% | 
 | 69   | Crobat             |  0.32198% | 1823   |  0.322% | 
 | 70   | Lugia              |  0.31597% | 1789   |  0.316% | 
 | 71   | Azumarill          |  0.31562% | 1787   |  0.316% | 
 | 72   | Deoxys-Defense     |  0.31332% | 1774   |  0.313% | 
