 Total leads: 18908
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Smeargle           |  2.88767% | 546    |  2.888% | 
 | 2    | Shuckle            |  2.71314% | 513    |  2.713% | 
 | 3    | Ferroseed          |  2.65496% | 502    |  2.655% | 
 | 4    | Eelektross         |  2.63909% | 499    |  2.639% | 
 | 5    | Aurorus            |  2.37466% | 449    |  2.375% | 
 | 6    | Aggron             |  2.29532% | 434    |  2.295% | 
 | 7    | Sableye            |  2.22657% | 421    |  2.227% | 
 | 8    | Mudsdale           |  2.22128% | 420    |  2.221% | 
 | 9    | Regirock           |  2.17368% | 411    |  2.174% | 
 | 10   | Qwilfish           |  1.94627% | 368    |  1.946% | 
 | 11   | Primeape           |  1.79818% | 340    |  1.798% | 
 | 12   | Claydol            |  1.75587% | 332    |  1.756% | 
 | 13   | Mr. Mime           |  1.72414% | 326    |  1.724% | 
 | 14   | Persian-Alola      |  1.65538% | 313    |  1.655% | 
 | 15   | Hitmonchan         |  1.53903% | 291    |  1.539% | 
 | 16   | Corsola            |  1.38566% | 262    |  1.386% | 
 | 17   | Torterra           |  1.35392% | 256    |  1.354% | 
 | 18   | Omastar            |  1.18468% | 224    |  1.185% | 
 | 19   | Lycanroc           |  1.05246% | 199    |  1.052% | 
 | 20   | Liepard            |  1.04718% | 198    |  1.047% | 
 | 21   | Golem              |  1.02073% | 193    |  1.021% | 
 | 22   | Carbink            |  1.00487% | 190    |  1.005% | 
 | 23   | Rotom-Frost        |  0.97842% | 185    |  0.978% | 
 | 24   | Lurantis           |  0.92553% | 175    |  0.926% | 
 | 25   | Carracosta         |  0.90967% | 172    |  0.910% | 
 | 26   | Probopass          |  0.90967% | 172    |  0.910% | 
 | 27   | Scyther            |  0.88851% | 168    |  0.889% | 
 | 28   | Golurk             |  0.87794% | 166    |  0.878% | 
 | 29   | Sandslash-Alola    |  0.83563% | 158    |  0.836% | 
 | 30   | Glalie             |  0.82505% | 156    |  0.825% | 
 | 31   | Gurdurr            |  0.79860% | 151    |  0.799% | 
 | 32   | Ninjask            |  0.77216% | 146    |  0.772% | 
 | 33   | Ariados            |  0.76158% | 144    |  0.762% | 
 | 34   | Abomasnow          |  0.75629% | 143    |  0.756% | 
 | 35   | Absol              |  0.72456% | 137    |  0.725% | 
 | 36   | Drampa             |  0.70869% | 134    |  0.709% | 
 | 37   | Gastrodon          |  0.70869% | 134    |  0.709% | 
 | 38   | Electrode          |  0.68754% | 130    |  0.688% | 
 | 39   | Leavanny           |  0.66638% | 126    |  0.666% | 
 | 40   | Kabutops           |  0.66638% | 126    |  0.666% | 
 | 41   | Crustle            |  0.65581% | 124    |  0.656% | 
