 Total leads: 21140
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Donphan            |  6.64154% | 635    |  3.004% | 
 | 2    | Nidoqueen          |  6.28552% | 621    |  2.938% | 
 | 3    | Registeel          |  4.10207% | 474    |  2.242% | 
 | 4    | Roserade           |  3.84775% | 390    |  1.845% | 
 | 5    | Forretress         |  3.46256% | 869    |  4.111% | 
 | 6    | Blastoise-Mega     |  3.41322% | 392    |  1.854% | 
 | 7    | Metagross          |  2.95786% | 537    |  2.540% | 
 | 8    | Bronzong           |  2.54194% | 617    |  2.919% | 
 | 9    | Golisopod          |  2.52323% | 270    |  1.277% | 
 | 10   | Torkoal            |  2.34588% | 243    |  1.149% | 
 | 11   | Sableye            |  2.14962% | 63     |  0.298% | 
 | 12   | Druddigon          |  2.11590% | 113    |  0.535% | 
 | 13   | Porygon2           |  2.03574% | 175    |  0.828% | 
 | 14   | Mandibuzz          |  1.93041% | 248    |  1.173% | 
 | 15   | Galvantula         |  1.88184% | 1170   |  5.535% | 
 | 16   | Machamp            |  1.84867% | 255    |  1.206% | 
 | 17   | Zygarde-10%        |  1.84088% | 93     |  0.440% | 
 | 18   | Rotom-Mow          |  1.80148% | 190    |  0.899% | 
 | 19   | Arcanine           |  1.46258% | 278    |  1.315% | 
 | 20   | Necrozma           |  1.37106% | 149    |  0.705% | 
 | 21   | Slurpuff           |  1.35838% | 105    |  0.497% | 
 | 22   | Araquanid          |  1.35368% | 574    |  2.715% | 
 | 23   | Jolteon            |  1.34802% | 378    |  1.788% | 
 | 24   | Drapion            |  1.28139% | 360    |  1.703% | 
 | 25   | Cloyster           |  1.26129% | 443    |  2.096% | 
 | 26   | Noivern            |  1.23838% | 322    |  1.523% | 
 | 27   | Uxie               |  1.21649% | 317    |  1.500% | 
 | 28   | Milotic            |  1.13659% | 225    |  1.064% | 
 | 29   | Ninetales          |  1.10139% | 184    |  0.870% | 
 | 30   | Yanmega            |  1.02598% | 184    |  0.870% | 
 | 31   | Espeon             |  0.91143% | 607    |  2.871% | 
 | 32   | Goodra             |  0.89246% | 150    |  0.710% | 
 | 33   | Rhyperior          |  0.80809% | 180    |  0.851% | 
 | 34   | Hariyama           |  0.80731% | 61     |  0.289% | 
 | 35   | Ambipom            |  0.80066% | 313    |  1.481% | 
 | 36   | Gigalith           |  0.77152% | 327    |  1.547% | 
 | 37   | Snorlax            |  0.76786% | 186    |  0.880% | 
 | 38   | Florges            |  0.72396% | 87     |  0.412% | 
 | 39   | Escavalier         |  0.68873% | 97     |  0.459% | 
 | 40   | Swellow            |  0.64424% | 129    |  0.610% | 
 | 41   | Vaporeon           |  0.64240% | 42     |  0.199% | 
 | 42   | Steelix            |  0.63580% | 93     |  0.440% | 
 | 43   | Flygon             |  0.63576% | 299    |  1.414% | 
 | 44   | Luxray             |  0.63266% | 26     |  0.123% | 
 | 45   | Aerodactyl         |  0.61451% | 92     |  0.435% | 
 | 46   | Salazzle           |  0.58399% | 257    |  1.216% | 
 | 47   | Accelgor           |  0.58086% | 55     |  0.260% | 
 | 48   | Audino-Mega        |  0.48146% | 14     |  0.066% | 
 | 49   | Ribombee           |  0.47073% | 215    |  1.017% | 
 | 50   | Gastrodon          |  0.46089% | 21     |  0.099% | 
 | 51   | Raikou             |  0.44552% | 161    |  0.762% | 
 | 52   | Diancie            |  0.43570% | 271    |  1.282% | 
 | 53   | Sceptile-Mega      |  0.42364% | 123    |  0.582% | 
 | 54   | Passimian          |  0.42072% | 174    |  0.823% | 
 | 55   | Tsareena           |  0.41988% | 58     |  0.274% | 
 | 56   | Gardevoir          |  0.40930% | 111    |  0.525% | 
 | 57   | Tyrantrum          |  0.40758% | 132    |  0.624% | 
 | 58   | Togedemaru         |  0.39899% | 68     |  0.322% | 
 | 59   | Vivillon           |  0.39853% | 16     |  0.076% | 
 | 60   | Dragalge           |  0.38293% | 83     |  0.393% | 
 | 61   | Marowak-Alola      |  0.38146% | 154    |  0.728% | 
 | 62   | Golbat             |  0.37569% | 13     |  0.061% | 
 | 63   | Emboar             |  0.36436% | 54     |  0.255% | 
 | 64   | Vikavolt           |  0.34837% | 11     |  0.052% | 
 | 65   | Ampharos-Mega      |  0.33182% | 117    |  0.553% | 
 | 66   | Cresselia          |  0.33035% | 81     |  0.383% | 
 | 67   | Pyukumuku          |  0.32574% | 16     |  0.076% | 
 | 68   | Houndoom           |  0.31998% | 25     |  0.118% | 
 | 69   | Articuno           |  0.30904% | 29     |  0.137% | 
 | 70   | Cofagrigus         |  0.27080% | 64     |  0.303% | 
 | 71   | Bruxish            |  0.25317% | 37     |  0.175% | 
 | 72   | Scyther            |  0.23678% | 98     |  0.464% | 
 | 73   | Slowbro            |  0.23647% | 87     |  0.412% | 
 | 74   | Mismagius          |  0.23615% | 61     |  0.289% | 
 | 75   | Virizion           |  0.22535% | 65     |  0.307% | 
