 Total leads: 428
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ribombee           |  6.43074% | 19     |  4.439% | 
 | 2    | Klefki             |  5.86477% | 16     |  3.738% | 
 | 3    | Electrode          |  3.87815% | 13     |  3.037% | 
 | 4    | Cloyster           |  3.85782% | 10     |  2.336% | 
 | 5    | Ferrothorn         |  3.51289% | 16     |  3.738% | 
 | 6    | Gliscor            |  2.90698% | 12     |  2.804% | 
 | 7    | Scyther            |  2.47411% | 11     |  2.570% | 
 | 8    | Golurk             |  2.37129% | 8      |  1.869% | 
 | 9    | Beedrill           |  2.23967% | 6      |  1.402% | 
 | 10   | Hitmontop          |  2.21479% | 8      |  1.869% | 
 | 11   | Victreebel         |  2.18860% | 5      |  1.168% | 
 | 12   | Smeargle           |  2.10224% | 10     |  2.336% | 
 | 13   | Banette-Mega       |  1.86943% | 6      |  1.402% | 
 | 14   | Tyranitar-Mega     |  1.66650% | 6      |  1.402% | 
 | 15   | Blastoise-Mega     |  1.57292% | 9      |  2.103% | 
 | 16   | Gardevoir-Mega     |  1.36962% | 7      |  1.636% | 
 | 17   | Swoobat            |  1.31813% | 3      |  0.701% | 
 | 18   | Registeel          |  1.31802% | 3      |  0.701% | 
 | 19   | Excadrill          |  1.28556% | 5      |  1.168% | 
 | 20   | Slurpuff           |  1.16897% | 5      |  1.168% | 
 | 21   | Beedrill-Mega      |  1.08822% | 5      |  1.168% | 
 | 22   | Incineroar         |  1.03348% | 4      |  0.935% | 
 | 23   | Shuckle            |  0.97615% | 5      |  1.168% | 
 | 24   | Dedenne            |  0.94717% | 4      |  0.935% | 
 | 25   | Sableye-Mega       |  0.89828% | 5      |  1.168% | 
 | 26   | Pikachu            |  0.88923% | 7      |  1.636% | 
 | 27   | Stunfisk           |  0.87918% | 2      |  0.467% | 
 | 28   | Tapu Koko          |  0.86162% | 2      |  0.467% | 
 | 29   | Donphan            |  0.85062% | 2      |  0.467% | 
 | 30   | Nidoqueen          |  0.83261% | 5      |  1.168% | 
 | 31   | Ambipom            |  0.82836% | 3      |  0.701% | 
 | 32   | Masquerain         |  0.79389% | 2      |  0.467% | 
 | 33   | Toxapex            |  0.76288% | 3      |  0.701% | 
 | 34   | Garchomp           |  0.74451% | 4      |  0.935% | 
 | 35   | Toxicroak          |  0.74423% | 5      |  1.168% | 
 | 36   | Gyarados           |  0.71572% | 3      |  0.701% | 
 | 37   | Ursaring           |  0.71260% | 2      |  0.467% | 
 | 38   | Combusken          |  0.70090% | 3      |  0.701% | 
 | 39   | Tsareena           |  0.68382% | 3      |  0.701% | 
 | 40   | Aerodactyl         |  0.67817% | 2      |  0.467% | 
 | 41   | Heatran            |  0.67468% | 4      |  0.935% | 
 | 42   | Skarmory           |  0.66501% | 4      |  0.935% | 
 | 43   | Azumarill          |  0.65057% | 6      |  1.402% | 
 | 44   | Landorus-Therian   |  0.61410% | 3      |  0.701% | 
 | 45   | Weavile            |  0.59382% | 5      |  1.168% | 
 | 46   | Charizard-Mega-X   |  0.55636% | 3      |  0.701% | 
 | 47   | Milotic            |  0.55224% | 2      |  0.467% | 
