 Total leads: 19938
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Incineroar         |  9.44001% | 2190   | 10.984% | 
 | 2    | Lunala             |  7.45093% | 765    |  3.837% | 
 | 3    | Groudon-Primal     |  6.95477% | 818    |  4.103% | 
 | 4    | Tapu Koko          |  6.65621% | 1372   |  6.881% | 
 | 5    | Xerneas            |  5.55130% | 907    |  4.549% | 
 | 6    | Mewtwo-Mega-Y      |  4.66258% | 62     |  0.311% | 
 | 7    | Tornadus           |  4.61862% | 255    |  1.279% | 
 | 8    | Kangaskhan-Mega    |  4.00091% | 310    |  1.555% | 
 | 9    | Rayquaza-Mega      |  3.95954% | 688    |  3.451% | 
 | 10   | Kyogre-Primal      |  3.93778% | 1069   |  5.362% | 
 | 11   | Gengar             |  3.69819% | 62     |  0.311% | 
 | 12   | Tapu Lele          |  3.32448% | 466    |  2.337% | 
 | 13   | Tapu Fini          |  2.73054% | 455    |  2.282% | 
 | 14   | Venusaur           |  2.57661% | 61     |  0.306% | 
 | 15   | Necrozma-Dawn-Wings |  2.54504% | 346    |  1.735% | 
 | 16   | Crobat             |  2.45192% | 187    |  0.938% | 
 | 17   | Gengar-Mega        |  2.29950% | 443    |  2.222% | 
 | 18   | Nihilego           |  2.06722% | 213    |  1.068% | 
 | 19   | Yveltal            |  1.87129% | 338    |  1.695% | 
 | 20   | Metagross-Mega     |  1.81979% | 97     |  0.487% | 
 | 21   | Empoleon           |  1.69093% | 13     |  0.065% | 
 | 22   | Smeargle           |  1.46540% | 412    |  2.066% | 
 | 23   | Salamence-Mega     |  1.44484% | 459    |  2.302% | 
 | 24   | Talonflame         |  1.19275% | 17     |  0.085% | 
 | 25   | Amoonguss          |  1.14177% | 183    |  0.918% | 
 | 26   | Whimsicott         |  1.09511% | 290    |  1.455% | 
 | 27   | Landorus-Therian   |  1.04535% | 339    |  1.700% | 
 | 28   | Jumpluff           |  0.75718% | 43     |  0.216% | 
 | 29   | Medicham-Mega      |  0.75101% | 67     |  0.336% | 
 | 30   | Palkia             |  0.68196% | 83     |  0.416% | 
 | 31   | Lucario-Mega       |  0.42321% | 67     |  0.336% | 
 | 32   | Regigigas          |  0.39016% | 52     |  0.261% | 
 | 33   | Mandibuzz          |  0.35420% | 50     |  0.251% | 
 | 34   | Togedemaru         |  0.32420% | 104    |  0.522% | 
 | 35   | Stakataka          |  0.30661% | 168    |  0.843% | 
 | 36   | Ho-Oh              |  0.26973% | 49     |  0.246% | 
 | 37   | Zekrom             |  0.17463% | 15     |  0.075% | 
 | 38   | Marowak-Alola      |  0.17418% | 16     |  0.080% | 
 | 39   | Oranguru           |  0.15806% | 69     |  0.346% | 
 | 40   | Celesteela         |  0.15338% | 139    |  0.697% | 
 | 41   | Serperior          |  0.14805% | 26     |  0.130% | 
 | 42   | Ambipom            |  0.14392% | 26     |  0.130% | 
 | 43   | Linoone            |  0.12782% | 28     |  0.140% | 
 | 44   | Swampert-Mega      |  0.12431% | 38     |  0.191% | 
 | 45   | Staraptor          |  0.12407% | 51     |  0.256% | 
 | 46   | Eevee              |  0.11459% | 221    |  1.108% | 
 | 47   | Ribombee           |  0.10978% | 15     |  0.075% | 
 | 48   | Kommo-o            |  0.10956% | 36     |  0.181% | 
 | 49   | Espeon             |  0.10621% | 12     |  0.060% | 
 | 50   | Togekiss           |  0.10024% | 85     |  0.426% | 
 | 51   | Necrozma-Dusk-Mane |  0.09966% | 109    |  0.547% | 
 | 52   | Sceptile-Mega      |  0.09781% | 31     |  0.155% | 
 | 53   | Gastrodon          |  0.09692% | 76     |  0.381% | 
 | 54   | Hydreigon          |  0.08542% | 16     |  0.080% | 
 | 55   | Kyogre             |  0.08161% | 90     |  0.451% | 
 | 56   | Ditto              |  0.08071% | 31     |  0.155% | 
 | 57   | Zygarde            |  0.08042% | 28     |  0.140% | 
 | 58   | Lucario            |  0.07869% | 29     |  0.145% | 
 | 59   | Lapras             |  0.07644% | 14     |  0.070% | 
 | 60   | Lopunny-Mega       |  0.07265% | 67     |  0.336% | 
 | 61   | Skarmory           |  0.07257% | 19     |  0.095% | 
 | 62   | Ferrothorn         |  0.07146% | 96     |  0.481% | 
 | 63   | Lugia              |  0.06279% | 35     |  0.176% | 
 | 64   | Naganadel          |  0.05838% | 51     |  0.256% | 
 | 65   | Dialga             |  0.05432% | 30     |  0.150% | 
 | 66   | Metagross          |  0.05374% | 22     |  0.110% | 
 | 67   | Arcanine           |  0.05263% | 52     |  0.261% | 
 | 68   | Mimikyu            |  0.04745% | 91     |  0.456% | 
 | 69   | Kartana            |  0.04350% | 146    |  0.732% | 
 | 70   | Aerodactyl-Mega    |  0.04337% | 19     |  0.095% | 
 | 71   | Venomoth           |  0.04188% | 1      |  0.005% | 
 | 72   | Bronzong           |  0.03986% | 103    |  0.517% | 
 | 73   | Ampharos-Mega      |  0.03863% | 3      |  0.015% | 
 | 74   | Snorlax            |  0.03698% | 155    |  0.777% | 
 | 75   | Muk-Alola          |  0.03449% | 20     |  0.100% | 
 | 76   | Accelgor           |  0.03420% | 69     |  0.346% | 
 | 77   | Turtonator         |  0.03386% | 2      |  0.010% | 
 | 78   | Gyarados           |  0.03135% | 36     |  0.181% | 
 | 79   | Murkrow            |  0.02896% | 133    |  0.667% | 
 | 80   | Solgaleo           |  0.02723% | 25     |  0.125% | 
 | 81   | Cradily            |  0.02636% | 10     |  0.050% | 
 | 82   | Gothitelle         |  0.02335% | 13     |  0.065% | 
 | 83   | Cloyster           |  0.02079% | 56     |  0.281% | 
 | 84   | Ludicolo           |  0.01886% | 28     |  0.140% | 
