 Total leads: 1218
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Golem              |  5.66502% | 69     |  5.665% | 
 | 2    | Sandslash          |  3.69458% | 45     |  3.695% | 
 | 3    | Shuckle            |  3.69458% | 45     |  3.695% | 
 | 4    | Crustle            |  3.36617% | 41     |  3.366% | 
 | 5    | Carbink            |  2.21675% | 27     |  2.217% | 
 | 6    | Ariados            |  2.21675% | 27     |  2.217% | 
 | 7    | Bastiodon          |  2.05255% | 25     |  2.053% | 
 | 8    | Probopass          |  2.05255% | 25     |  2.053% | 
 | 9    | Smeargle           |  2.05255% | 25     |  2.053% | 
 | 10   | Electivire         |  2.05255% | 25     |  2.053% | 
 | 11   | Silvally-Water     |  1.97044% | 24     |  1.970% | 
 | 12   | Leavanny           |  1.97044% | 24     |  1.970% | 
 | 13   | Volbeat            |  1.72414% | 21     |  1.724% | 
 | 14   | Lycanroc-Midnight  |  1.64204% | 20     |  1.642% | 
 | 15   | Kecleon            |  1.55993% | 19     |  1.560% | 
 | 16   | Swanna             |  1.47783% | 18     |  1.478% | 
 | 17   | Bronzor            |  1.47783% | 18     |  1.478% | 
 | 18   | Toucannon          |  1.39573% | 17     |  1.396% | 
 | 19   | Lickilicky         |  1.39573% | 17     |  1.396% | 
 | 20   | Armaldo            |  1.39573% | 17     |  1.396% | 
 | 21   | Exeggutor          |  1.23153% | 15     |  1.232% | 
 | 22   | Rotom-Fan          |  1.23153% | 15     |  1.232% | 
 | 23   | Camerupt           |  1.23153% | 15     |  1.232% | 
 | 24   | Ninjask            |  1.14943% | 14     |  1.149% | 
 | 25   | Torterra           |  1.14943% | 14     |  1.149% | 
 | 26   | Rampardos          |  1.06732% | 13     |  1.067% | 
 | 27   | Meowstic           |  1.06732% | 13     |  1.067% | 
 | 28   | Electrode          |  1.06732% | 13     |  1.067% | 
 | 29   | Lopunny            |  1.06732% | 13     |  1.067% | 
 | 30   | Cradily            |  1.06732% | 13     |  1.067% | 
 | 31   | Silvally-Dragon    |  0.98522% | 12     |  0.985% | 
 | 32   | Natu               |  0.98522% | 12     |  0.985% | 
 | 33   | Mawile             |  0.90312% | 11     |  0.903% | 
 | 34   | Chatot             |  0.90312% | 11     |  0.903% | 
 | 35   | Komala             |  0.82102% | 10     |  0.821% | 
 | 36   | Floatzel           |  0.82102% | 10     |  0.821% | 
 | 37   | Glaceon            |  0.73892% | 9      |  0.739% | 
 | 38   | Relicanth          |  0.73892% | 9      |  0.739% | 
 | 39   | Chimecho           |  0.73892% | 9      |  0.739% | 
 | 40   | Dugtrio            |  0.65681% | 8      |  0.657% | 
 | 41   | Bibarel            |  0.65681% | 8      |  0.657% | 
 | 42   | Misdreavus         |  0.65681% | 8      |  0.657% | 
 | 43   | Emolga             |  0.57471% | 7      |  0.575% | 
 | 44   | Ditto              |  0.57471% | 7      |  0.575% | 
 | 45   | Noctowl            |  0.57471% | 7      |  0.575% | 
 | 46   | Arbok              |  0.57471% | 7      |  0.575% | 
 | 47   | Basculin           |  0.57471% | 7      |  0.575% | 
 | 48   | Mr. Mime           |  0.57471% | 7      |  0.575% | 
 | 49   | Golem-Alola        |  0.57471% | 7      |  0.575% | 
 | 50   | Illumise           |  0.57471% | 7      |  0.575% | 
 | 51   | Butterfree         |  0.49261% | 6      |  0.493% | 
 | 52   | Slaking            |  0.49261% | 6      |  0.493% | 
 | 53   | Golduck            |  0.49261% | 6      |  0.493% | 
 | 54   | Stunfisk           |  0.49261% | 6      |  0.493% | 
 | 55   | Silvally-Poison    |  0.49261% | 6      |  0.493% | 
 | 56   | Onix               |  0.49261% | 6      |  0.493% | 
 | 57   | Mareanie           |  0.49261% | 6      |  0.493% | 
 | 58   | Raichu             |  0.41051% | 5      |  0.411% | 
 | 59   | Rapidash           |  0.41051% | 5      |  0.411% | 
 | 60   | Farfetch'd         |  0.41051% | 5      |  0.411% | 
 | 61   | Bouffalant         |  0.41051% | 5      |  0.411% | 
 | 62   | Pinsir             |  0.41051% | 5      |  0.411% | 
 | 63   | Marowak            |  0.41051% | 5      |  0.411% | 
 | 64   | Ampharos           |  0.41051% | 5      |  0.411% | 
 | 65   | Masquerain         |  0.41051% | 5      |  0.411% | 
 | 66   | Magcargo           |  0.41051% | 5      |  0.411% | 
 | 67   | Regigigas          |  0.41051% | 5      |  0.411% | 
 | 68   | Regice             |  0.41051% | 5      |  0.411% | 
 | 69   | Luxray             |  0.41051% | 5      |  0.411% | 
 | 70   | Beheeyem           |  0.41051% | 5      |  0.411% | 
 | 71   | Dunsparce          |  0.41051% | 5      |  0.411% | 
 | 72   | Glalie             |  0.41051% | 5      |  0.411% | 
 | 73   | Duosion            |  0.32841% | 4      |  0.328% | 
 | 74   | Purugly            |  0.32841% | 4      |  0.328% | 
 | 75   | Poliwrath          |  0.32841% | 4      |  0.328% | 
 | 76   | Altaria            |  0.32841% | 4      |  0.328% | 
 | 77   | Wigglytuff         |  0.32841% | 4      |  0.328% | 
 | 78   | Bellossom          |  0.32841% | 4      |  0.328% | 
 | 79   | Avalugg            |  0.32841% | 4      |  0.328% | 
 | 80   | Torkoal            |  0.32841% | 4      |  0.328% | 
 | 81   | Metang             |  0.32841% | 4      |  0.328% | 
 | 82   | Pidgeot            |  0.32841% | 4      |  0.328% | 
 | 83   | Unfezant           |  0.32841% | 4      |  0.328% | 
 | 84   | Furret             |  0.32841% | 4      |  0.328% | 
 | 85   | Octillery          |  0.32841% | 4      |  0.328% | 
 | 86   | Shedinja           |  0.32841% | 4      |  0.328% | 
 | 87   | Mightyena          |  0.24631% | 3      |  0.246% | 
 | 88   | Happiny            |  0.24631% | 3      |  0.246% | 
 | 89   | Beedrill           |  0.24631% | 3      |  0.246% | 
 | 90   | Cacturne           |  0.24631% | 3      |  0.246% | 
 | 91   | Lapras             |  0.24631% | 3      |  0.246% | 
 | 92   | Pineco             |  0.24631% | 3      |  0.246% | 
 | 93   | Banette            |  0.24631% | 3      |  0.246% | 
 | 94   | Trubbish           |  0.24631% | 3      |  0.246% | 
 | 95   | Dusknoir           |  0.24631% | 3      |  0.246% | 
 | 96   | Gothitelle         |  0.24631% | 3      |  0.246% | 
 | 97   | Politoed           |  0.24631% | 3      |  0.246% | 
 | 98   | Simisear           |  0.24631% | 3      |  0.246% | 
 | 99   | Frogadier          |  0.24631% | 3      |  0.246% | 
 | 100  | Silvally-Psychic   |  0.24631% | 3      |  0.246% | 
 | 101  | Lairon             |  0.24631% | 3      |  0.246% | 
 | 102  | Gourgeist-Super    |  0.24631% | 3      |  0.246% | 
 | 103  | Persian            |  0.24631% | 3      |  0.246% | 
 | 104  | Silvally-Fighting  |  0.24631% | 3      |  0.246% | 
 | 105  | Zebstrika          |  0.24631% | 3      |  0.246% | 
 | 106  | Flareon            |  0.24631% | 3      |  0.246% | 
 | 107  | Solrock            |  0.24631% | 3      |  0.246% | 
