 Total leads: 16042
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Dragapult          | 17.13008% | 1534   |  9.562% | 
 | 2    | Corviknight        | 11.00107% | 528    |  3.291% | 
 | 3    | Snorlax            |  9.80308% | 381    |  2.375% | 
 | 4    | Mandibuzz          |  9.69197% | 321    |  2.001% | 
 | 5    | Duraludon          |  3.54275% | 258    |  1.608% | 
 | 6    | Cinderace          |  3.15719% | 897    |  5.592% | 
 | 7    | Mew                |  2.94699% | 406    |  2.531% | 
 | 8    | Mamoswine          |  2.86515% | 179    |  1.116% | 
 | 9    | Ferrothorn         |  2.64785% | 588    |  3.665% | 
 | 10   | Ribombee           |  2.51761% | 405    |  2.525% | 
 | 11   | Silvally-Steel     |  2.13386% | 50     |  0.312% | 
 | 12   | Weavile            |  2.00654% | 325    |  2.026% | 
 | 13   | Corsola-Galar      |  1.71749% | 559    |  3.485% | 
 | 14   | Excadrill          |  1.37600% | 294    |  1.833% | 
 | 15   | Shuckle            |  1.35166% | 456    |  2.843% | 
 | 16   | Hydreigon          |  1.29037% | 244    |  1.521% | 
 | 17   | Avalugg            |  1.13341% | 66     |  0.411% | 
 | 18   | Toxtricity         |  1.05118% | 252    |  1.571% | 
 | 19   | Pangoro            |  1.03395% | 93     |  0.580% | 
 | 20   | Jolteon            |  0.99454% | 91     |  0.567% | 
 | 21   | Gengar             |  0.99029% | 206    |  1.284% | 
 | 22   | Noivern            |  0.93084% | 360    |  2.244% | 
 | 23   | Golisopod          |  0.92317% | 205    |  1.278% | 
 | 24   | Rotom-Wash         |  0.82295% | 278    |  1.733% | 
 | 25   | Hatterene          |  0.77574% | 121    |  0.754% | 
 | 26   | Tsareena           |  0.75726% | 36     |  0.224% | 
 | 27   | Toxapex            |  0.71909% | 138    |  0.860% | 
 | 28   | Dracozolt          |  0.69333% | 187    |  1.166% | 
 | 29   | Rotom-Heat         |  0.67004% | 77     |  0.480% | 
 | 30   | Runerigus          |  0.58062% | 158    |  0.985% | 
 | 31   | Cofagrigus         |  0.57128% | 26     |  0.162% | 
 | 32   | Lucario            |  0.55829% | 142    |  0.885% | 
 | 33   | Kommo-o            |  0.53993% | 155    |  0.966% | 
 | 34   | Gardevoir          |  0.52475% | 83     |  0.517% | 
 | 35   | Sylveon            |  0.51755% | 67     |  0.418% | 
 | 36   | Hippowdon          |  0.48079% | 81     |  0.505% | 
 | 37   | Gallade            |  0.44269% | 52     |  0.324% | 
 | 38   | Rotom-Mow          |  0.43598% | 38     |  0.237% | 
 | 39   | Ninjask            |  0.41522% | 142    |  0.885% | 
 | 40   | Steelix            |  0.39452% | 82     |  0.511% | 
 | 41   | Inteleon           |  0.38495% | 210    |  1.309% | 
 | 42   | Darmanitan-Galar   |  0.38363% | 162    |  1.010% | 
 | 43   | Drapion            |  0.33575% | 24     |  0.150% | 
 | 44   | Polteageist        |  0.33551% | 356    |  2.219% | 
 | 45   | Seismitoad         |  0.31619% | 83     |  0.517% | 
 | 46   | Dracovish          |  0.31550% | 175    |  1.091% | 
 | 47   | Copperajah         |  0.28566% | 62     |  0.386% | 
 | 48   | Morpeko            |  0.27592% | 48     |  0.299% | 
 | 49   | Silvally-Water     |  0.26125% | 16     |  0.100% | 
 | 50   | Togekiss           |  0.25370% | 114    |  0.711% | 
 | 51   | Chandelure         |  0.24874% | 106    |  0.661% | 
 | 52   | Gyarados           |  0.24164% | 73     |  0.455% | 
 | 53   | Flareon            |  0.20752% | 37     |  0.231% | 
 | 54   | Type: Null         |  0.20685% | 47     |  0.293% | 
 | 55   | Tyranitar          |  0.20456% | 153    |  0.954% | 
 | 56   | Arcanine           |  0.19811% | 51     |  0.318% | 
 | 57   | Escavalier         |  0.19792% | 40     |  0.249% | 
 | 58   | Conkeldurr         |  0.19082% | 55     |  0.343% | 
 | 59   | Dubwool            |  0.18903% | 25     |  0.156% | 
 | 60   | Coalossal          |  0.18799% | 92     |  0.573% | 
 | 61   | Rhydon             |  0.18023% | 25     |  0.156% | 
 | 62   | Orbeetle           |  0.16096% | 249    |  1.552% | 
 | 63   | Dugtrio            |  0.15543% | 63     |  0.393% | 
 | 64   | Silvally-Fighting  |  0.12011% | 3      |  0.019% | 
 | 65   | Umbreon            |  0.11983% | 21     |  0.131% | 
 | 66   | Galvantula         |  0.11628% | 88     |  0.549% | 
 | 67   | Silvally-Poison    |  0.11601% | 1      |  0.006% | 
 | 68   | Bisharp            |  0.10121% | 45     |  0.281% | 
 | 69   | Grimmsnarl         |  0.09358% | 107    |  0.667% | 
 | 70   | Ponyta-Galar       |  0.09064% | 8      |  0.050% | 
 | 71   | Rotom-Fan          |  0.09004% | 57     |  0.355% | 
 | 72   | Barraskewda        |  0.08567% | 195    |  1.216% | 
 | 73   | Aegislash          |  0.08473% | 34     |  0.212% | 
 | 74   | Roserade           |  0.08305% | 46     |  0.287% | 
 | 75   | Slurpuff           |  0.07305% | 14     |  0.087% | 
 | 76   | Goodra             |  0.06417% | 64     |  0.399% | 
 | 77   | Rillaboom          |  0.06109% | 61     |  0.380% | 
 | 78   | Charizard          |  0.05933% | 82     |  0.511% | 
 | 79   | Sirfetch'd         |  0.05613% | 98     |  0.611% | 
 | 80   | Vikavolt           |  0.04978% | 91     |  0.567% | 
 | 81   | Klinklang          |  0.04349% | 4      |  0.025% | 
 | 82   | Silvally-Fairy     |  0.03753% | 3      |  0.019% | 
 | 83   | Haxorus            |  0.03632% | 137    |  0.854% | 
 | 84   | Accelgor           |  0.03285% | 100    |  0.623% | 
 | 85   | Centiskorch        |  0.03243% | 52     |  0.324% | 
 | 86   | Frosmoth           |  0.02785% | 42     |  0.262% | 
 | 87   | Clefable           |  0.02744% | 13     |  0.081% | 
 | 88   | Durant             |  0.02377% | 32     |  0.199% | 
 | 89   | Hawlucha           |  0.02284% | 24     |  0.150% | 
 | 90   | Flapple            |  0.02198% | 20     |  0.125% | 
 | 91   | Froslass           |  0.02160% | 53     |  0.330% | 
 | 92   | Heliolisk          |  0.02133% | 23     |  0.143% | 
 | 93   | Gastrodon          |  0.02096% | 39     |  0.243% | 
 | 94   | Arctozolt          |  0.01984% | 9      |  0.056% | 
 | 95   | Doublade           |  0.01941% | 19     |  0.118% | 
 | 96   | Rapidash-Galar     |  0.01849% | 30     |  0.187% | 
 | 97   | Leafeon            |  0.01667% | 4      |  0.025% | 
 | 98   | Scrafty            |  0.01665% | 9      |  0.056% | 
 | 99   | Rotom-Frost        |  0.01552% | 3      |  0.019% | 
 | 100  | Salazzle           |  0.01429% | 24     |  0.150% | 
 | 101  | Cursola            |  0.01324% | 40     |  0.249% | 
 | 102  | Hitmonlee          |  0.01316% | 9      |  0.056% | 
 | 103  | Linoone-Galar      |  0.01225% | 25     |  0.156% | 
 | 104  | Silvally-Electric  |  0.01163% | 9      |  0.056% | 
 | 105  | Pyukumuku          |  0.01078% | 16     |  0.100% | 
 | 106  | Unfezant           |  0.01077% | 13     |  0.081% | 
 | 107  | Falinks            |  0.00986% | 46     |  0.287% | 
 | 108  | Shiinotic          |  0.00889% | 30     |  0.187% | 
 | 109  | Persian            |  0.00771% | 12     |  0.075% | 
 | 110  | Trevenant          |  0.00638% | 6      |  0.037% | 
 | 111  | Flygon             |  0.00636% | 12     |  0.075% | 
 | 112  | Vanilluxe          |  0.00536% | 44     |  0.274% | 
 | 113  | Claydol            |  0.00536% | 27     |  0.168% | 
 | 114  | Skuntank           |  0.00499% | 7      |  0.044% | 
 | 115  | Mr. Rime           |  0.00492% | 30     |  0.187% | 
 | 116  | Cloyster           |  0.00480% | 28     |  0.175% | 
 | 117  | Togedemaru         |  0.00471% | 3      |  0.019% | 
 | 118  | Vaporeon           |  0.00394% | 6      |  0.037% | 
