 Total leads: 79454
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Eternatus          |  7.17921% | 4899   |  6.166% | 
 | 2    | Zacian-Crowned     |  5.83929% | 4375   |  5.506% | 
 | 3    | Shedinja           |  4.79394% | 4777   |  6.012% | 
 | 4    | Dragapult          |  4.59689% | 3552   |  4.471% | 
 | 5    | Shuckle            |  4.42315% | 4247   |  5.345% | 
 | 6    | Wobbuffet          |  3.99801% | 2680   |  3.373% | 
 | 7    | Ninjask            |  3.94023% | 3393   |  4.270% | 
 | 8    | Barraskewda        |  2.99338% | 2356   |  2.965% | 
 | 9    | Aegislash          |  2.98259% | 2152   |  2.708% | 
 | 10   | Zamazenta-Crowned  |  2.70393% | 2162   |  2.721% | 
 | 11   | Zacian             |  2.34503% | 1714   |  2.157% | 
 | 12   | Corsola-Galar      |  2.34149% | 1999   |  2.516% | 
 | 13   | Toxapex            |  2.20039% | 1664   |  2.094% | 
 | 14   | Melmetal           |  2.16920% | 1499   |  1.887% | 
 | 15   | Zamazenta          |  1.92637% | 1454   |  1.830% | 
 | 16   | Ferrothorn         |  1.77528% | 1367   |  1.720% | 
 | 17   | Munchlax           |  1.56390% | 1025   |  1.290% | 
 | 18   | Zekrom             |  1.45211% | 869    |  1.094% | 
 | 19   | Darmanitan-Galar-Zen |  1.43711% | 804    |  1.012% | 
 | 20   | Mewtwo             |  1.25764% | 821    |  1.033% | 
 | 21   | Zeraora            |  1.18477% | 779    |  0.980% | 
 | 22   | Kyurem-White       |  1.15959% | 750    |  0.944% | 
 | 23   | Kyurem-Black       |  1.09130% | 748    |  0.941% | 
 | 24   | Reshiram           |  1.06241% | 602    |  0.758% | 
 | 25   | Runerigus          |  1.03735% | 709    |  0.892% | 
 | 26   | Snorlax            |  1.03337% | 917    |  1.154% | 
 | 27   | Necrozma-Dusk-Mane |  0.97276% | 596    |  0.750% | 
 | 28   | Golisopod          |  0.90827% | 560    |  0.705% | 
 | 29   | Lunala             |  0.82427% | 420    |  0.529% | 
 | 30   | Tyranitar          |  0.76205% | 614    |  0.773% | 
 | 31   | Corviknight        |  0.74734% | 608    |  0.765% | 
 | 32   | Dusclops           |  0.72866% | 557    |  0.701% | 
 | 33   | Solgaleo           |  0.68478% | 404    |  0.508% | 
 | 34   | Steelix            |  0.68224% | 495    |  0.623% | 
 | 35   | Type: Null         |  0.58909% | 376    |  0.473% | 
 | 36   | Gengar             |  0.48949% | 460    |  0.579% | 
 | 37   | Bisharp            |  0.48032% | 340    |  0.428% | 
 | 38   | Gyarados           |  0.46393% | 360    |  0.453% | 
 | 39   | Mandibuzz          |  0.46304% | 307    |  0.386% | 
 | 40   | Obstagoon          |  0.46282% | 369    |  0.464% | 
 | 41   | Excadrill          |  0.43385% | 335    |  0.422% | 
 | 42   | Umbreon            |  0.42497% | 321    |  0.404% | 
 | 43   | Cosmoem            |  0.41052% | 298    |  0.375% | 
 | 44   | Cinderace          |  0.40865% | 405    |  0.510% | 
 | 45   | Dracovish          |  0.39137% | 433    |  0.545% | 
 | 46   | Mew                |  0.37997% | 369    |  0.464% | 
 | 47   | Sirfetch'd         |  0.37272% | 359    |  0.452% | 
