 Total leads: 535894
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Whimsicott         |  9.05048% | 48501  |  9.050% | 
 | 2    | Grimmsnarl         |  5.88120% | 31517  |  5.881% | 
 | 3    | Indeedee-F         |  4.38314% | 23489  |  4.383% | 
 | 4    | Dragapult          |  3.72574% | 19966  |  3.726% | 
 | 5    | Excadrill          |  3.59866% | 19285  |  3.599% | 
 | 6    | Arcanine           |  3.31801% | 17781  |  3.318% | 
 | 7    | Hatterene          |  3.06945% | 16449  |  3.069% | 
 | 8    | Duraludon          |  2.88341% | 15452  |  2.883% | 
 | 9    | Braviary           |  2.63112% | 14100  |  2.631% | 
 | 10   | Dracovish          |  2.60686% | 13970  |  2.607% | 
 | 11   | Corviknight        |  2.48071% | 13294  |  2.481% | 
 | 12   | Tyranitar          |  2.39021% | 12809  |  2.390% | 
 | 13   | Togekiss           |  2.26724% | 12150  |  2.267% | 
 | 14   | Rotom-Wash         |  2.00935% | 10768  |  2.009% | 
 | 15   | Mimikyu            |  1.80483% | 9672   |  1.805% | 
 | 16   | Lucario            |  1.70090% | 9115   |  1.701% | 
 | 17   | Pelipper           |  1.47175% | 7887   |  1.472% | 
 | 18   | Charizard          |  1.12616% | 6035   |  1.126% | 
 | 19   | Gyarados           |  1.10414% | 5917   |  1.104% | 
 | 20   | Sylveon            |  1.05805% | 5670   |  1.058% | 
 | 21   | Oranguru           |  1.05767% | 5668   |  1.058% | 
 | 22   | Rotom-Heat         |  1.02110% | 5472   |  1.021% | 
 | 23   | Darmanitan-Galar   |  1.00729% | 5398   |  1.007% | 
 | 24   | Dusclops           |  0.99087% | 5310   |  0.991% | 
 | 25   | Ludicolo           |  0.97482% | 5224   |  0.975% | 
 | 26   | Gastrodon          |  0.94870% | 5084   |  0.949% | 
 | 27   | Scrafty            |  0.94384% | 5058   |  0.944% | 
 | 28   | Torkoal            |  0.91343% | 4895   |  0.913% | 
 | 29   | Mudsdale           |  0.90746% | 4863   |  0.907% | 
 | 30   | Hydreigon          |  0.89047% | 4772   |  0.890% | 
 | 31   | Butterfree         |  0.85371% | 4575   |  0.854% | 
 | 32   | Rhyperior          |  0.82255% | 4408   |  0.823% | 
 | 33   | Coalossal          |  0.80781% | 4329   |  0.808% | 
 | 34   | Ferrothorn         |  0.79325% | 4251   |  0.793% | 
 | 35   | Chandelure         |  0.78019% | 4181   |  0.780% | 
 | 36   | Weezing-Galar      |  0.77814% | 4170   |  0.778% | 
 | 37   | Snorlax            |  0.77235% | 4139   |  0.772% | 
 | 38   | Toxtricity         |  0.75631% | 4053   |  0.756% | 
 | 39   | Rotom-Mow          |  0.74828% | 4010   |  0.748% | 
 | 40   | Bronzong           |  0.69155% | 3706   |  0.692% | 
 | 41   | Hitmontop          |  0.67644% | 3625   |  0.676% | 
 | 42   | Barraskewda        |  0.65815% | 3527   |  0.658% | 
 | 43   | Milotic            |  0.52137% | 2794   |  0.521% | 
 | 44   | Gothitelle         |  0.51559% | 2763   |  0.516% | 
 | 45   | Hawlucha           |  0.51055% | 2736   |  0.511% | 
 | 46   | Indeedee           |  0.48051% | 2575   |  0.481% | 
 | 47   | Sableye            |  0.47285% | 2534   |  0.473% | 
 | 48   | Weavile            |  0.45233% | 2424   |  0.452% | 
 | 49   | Togedemaru         |  0.43572% | 2335   |  0.436% | 
 | 50   | Obstagoon          |  0.42714% | 2289   |  0.427% | 
 | 51   | Raichu             |  0.41295% | 2213   |  0.413% | 
 | 52   | Conkeldurr         |  0.38944% | 2087   |  0.389% | 
 | 53   | Lapras             |  0.37881% | 2030   |  0.379% | 
 | 54   | Runerigus          |  0.37414% | 2005   |  0.374% | 
 | 55   | Vanilluxe          |  0.37283% | 1998   |  0.373% | 
 | 56   | Gardevoir          |  0.36015% | 1930   |  0.360% | 
 | 57   | Gengar             |  0.34727% | 1861   |  0.347% | 
 | 58   | Jellicent          |  0.32320% | 1732   |  0.323% | 
 | 59   | Rillaboom          |  0.32301% | 1731   |  0.323% | 
 | 60   | Aegislash          |  0.32152% | 1723   |  0.322% | 
 | 61   | Kommo-o            |  0.31014% | 1662   |  0.310% | 
 | 62   | Cinderace          |  0.30230% | 1620   |  0.302% | 
 | 63   | Vileplume          |  0.30006% | 1608   |  0.300% | 
 | 64   | Alcremie           |  0.29633% | 1588   |  0.296% | 
 | 65   | Clefable           |  0.29558% | 1584   |  0.296% | 
 | 66   | Reuniclus          |  0.29241% | 1567   |  0.292% | 
 | 67   | Inteleon           |  0.28009% | 1501   |  0.280% | 
 | 68   | Ninetales          |  0.27300% | 1463   |  0.273% | 
 | 69   | Haxorus            |  0.27188% | 1457   |  0.272% | 
 | 70   | Bisharp            |  0.26834% | 1438   |  0.268% | 
 | 71   | Dracozolt          |  0.25415% | 1362   |  0.254% | 
 | 72   | Mamoswine          |  0.25359% | 1359   |  0.254% | 
 | 73   | Malamar            |  0.24725% | 1325   |  0.247% | 
 | 74   | Drifblim           |  0.24333% | 1304   |  0.243% | 
 | 75   | Eiscue             |  0.24221% | 1298   |  0.242% | 
 | 76   | Perrserker         |  0.23549% | 1262   |  0.235% | 
 | 77   | Gallade            |  0.23027% | 1234   |  0.230% | 
 | 78   | Durant             |  0.22411% | 1201   |  0.224% | 
 | 79   | Salazzle           |  0.21926% | 1175   |  0.219% | 
 | 80   | Silvally           |  0.21795% | 1168   |  0.218% | 
 | 81   | Mandibuzz          |  0.21553% | 1155   |  0.216% | 
 | 82   | Cofagrigus         |  0.21068% | 1129   |  0.211% | 
 | 83   | Greedent           |  0.19985% | 1071   |  0.200% | 
 | 84   | Polteageist        |  0.19220% | 1030   |  0.192% | 
 | 85   | Falinks            |  0.19146% | 1026   |  0.191% | 
 | 86   | Seismitoad         |  0.18903% | 1013   |  0.189% | 
 | 87   | Sirfetch'd         |  0.17597% | 943    |  0.176% | 
 | 88   | Morpeko            |  0.17578% | 942    |  0.176% | 
 | 89   | Copperajah         |  0.17410% | 933    |  0.174% | 
 | 90   | Goodra             |  0.17242% | 924    |  0.172% | 
 | 91   | Abomasnow          |  0.17112% | 917    |  0.171% | 
 | 92   | Drednaw            |  0.16869% | 904    |  0.169% | 
 | 93   | Mr. Mime-Galar     |  0.16776% | 899    |  0.168% | 
 | 94   | Corsola-Galar      |  0.16402% | 879    |  0.164% | 
 | 95   | Orbeetle           |  0.16235% | 870    |  0.162% | 
 | 96   | Centiskorch        |  0.16123% | 864    |  0.161% | 
 | 97   | Gigalith           |  0.16085% | 862    |  0.161% | 
 | 98   | Heliolisk          |  0.15843% | 849    |  0.158% | 
 | 99   | Mr. Rime           |  0.15022% | 805    |  0.150% | 
 | 100  | Umbreon            |  0.14947% | 801    |  0.149% | 
 | 101  | Ribombee           |  0.14910% | 799    |  0.149% | 
 | 102  | Appletun           |  0.14648% | 785    |  0.146% | 
 | 103  | Tsareena           |  0.13995% | 750    |  0.140% | 
 | 104  | Golisopod          |  0.13659% | 732    |  0.137% | 
 | 105  | Stonjourner        |  0.13491% | 723    |  0.135% | 
 | 106  | Vikavolt           |  0.13380% | 717    |  0.134% | 
 | 107  | Toxapex            |  0.13025% | 698    |  0.130% | 
 | 108  | Shiftry            |  0.12297% | 659    |  0.123% | 
 | 109  | Araquanid          |  0.11775% | 631    |  0.118% | 
 | 110  | Pincurchin         |  0.11756% | 630    |  0.118% | 
 | 111  | Eldegoss           |  0.11569% | 620    |  0.116% | 
 | 112  | Leafeon            |  0.11476% | 615    |  0.115% | 
 | 113  | Accelgor           |  0.11159% | 598    |  0.112% | 
 | 114  | Shuckle            |  0.11066% | 593    |  0.111% | 
 | 115  | Togetic            |  0.10860% | 582    |  0.109% | 
 | 116  | Noivern            |  0.10674% | 572    |  0.107% | 
 | 117  | Dusknoir           |  0.10524% | 564    |  0.105% | 
 | 118  | Frosmoth           |  0.10487% | 562    |  0.105% | 
 | 119  | Flygon             |  0.10301% | 552    |  0.103% | 
 | 120  | Espeon             |  0.09871% | 529    |  0.099% | 
 | 121  | Toxicroak          |  0.09610% | 515    |  0.096% | 
 | 122  | Sandaconda         |  0.09312% | 499    |  0.093% | 
 | 123  | Jolteon            |  0.09218% | 494    |  0.092% | 
 | 124  | Cursola            |  0.08938% | 479    |  0.089% | 
 | 125  | Crawdaunt          |  0.08435% | 452    |  0.084% | 
 | 126  | Drampa             |  0.08435% | 452    |  0.084% | 
 | 127  | Machamp            |  0.08323% | 446    |  0.083% | 
 | 128  | Dubwool            |  0.08323% | 446    |  0.083% | 
 | 129  | Rapidash-Galar     |  0.08099% | 434    |  0.081% | 
 | 130  | Cloyster           |  0.08005% | 429    |  0.080% | 
 | 131  | Drapion            |  0.07688% | 412    |  0.077% | 
 | 132  | Shiinotic          |  0.07632% | 409    |  0.076% | 
 | 133  | Aromatisse         |  0.07390% | 396    |  0.074% | 
 | 134  | Cramorant          |  0.06848% | 367    |  0.068% | 
 | 135  | Grapploct          |  0.06848% | 367    |  0.068% | 
 | 136  | Arctozolt          |  0.06830% | 366    |  0.068% | 
 | 137  | Escavalier         |  0.06792% | 364    |  0.068% | 
 | 138  | Galvantula         |  0.06792% | 364    |  0.068% | 
 | 139  | Roserade           |  0.06680% | 358    |  0.067% | 
 | 140  | Diggersby          |  0.06624% | 355    |  0.066% | 
 | 141  | Hippowdon          |  0.06568% | 352    |  0.066% | 
 | 142  | Trevenant          |  0.06550% | 351    |  0.065% | 
 | 143  | Cinccino           |  0.06531% | 350    |  0.065% | 
 | 144  | Manectric          |  0.06457% | 346    |  0.065% | 
 | 145  | Steelix            |  0.06083% | 326    |  0.061% | 
 | 146  | Dhelmise           |  0.05897% | 316    |  0.059% | 
 | 147  | Hitmonlee          |  0.05785% | 310    |  0.058% | 
 | 148  | Clefairy           |  0.05691% | 305    |  0.057% | 
 | 149  | Froslass           |  0.05542% | 297    |  0.055% | 
 | 150  | Vaporeon           |  0.05281% | 283    |  0.053% | 
 | 151  | Bellossom          |  0.05038% | 270    |  0.050% | 
 | 152  | Flareon            |  0.05020% | 269    |  0.050% | 
 | 153  | Glaceon            |  0.04833% | 259    |  0.048% | 
 | 154  | Pikachu            |  0.04833% | 259    |  0.048% | 
 | 155  | Beartic            |  0.04702% | 252    |  0.047% | 
 | 156  | Xatu               |  0.04516% | 242    |  0.045% | 
 | 157  | Klinklang          |  0.04348% | 233    |  0.043% | 
 | 158  | Sigilyph           |  0.04329% | 232    |  0.043% | 
 | 159  | Boltund            |  0.04236% | 227    |  0.042% | 
 | 160  | Passimian          |  0.04236% | 227    |  0.042% | 
 | 161  | Slurpuff           |  0.04161% | 223    |  0.042% | 
 | 162  | Gourgeist-Super    |  0.04105% | 220    |  0.041% | 
 | 163  | Dugtrio            |  0.04049% | 217    |  0.040% | 
 | 164  | Arctovish          |  0.03937% | 211    |  0.039% | 
 | 165  | Dottler            |  0.03919% | 210    |  0.039% | 
 | 166  | Pyukumuku          |  0.03919% | 210    |  0.039% | 
 | 167  | Flapple            |  0.03919% | 210    |  0.039% | 
 | 168  | Qwilfish           |  0.03881% | 208    |  0.039% | 
 | 169  | Ninjask            |  0.03732% | 200    |  0.037% | 
 | 170  | Musharna           |  0.03340% | 179    |  0.033% | 
 | 171  | Mantine            |  0.03340% | 179    |  0.033% | 
 | 172  | Wishiwashi         |  0.03004% | 161    |  0.030% | 
 | 173  | Rhydon             |  0.02892% | 155    |  0.029% | 
 | 174  | Rotom-Fan          |  0.02874% | 154    |  0.029% | 
 | 175  | Bewear             |  0.02762% | 148    |  0.028% | 
 | 176  | Maractus           |  0.02743% | 147    |  0.027% | 
 | 177  | Octillery          |  0.02668% | 143    |  0.027% | 
 | 178  | Quagsire           |  0.02650% | 142    |  0.026% | 
 | 179  | Rotom-Frost        |  0.02594% | 139    |  0.026% | 
 | 180  | Swoobat            |  0.02426% | 130    |  0.024% | 
 | 181  | Claydol            |  0.02426% | 130    |  0.024% | 
 | 182  | Cherrim            |  0.02407% | 129    |  0.024% | 
 | 183  | Sneasel            |  0.02407% | 129    |  0.024% | 
 | 184  | Shedinja           |  0.02389% | 128    |  0.024% | 
 | 185  | Barbaracle         |  0.02202% | 118    |  0.022% | 
 | 186  | Turtonator         |  0.02183% | 117    |  0.022% | 
 | 187  | Glalie             |  0.02034% | 109    |  0.020% | 
 | 188  | Gothorita          |  0.01997% | 107    |  0.020% | 
 | 189  | Hitmonchan         |  0.01959% | 105    |  0.020% | 
 | 190  | Thievul            |  0.01959% | 105    |  0.020% | 
 | 191  | Silvally-Grass     |  0.01941% | 104    |  0.019% | 
 | 192  | Crustle            |  0.01922% | 103    |  0.019% | 
