 Total leads: 618490
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Dragapult          | 11.63190% | 46499  |  7.518% | 
 | 2    | Excadrill          |  6.91377% | 35031  |  5.664% | 
 | 3    | Darmanitan-Galar   |  5.09668% | 26280  |  4.249% | 
 | 4    | Grimmsnarl         |  4.87532% | 39519  |  6.390% | 
 | 5    | Hippowdon          |  4.09179% | 11278  |  1.823% | 
 | 6    | Tyranitar          |  4.01472% | 16695  |  2.699% | 
 | 7    | Aegislash          |  4.01048% | 12714  |  2.056% | 
 | 8    | Hydreigon          |  3.70463% | 15532  |  2.511% | 
 | 9    | Mimikyu            |  3.39639% | 15551  |  2.514% | 
 | 10   | Rotom-Wash         |  3.29527% | 18777  |  3.036% | 
 | 11   | Sylveon            |  2.60173% | 11939  |  1.930% | 
 | 12   | Rotom-Heat         |  2.26473% | 17259  |  2.791% | 
 | 13   | Corviknight        |  2.09547% | 13492  |  2.181% | 
 | 14   | Cinderace          |  1.97033% | 11326  |  1.831% | 
 | 15   | Togekiss           |  1.72853% | 13176  |  2.130% | 
 | 16   | Snorlax            |  1.47390% | 4594   |  0.743% | 
 | 17   | Toxapex            |  1.47346% | 9215   |  1.490% | 
 | 18   | Whimsicott         |  1.47211% | 12853  |  2.078% | 
 | 19   | Gyarados           |  1.35595% | 8636   |  1.396% | 
 | 20   | Dracovish          |  1.18053% | 7289   |  1.179% | 
 | 21   | Arcanine           |  1.15668% | 7005   |  1.133% | 
 | 22   | Seismitoad         |  1.12066% | 3773   |  0.610% | 
 | 23   | Gastrodon          |  1.03480% | 5958   |  0.963% | 
 | 24   | Torkoal            |  1.02696% | 4006   |  0.648% | 
 | 25   | Hatterene          |  0.97171% | 7633   |  1.234% | 
 | 26   | Inteleon           |  0.96062% | 2918   |  0.472% | 
 | 27   | Duraludon          |  0.88815% | 5057   |  0.818% | 
 | 28   | Type: Null         |  0.86956% | 1176   |  0.190% | 
 | 29   | Ferrothorn         |  0.83271% | 9673   |  1.564% | 
 | 30   | Conkeldurr         |  0.81093% | 4672   |  0.755% | 
 | 31   | Toxtricity         |  0.78147% | 5649   |  0.913% | 
 | 32   | Dracozolt          |  0.77280% | 3610   |  0.584% | 
 | 33   | Cloyster           |  0.76980% | 6845   |  1.107% | 
 | 34   | Quagsire           |  0.66779% | 3151   |  0.509% | 
 | 35   | Corsola-Galar      |  0.64969% | 7913   |  1.279% | 
 | 36   | Umbreon            |  0.64541% | 3272   |  0.529% | 
 | 37   | Rhyperior          |  0.63313% | 3375   |  0.546% | 
 | 38   | Bisharp            |  0.62968% | 3246   |  0.525% | 
 | 39   | Mamoswine          |  0.61843% | 1991   |  0.322% | 
 | 40   | Rotom-Mow          |  0.60933% | 3494   |  0.565% | 
 | 41   | Durant             |  0.48853% | 3477   |  0.562% | 
 | 42   | Charizard          |  0.46220% | 3941   |  0.637% | 
 | 43   | Lapras             |  0.45864% | 2624   |  0.424% | 
 | 44   | Gengar             |  0.41609% | 4574   |  0.740% | 
 | 45   | Sandaconda         |  0.41240% | 3345   |  0.541% | 
 | 46   | Lucario            |  0.37253% | 2332   |  0.377% | 
 | 47   | Haxorus            |  0.36929% | 3501   |  0.566% | 
 | 48   | Milotic            |  0.35613% | 2451   |  0.396% | 
 | 49   | Clefable           |  0.34909% | 2531   |  0.409% | 
 | 50   | Pelipper           |  0.34689% | 5289   |  0.855% | 
 | 51   | Coalossal          |  0.33251% | 1301   |  0.210% | 
 | 52   | Chandelure         |  0.31467% | 3127   |  0.506% | 
 | 53   | Rillaboom          |  0.31162% | 2613   |  0.422% | 
 | 54   | Obstagoon          |  0.30328% | 4349   |  0.703% | 
 | 55   | Vanilluxe          |  0.28978% | 2038   |  0.330% | 
 | 56   | Heliolisk          |  0.27182% | 1450   |  0.234% | 
 | 57   | Salazzle           |  0.26301% | 2817   |  0.455% | 
 | 58   | Polteageist        |  0.25240% | 5396   |  0.872% | 
 | 59   | Sirfetch'd         |  0.24661% | 2215   |  0.358% | 
 | 60   | Garbodor           |  0.24283% | 496    |  0.080% | 
 | 61   | Glalie             |  0.21322% | 1094   |  0.177% | 
 | 62   | Galvantula         |  0.21192% | 4758   |  0.769% | 
 | 63   | Hawlucha           |  0.20688% | 2113   |  0.342% | 
