 Total leads: 24142
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Dragapult          | 15.78273% | 1851   |  7.667% | 
 | 2    | Shuckle            |  6.80840% | 547    |  2.266% | 
 | 3    | Dracovish          |  6.00439% | 658    |  2.726% | 
 | 4    | Cinderace          |  5.19694% | 1070   |  4.432% | 
 | 5    | Mew                |  4.06053% | 678    |  2.808% | 
 | 6    | Excadrill          |  3.91426% | 839    |  3.475% | 
 | 7    | Pelipper           |  3.07458% | 679    |  2.813% | 
 | 8    | Vikavolt           |  2.96569% | 505    |  2.092% | 
 | 9    | Hydreigon          |  2.85468% | 669    |  2.771% | 
 | 10   | Toxtricity         |  2.80208% | 1115   |  4.619% | 
 | 11   | Polteageist        |  2.14444% | 392    |  1.624% | 
 | 12   | Corsola-Galar      |  1.87905% | 624    |  2.585% | 
 | 13   | Coalossal          |  1.79371% | 594    |  2.460% | 
 | 14   | Haxorus            |  1.67303% | 381    |  1.578% | 
 | 15   | Inteleon           |  1.60500% | 328    |  1.359% | 
 | 16   | Onix               |  1.48890% | 104    |  0.431% | 
 | 17   | Darmanitan-Galar   |  1.40555% | 407    |  1.686% | 
 | 18   | Durant             |  1.39479% | 62     |  0.257% | 
 | 19   | Sirfetch'd         |  1.35942% | 277    |  1.147% | 
 | 20   | Orbeetle           |  1.28955% | 312    |  1.292% | 
 | 21   | Kommo-o            |  1.15371% | 271    |  1.123% | 
 | 22   | Noivern            |  1.11946% | 159    |  0.659% | 
 | 23   | Runerigus          |  1.07145% | 283    |  1.172% | 
 | 24   | Cinccino           |  1.02871% | 211    |  0.874% | 
 | 25   | Ferrothorn         |  0.99893% | 451    |  1.868% | 
 | 26   | Barbaracle         |  0.92449% | 156    |  0.646% | 
 | 27   | Hatterene          |  0.86946% | 226    |  0.936% | 
 | 28   | Diggersby          |  0.77383% | 150    |  0.621% | 
 | 29   | Mandibuzz          |  0.70684% | 80     |  0.331% | 
 | 30   | Chandelure         |  0.70539% | 110    |  0.456% | 
 | 31   | Boltund            |  0.70438% | 249    |  1.031% | 
 | 32   | Toxapex            |  0.69979% | 239    |  0.990% | 
 | 33   | Ninetales          |  0.68654% | 120    |  0.497% | 
 | 34   | Gengar             |  0.67884% | 128    |  0.530% | 
 | 35   | Steelix            |  0.64818% | 130    |  0.538% | 
 | 36   | Claydol            |  0.64464% | 194    |  0.804% | 
 | 37   | Clefable           |  0.61511% | 200    |  0.828% | 
 | 38   | Tyranitar          |  0.58617% | 321    |  1.330% | 
 | 39   | Conkeldurr         |  0.57681% | 136    |  0.563% | 
 | 40   | Copperajah         |  0.54237% | 198    |  0.820% | 
 | 41   | Araquanid          |  0.51369% | 246    |  1.019% | 
 | 42   | Weezing-Galar      |  0.50430% | 211    |  0.874% | 
 | 43   | Indeedee           |  0.49526% | 61     |  0.253% | 
 | 44   | Dhelmise           |  0.49292% | 76     |  0.315% | 
 | 45   | Ribombee           |  0.48641% | 270    |  1.118% | 
 | 46   | Avalugg            |  0.47201% | 120    |  0.497% | 
 | 47   | Obstagoon          |  0.39012% | 197    |  0.816% | 
 | 48   | Rillaboom          |  0.37381% | 141    |  0.584% | 
 | 49   | Passimian          |  0.37297% | 50     |  0.207% | 
 | 50   | Frosmoth           |  0.36378% | 121    |  0.501% | 
 | 51   | Weavile            |  0.36152% | 49     |  0.203% | 
 | 52   | Grapploct          |  0.35095% | 58     |  0.240% | 
 | 53   | Perrserker         |  0.34328% | 78     |  0.323% | 
 | 54   | Lucario            |  0.34013% | 95     |  0.394% | 
 | 55   | Glalie             |  0.33861% | 69     |  0.286% | 
 | 56   | Ditto              |  0.31447% | 144    |  0.596% | 
 | 57   | Braviary           |  0.31311% | 57     |  0.236% | 
 | 58   | Grimmsnarl         |  0.30378% | 251    |  1.040% | 
 | 59   | Aegislash          |  0.29365% | 120    |  0.497% | 
