 Total leads: 92270
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Grimmsnarl         | 15.11822% | 7264   |  7.873% | 
 | 2    | Dragapult          | 10.02370% | 4986   |  5.404% | 
 | 3    | Lapras             |  7.90535% | 1025   |  1.111% | 
 | 4    | Excadrill          |  7.82789% | 2541   |  2.754% | 
 | 5    | Tyranitar          |  6.51128% | 1501   |  1.627% | 
 | 6    | Darmanitan-Galar   |  3.62961% | 4541   |  4.921% | 
 | 7    | Mimikyu            |  3.03312% | 2112   |  2.289% | 
 | 8    | Snorlax            |  2.71146% | 687    |  0.745% | 
 | 9    | Rotom-Heat         |  2.69863% | 1790   |  1.940% | 
 | 10   | Togekiss           |  2.14474% | 1917   |  2.078% | 
 | 11   | Ferrothorn         |  1.84530% | 2565   |  2.780% | 
 | 12   | Rotom-Wash         |  1.71309% | 1822   |  1.975% | 
 | 13   | Toxapex            |  1.68207% | 1844   |  1.998% | 
 | 14   | Hippowdon          |  1.67451% | 365    |  0.396% | 
 | 15   | Corviknight        |  1.51606% | 1920   |  2.081% | 
 | 16   | Polteageist        |  1.32401% | 1883   |  2.041% | 
 | 17   | Hydreigon          |  1.24934% | 1238   |  1.342% | 
 | 18   | Dracovish          |  1.21355% | 2291   |  2.483% | 
 | 19   | Corsola-Galar      |  1.18773% | 2966   |  3.214% | 
 | 20   | Hatterene          |  1.16945% | 1814   |  1.966% | 
 | 21   | Pelipper           |  1.15018% | 1319   |  1.430% | 
 | 22   | Conkeldurr         |  1.08997% | 399    |  0.432% | 
 | 23   | Gyarados           |  1.08734% | 1178   |  1.277% | 
 | 24   | Sylveon            |  1.02788% | 531    |  0.575% | 
 | 25   | Aegislash          |  1.01160% | 866    |  0.939% | 
 | 26   | Dracozolt          |  0.95244% | 517    |  0.560% | 
 | 27   | Cloyster           |  0.92214% | 789    |  0.855% | 
 | 28   | Cinderace          |  0.91447% | 2387   |  2.587% | 
 | 29   | Duraludon          |  0.78227% | 732    |  0.793% | 
 | 30   | Arcanine           |  0.77880% | 509    |  0.552% | 
 | 31   | Rotom-Mow          |  0.70530% | 168    |  0.182% | 
 | 32   | Barraskewda        |  0.68044% | 537    |  0.582% | 
 | 33   | Gastrodon          |  0.62797% | 726    |  0.787% | 
 | 34   | Eiscue             |  0.55215% | 811    |  0.879% | 
 | 35   | Galvantula         |  0.54028% | 1202   |  1.303% | 
 | 36   | Sandaconda         |  0.49080% | 454    |  0.492% | 
 | 37   | Charizard          |  0.44875% | 685    |  0.742% | 
 | 38   | Clefable           |  0.42054% | 435    |  0.471% | 
 | 39   | Toxtricity         |  0.39521% | 1561   |  1.692% | 
 | 40   | Butterfree         |  0.37670% | 525    |  0.569% | 
 | 41   | Copperajah         |  0.35455% | 519    |  0.562% | 
 | 42   | Whimsicott         |  0.35432% | 947    |  1.026% | 
 | 43   | Chandelure         |  0.30741% | 415    |  0.450% | 
 | 44   | Seismitoad         |  0.26295% | 349    |  0.378% | 
 | 45   | Goodra             |  0.24136% | 173    |  0.187% | 
 | 46   | Obstagoon          |  0.22984% | 859    |  0.931% | 
 | 47   | Pyukumuku          |  0.22353% | 310    |  0.336% | 
