 Total leads: 77778
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Cutiefly           |  9.43739% | 7054   |  9.069% | 
 | 2    | Onix               |  8.68932% | 6309   |  8.112% | 
 | 3    | Ferroseed          |  7.68944% | 6127   |  7.878% | 
 | 4    | Vullaby            |  6.67491% | 4193   |  5.391% | 
 | 5    | Drilbur            |  5.28185% | 3645   |  4.686% | 
 | 6    | Farfetch'd-Galar   |  3.79545% | 2807   |  3.609% | 
 | 7    | Vulpix             |  3.22549% | 2242   |  2.883% | 
 | 8    | Dwebble            |  3.15222% | 2318   |  2.980% | 
 | 9    | Chinchou           |  2.62012% | 1928   |  2.479% | 
 | 10   | Corphish           |  2.61964% | 1666   |  2.142% | 
 | 11   | Diglett            |  2.49070% | 1854   |  2.384% | 
 | 12   | Mudbray            |  2.46420% | 1668   |  2.145% | 
 | 13   | Mareanie           |  2.12546% | 1671   |  2.148% | 
 | 14   | Timburr            |  1.92575% | 1226   |  1.576% | 
 | 15   | Wingull            |  1.72774% | 1112   |  1.430% | 
 | 16   | Dewpider           |  1.57084% | 1228   |  1.579% | 
 | 17   | Shellder           |  1.54384% | 1269   |  1.632% | 
 | 18   | Meowth             |  1.46360% | 1196   |  1.538% | 
 | 19   | Trapinch           |  1.39770% | 981    |  1.261% | 
 | 20   | Pawniard           |  1.38492% | 947    |  1.218% | 
 | 21   | Natu               |  1.25454% | 1077   |  1.385% | 
 | 22   | Ponyta-Galar       |  1.13839% | 885    |  1.138% | 
 | 23   | Cufant             |  1.07812% | 942    |  1.211% | 
 | 24   | Drifloon           |  0.97814% | 721    |  0.927% | 
 | 25   | Frillish           |  0.97574% | 695    |  0.894% | 
 | 26   | Scorbunny          |  0.89144% | 777    |  0.999% | 
 | 27   | Munchlax           |  0.85178% | 674    |  0.867% | 
 | 28   | Rufflet            |  0.76741% | 532    |  0.684% | 
 | 29   | Koffing            |  0.73283% | 602    |  0.774% | 
 | 30   | Salandit           |  0.72742% | 615    |  0.791% | 
 | 31   | Hippopotas         |  0.71998% | 617    |  0.793% | 
 | 32   | Darumaka-Galar     |  0.65966% | 632    |  0.813% | 
 | 33   | Cottonee           |  0.60884% | 611    |  0.786% | 
 | 34   | Baltoy             |  0.60517% | 558    |  0.717% | 
 | 35   | Spritzee           |  0.58516% | 392    |  0.504% | 
 | 36   | Impidimp           |  0.56987% | 597    |  0.768% | 
 | 37   | Bronzor            |  0.51813% | 547    |  0.703% | 
 | 38   | Scraggy            |  0.49879% | 426    |  0.548% | 
 | 39   | Wimpod             |  0.48694% | 271    |  0.348% | 
 | 40   | Krabby             |  0.47947% | 421    |  0.541% | 
 | 41   | Oddish             |  0.45303% | 312    |  0.401% | 
 | 42   | Grookey            |  0.44213% | 416    |  0.535% | 
 | 43   | Meowth-Galar       |  0.40362% | 345    |  0.444% | 
 | 44   | Growlithe          |  0.39953% | 341    |  0.438% | 
 | 45   | Croagunk           |  0.39360% | 350    |  0.450% | 
 | 46   | Gossifleur         |  0.34479% | 297    |  0.382% | 
 | 47   | Bunnelby           |  0.33960% | 289    |  0.372% | 
 | 48   | Arrokuda           |  0.31959% | 362    |  0.465% | 
