 Total leads: 15944
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Corviknight        | 28.39001% | 1143   |  7.169% | 
 | 2    | Eternatus          |  6.52159% | 336    |  2.107% | 
 | 3    | Dragapult          |  4.69973% | 928    |  5.820% | 
 | 4    | Noivern            |  4.61828% | 372    |  2.333% | 
 | 5    | Gastrodon          |  4.29979% | 164    |  1.029% | 
 | 6    | Excadrill          |  3.50180% | 313    |  1.963% | 
 | 7    | Rhyperior          |  3.13539% | 123    |  0.771% | 
 | 8    | Hippowdon          |  3.09534% | 233    |  1.461% | 
 | 9    | Mamoswine          |  2.71611% | 151    |  0.947% | 
 | 10   | Arcanine           |  2.37686% | 237    |  1.486% | 
 | 11   | Orbeetle           |  2.04697% | 273    |  1.712% | 
 | 12   | Toxtricity         |  1.90113% | 403    |  2.528% | 
 | 13   | Shuckle            |  1.86375% | 641    |  4.020% | 
 | 14   | Cursola            |  1.78190% | 179    |  1.123% | 
 | 15   | Darmanitan-Galar   |  1.72030% | 283    |  1.775% | 
 | 16   | Clefable           |  1.71207% | 124    |  0.778% | 
 | 17   | Toxapex            |  1.55263% | 278    |  1.744% | 
 | 18   | Cinderace          |  1.33552% | 641    |  4.020% | 
 | 19   | Mew                |  1.19857% | 240    |  1.505% | 
 | 20   | Rotom-Wash         |  1.19021% | 68     |  0.426% | 
 | 21   | Barraskewda        |  1.09375% | 228    |  1.430% | 
 | 22   | Vaporeon           |  1.02777% | 84     |  0.527% | 
 | 23   | Mandibuzz          |  1.01577% | 191    |  1.198% | 
 | 24   | Jellicent          |  0.99241% | 52     |  0.326% | 
 | 25   | Vikavolt           |  0.95919% | 94     |  0.590% | 
 | 26   | Gengar             |  0.67673% | 141    |  0.884% | 
 | 27   | Ditto              |  0.64031% | 165    |  1.035% | 
 | 28   | Pelipper           |  0.60038% | 173    |  1.085% | 
 | 29   | Steelix            |  0.58810% | 49     |  0.307% | 
 | 30   | Hydreigon          |  0.58299% | 162    |  1.016% | 
 | 31   | Milotic            |  0.57392% | 43     |  0.270% | 
 | 32   | Runerigus          |  0.56270% | 124    |  0.778% | 
 | 33   | Kommo-o            |  0.53857% | 245    |  1.537% | 
 | 34   | Dracozolt          |  0.52976% | 131    |  0.822% | 
 | 35   | Ferrothorn         |  0.51611% | 247    |  1.549% | 
 | 36   | Duraludon          |  0.47188% | 155    |  0.972% | 
 | 37   | Tyranitar          |  0.45868% | 153    |  0.960% | 
 | 38   | Pangoro            |  0.45376% | 19     |  0.119% | 
 | 39   | Rotom-Heat         |  0.45265% | 82     |  0.514% | 
 | 40   | Corsola-Galar      |  0.39848% | 119    |  0.746% | 
 | 41   | Indeedee           |  0.39745% | 58     |  0.364% | 
 | 42   | Vileplume          |  0.37976% | 8      |  0.050% | 
 | 43   | Dracovish          |  0.32356% | 296    |  1.856% | 
 | 44   | Lucario            |  0.31941% | 64     |  0.401% | 
 | 45   | Reuniclus          |  0.31645% | 80     |  0.502% | 
 | 46   | Musharna           |  0.28584% | 36     |  0.226% | 
 | 47   | Chandelure         |  0.26648% | 82     |  0.514% | 
 | 48   | Dugtrio            |  0.24916% | 88     |  0.552% | 
 | 49   | Zacian             |  0.23953% | 40     |  0.251% | 
 | 50   | Seismitoad         |  0.22211% | 33     |  0.207% | 
 | 51   | Weavile            |  0.22184% | 267    |  1.675% | 
 | 52   | Zamazenta-Crowned  |  0.21797% | 83     |  0.521% | 
 | 53   | Glalie             |  0.21626% | 30     |  0.188% | 
 | 54   | Bronzong           |  0.21515% | 53     |  0.332% | 
 | 55   | Lapras             |  0.19742% | 47     |  0.295% | 
 | 56   | Galvantula         |  0.19467% | 113    |  0.709% | 
 | 57   | Cloyster           |  0.14066% | 89     |  0.558% | 
 | 58   | Torkoal            |  0.13382% | 42     |  0.263% | 
 | 59   | Sylveon            |  0.12852% | 34     |  0.213% | 
 | 60   | Centiskorch        |  0.12747% | 66     |  0.414% | 
 | 61   | Hatterene          |  0.12744% | 116    |  0.728% | 
 | 62   | Mimikyu            |  0.12038% | 148    |  0.928% | 
 | 63   | Morpeko            |  0.10892% | 131    |  0.822% | 
 | 64   | Mr. Rime           |  0.10720% | 12     |  0.075% | 
 | 65   | Lucario-Mega       |  0.10006% | 26     |  0.163% | 
 | 66   | Inteleon           |  0.09917% | 265    |  1.662% | 
 | 67   | Drampa             |  0.09011% | 7      |  0.044% | 
 | 68   | Charizard-Mega-Y   |  0.08577% | 25     |  0.157% | 
 | 69   | Grimmsnarl         |  0.07587% | 229    |  1.436% | 
 | 70   | Ribombee           |  0.07576% | 97     |  0.608% | 
 | 71   | Obstagoon          |  0.07115% | 45     |  0.282% | 
 | 72   | Drednaw            |  0.06549% | 35     |  0.220% | 
 | 73   | Roserade           |  0.06538% | 29     |  0.182% | 
 | 74   | Snorlax            |  0.06383% | 54     |  0.339% | 
 | 75   | Golisopod          |  0.05398% | 82     |  0.514% | 
 | 76   | Dubwool            |  0.05318% | 28     |  0.176% | 
 | 77   | Bisharp            |  0.05237% | 52     |  0.326% | 
 | 78   | Gigalith           |  0.05063% | 15     |  0.094% | 
 | 79   | Drifblim           |  0.04588% | 7      |  0.044% | 
 | 80   | Shiinotic          |  0.04479% | 25     |  0.157% | 
 | 81   | Rillaboom          |  0.04393% | 81     |  0.508% | 
 | 82   | Alcremie           |  0.04067% | 38     |  0.238% | 
 | 83   | Gyarados           |  0.03939% | 88     |  0.552% | 
 | 84   | Slurpuff           |  0.03931% | 18     |  0.113% | 
 | 85   | Haxorus            |  0.03886% | 90     |  0.564% | 
 | 86   | Zamazenta          |  0.03834% | 18     |  0.113% | 
 | 87   | Jolteon            |  0.03389% | 114    |  0.715% | 
 | 88   | Drapion            |  0.03361% | 20     |  0.125% | 
 | 89   | Silvally           |  0.03329% | 8      |  0.050% | 
 | 90   | Polteageist        |  0.02949% | 39     |  0.245% | 
 | 91   | Turtonator         |  0.02846% | 90     |  0.564% | 
 | 92   | Stunfisk-Galar     |  0.02805% | 9      |  0.056% | 
 | 93   | Sudowoodo          |  0.02515% | 5      |  0.031% | 
 | 94   | Tsareena           |  0.02505% | 22     |  0.138% | 
 | 95   | Golurk             |  0.02411% | 4      |  0.025% | 
 | 96   | Rotom-Fan          |  0.02229% | 11     |  0.069% | 
 | 97   | Klinklang          |  0.02127% | 14     |  0.088% | 
 | 98   | Barbaracle         |  0.02096% | 13     |  0.082% | 
 | 99   | Espeon             |  0.02067% | 23     |  0.144% | 
 | 100  | Glalie-Mega        |  0.01976% | 3      |  0.019% | 
 | 101  | Durant             |  0.01597% | 22     |  0.138% | 
 | 102  | Copperajah         |  0.01479% | 46     |  0.289% | 
 | 103  | Goodra             |  0.01473% | 39     |  0.245% | 
 | 104  | Rapidash-Galar     |  0.01427% | 35     |  0.220% | 
 | 105  | Accelgor           |  0.01322% | 32     |  0.201% | 
 | 106  | Rotom-Frost        |  0.01290% | 2      |  0.013% | 
 | 107  | Salazzle           |  0.01242% | 52     |  0.326% | 
 | 108  | Flygon             |  0.01088% | 32     |  0.201% | 
 | 109  | Togekiss           |  0.01061% | 33     |  0.207% | 
 | 110  | Noctowl            |  0.01026% | 7      |  0.044% | 
 | 111  | Gardevoir-Mega     |  0.00965% | 16     |  0.100% | 
 | 112  | Coalossal          |  0.00931% | 114    |  0.715% | 
 | 113  | Ninjask            |  0.00918% | 20     |  0.125% | 
 | 114  | Dusknoir           |  0.00879% | 49     |  0.307% | 
 | 115  | Falinks            |  0.00644% | 49     |  0.307% | 
 | 116  | Conkeldurr         |  0.00596% | 49     |  0.307% | 
 | 117  | Shiftry            |  0.00556% | 4      |  0.025% | 
 | 118  | Vanilluxe          |  0.00536% | 9      |  0.056% | 
 | 119  | Appletun           |  0.00476% | 30     |  0.188% | 
 | 120  | Boltund            |  0.00456% | 73     |  0.458% | 
 | 121  | Charizard          |  0.00437% | 131    |  0.822% | 
 | 122  | Doublade           |  0.00436% | 3      |  0.019% | 
 | 123  | Gourgeist-Super    |  0.00381% | 9      |  0.056% | 
 | 124  | Hawlucha           |  0.00342% | 30     |  0.188% | 
 | 125  | Sirfetch'd         |  0.00331% | 61     |  0.383% | 
 | 126  | Pincurchin         |  0.00306% | 35     |  0.220% | 
 | 127  | Cinccino           |  0.00294% | 36     |  0.226% | 
 | 128  | Unfezant           |  0.00267% | 4      |  0.025% | 
 | 129  | Claydol            |  0.00255% | 24     |  0.151% | 
 | 130  | Aegislash          |  0.00227% | 98     |  0.615% | 
 | 131  | Ninetales          |  0.00215% | 31     |  0.194% | 
 | 132  | Braviary           |  0.00179% | 26     |  0.163% | 
 | 133  | Hitmonchan         |  0.00159% | 25     |  0.157% | 
 | 134  | Eiscue             |  0.00158% | 23     |  0.144% | 
 | 135  | Stonjourner        |  0.00120% | 13     |  0.082% | 
 | 136  | Gardevoir          |  0.00086% | 24     |  0.151% | 
 | 137  | Crustle            |  0.00085% | 29     |  0.182% | 
 | 138  | Avalugg            |  0.00078% | 23     |  0.144% | 
 | 139  | Heliolisk          |  0.00073% | 16     |  0.100% | 
 | 140  | Sandaconda         |  0.00060% | 26     |  0.163% | 
 | 141  | Mr. Mime-Galar     |  0.00058% | 4      |  0.025% | 
 | 142  | Weezing-Galar      |  0.00055% | 29     |  0.182% | 
 | 143  | Gourgeist-Small    |  0.00055% | 2      |  0.013% | 
 | 144  | Gallade            |  0.00047% | 13     |  0.082% | 
 | 145  | Araquanid          |  0.00042% | 37     |  0.232% | 
 | 146  | Escavalier         |  0.00041% | 22     |  0.138% | 
 | 147  | Thievul            |  0.00039% | 10     |  0.063% | 
 | 148  | Hitmontop          |  0.00036% | 13     |  0.082% | 
 | 149  | Arctovish          |  0.00034% | 26     |  0.163% | 
 | 150  | Malamar            |  0.00033% | 5      |  0.031% | 
 | 151  | Greedent           |  0.00024% | 12     |  0.075% | 
 | 152  | Whimsicott         |  0.00022% | 7      |  0.044% | 
 | 153  | Cofagrigus         |  0.00020% | 13     |  0.082% | 
 | 154  | Frosmoth           |  0.00017% | 36     |  0.226% | 
 | 155  | Dhelmise           |  0.00017% | 14     |  0.088% | 
