 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Pelipper           |  4.25007% | 18111  |  4.250% | 
 | 2    | Duraludon          |  3.57892% | 15251  |  3.579% | 
 | 3    | Corsola-Galar      |  3.14525% | 13403  |  3.145% | 
 | 4    | Galvantula         |  2.95283% | 12583  |  2.953% | 
 | 5    | Dragapult          |  2.73294% | 11646  |  2.733% | 
 | 6    | Ferrothorn         |  2.63321% | 11221  |  2.633% | 
 | 7    | Grimmsnarl         |  2.46261% | 10494  |  2.463% | 
 | 8    | Froslass           |  2.02824% | 8643   |  2.028% | 
 | 9    | Ribombee           |  2.01838% | 8601   |  2.018% | 
 | 10   | Runerigus          |  1.81516% | 7735   |  1.815% | 
 | 11   | Vanilluxe          |  1.70956% | 7285   |  1.710% | 
 | 12   | Dracovish          |  1.55327% | 6619   |  1.553% | 
 | 13   | Toxapex            |  1.51619% | 6461   |  1.516% | 
 | 14   | Hydreigon          |  1.46879% | 6259   |  1.469% | 
 | 15   | Mamoswine          |  1.41810% | 6043   |  1.418% | 
 | 16   | Shuckle            |  1.30569% | 5564   |  1.306% | 
 | 17   | Tyranitar          |  1.29114% | 5502   |  1.291% | 
 | 18   | Kommo-o            |  1.27378% | 5428   |  1.274% | 
 | 19   | Darmanitan-Galar   |  1.26885% | 5407   |  1.269% | 
 | 20   | Araquanid          |  1.26298% | 5382   |  1.263% | 
 | 21   | Bronzong           |  1.20009% | 5114   |  1.200% | 
 | 22   | Cloyster           |  1.15363% | 4916   |  1.154% | 
 | 23   | Obstagoon          |  1.13462% | 4835   |  1.135% | 
 | 24   | Aegislash          |  1.12946% | 4813   |  1.129% | 
 | 25   | Rotom-Wash         |  1.11186% | 4738   |  1.112% | 
 | 26   | Gengar             |  1.08276% | 4614   |  1.083% | 
 | 27   | Drapion            |  1.07713% | 4590   |  1.077% | 
 | 28   | Seismitoad         |  1.06962% | 4558   |  1.070% | 
 | 29   | Torkoal            |  1.06539% | 4540   |  1.065% | 
 | 30   | Excadrill          |  1.04850% | 4468   |  1.048% | 
 | 31   | Hippowdon          |  1.02315% | 4360   |  1.023% | 
 | 32   | Weezing-Galar      |  0.99452% | 4238   |  0.995% | 
 | 33   | Sableye            |  0.99194% | 4227   |  0.992% | 
 | 34   | Polteageist        |  0.96730% | 4122   |  0.967% | 
 | 35   | Mimikyu            |  0.94360% | 4021   |  0.944% | 
 | 36   | Orbeetle           |  0.88822% | 3785   |  0.888% | 
 | 37   | Abomasnow          |  0.87836% | 3743   |  0.878% | 
 | 38   | Bisharp            |  0.86053% | 3667   |  0.861% | 
 | 39   | Chandelure         |  0.76924% | 3278   |  0.769% | 
 | 40   | Salazzle           |  0.75516% | 3218   |  0.755% | 
 | 41   | Hatterene          |  0.71104% | 3030   |  0.711% | 
 | 42   | Noivern            |  0.69767% | 2973   |  0.698% | 
 | 43   | Roserade           |  0.69579% | 2965   |  0.696% | 
 | 44   | Toxtricity         |  0.67514% | 2877   |  0.675% | 
 | 45   | Heliolisk          |  0.66481% | 2833   |  0.665% | 
 | 46   | Dracozolt          |  0.63173% | 2692   |  0.632% | 
 | 47   | Rotom-Heat         |  0.62821% | 2677   |  0.628% | 
 | 48   | Corviknight        |  0.60990% | 2599   |  0.610% | 
 | 49   | Weavile            |  0.60145% | 2563   |  0.601% | 
 | 50   | Diggersby          |  0.59183% | 2522   |  0.592% | 
 | 51   | Pincurchin         |  0.58784% | 2505   |  0.588% | 
 | 52   | Crustle            |  0.58315% | 2485   |  0.583% | 
 | 53   | Togekiss           |  0.57095% | 2433   |  0.571% | 
 | 54   | Lucario            |  0.56602% | 2412   |  0.566% | 
 | 55   | Whimsicott         |  0.55616% | 2370   |  0.556% | 
 | 56   | Morpeko            |  0.53246% | 2269   |  0.532% | 
 | 57   | Indeedee           |  0.52096% | 2220   |  0.521% | 
 | 58   | Hawlucha           |  0.49538% | 2111   |  0.495% | 
 | 59   | Coalossal          |  0.49515% | 2110   |  0.495% | 
 | 60   | Clefable           |  0.47497% | 2024   |  0.475% | 
 | 61   | Frosmoth           |  0.46136% | 1966   |  0.461% | 
 | 62   | Rotom-Mow          |  0.45291% | 1930   |  0.453% | 
 | 63   | Flygon             |  0.44634% | 1902   |  0.446% | 
 | 64   | Haxorus            |  0.44071% | 1878   |  0.441% | 
 | 65   | Vikavolt           |  0.43578% | 1857   |  0.436% | 
 | 66   | Mandibuzz          |  0.42733% | 1821   |  0.427% | 
 | 67   | Gyarados           |  0.41231% | 1757   |  0.412% | 
 | 68   | Cinccino           |  0.39236% | 1672   |  0.392% | 
 | 69   | Lapras             |  0.38110% | 1624   |  0.381% | 
 | 70   | Centiskorch        |  0.37711% | 1607   |  0.377% | 
 | 71   | Copperajah         |  0.37406% | 1594   |  0.374% | 
 | 72   | Crawdaunt          |  0.37171% | 1584   |  0.372% | 
 | 73   | Turtonator         |  0.36772% | 1567   |  0.368% | 
 | 74   | Scrafty            |  0.36444% | 1553   |  0.364% | 
 | 75   | Ninetales          |  0.35505% | 1513   |  0.355% | 
 | 76   | Durant             |  0.35083% | 1495   |  0.351% | 
 | 77   | Gallade            |  0.33933% | 1446   |  0.339% | 
 | 78   | Goodra             |  0.33839% | 1442   |  0.338% | 
 | 79   | Appletun           |  0.33393% | 1423   |  0.334% | 
 | 80   | Toxicroak          |  0.32548% | 1387   |  0.325% | 
 | 81   | Cinderace          |  0.32361% | 1379   |  0.324% | 
 | 82   | Xatu               |  0.32267% | 1375   |  0.323% | 
 | 83   | Malamar            |  0.31821% | 1356   |  0.318% | 
 | 84   | Gardevoir          |  0.31094% | 1325   |  0.311% | 
 | 85   | Barraskewda        |  0.30742% | 1310   |  0.307% | 
 | 86   | Braviary           |  0.29826% | 1271   |  0.298% | 
 | 87   | Qwilfish           |  0.29193% | 1244   |  0.292% | 
 | 88   | Snorlax            |  0.28489% | 1214   |  0.285% | 
 | 89   | Dubwool            |  0.26963% | 1149   |  0.270% | 
 | 90   | Golurk             |  0.26729% | 1139   |  0.267% | 
 | 91   | Machamp            |  0.26658% | 1136   |  0.267% | 
 | 92   | Mawile             |  0.25860% | 1102   |  0.259% | 
 | 93   | Cofagrigus         |  0.25720% | 1096   |  0.257% | 
 | 94   | Sirfetch'd         |  0.25626% | 1092   |  0.256% | 
 | 95   | Ditto              |  0.25438% | 1084   |  0.254% | 
 | 96   | Eiscue             |  0.25227% | 1075   |  0.252% | 
 | 97   | Claydol            |  0.24875% | 1060   |  0.249% | 
 | 98   | Rotom-Fan          |  0.24851% | 1059   |  0.249% | 
 | 99   | Cramorant          |  0.24523% | 1045   |  0.245% | 
 | 100  | Rapidash-Galar     |  0.24405% | 1040   |  0.244% | 
 | 101  | Dhelmise           |  0.24171% | 1030   |  0.242% | 
 | 102  | Flapple            |  0.24124% | 1028   |  0.241% | 
 | 103  | Charizard          |  0.23983% | 1022   |  0.240% | 
 | 104  | Bewear             |  0.23678% | 1009   |  0.237% | 
 | 105  | Mew                |  0.23303% | 993    |  0.233% | 
 | 106  | Steelix            |  0.23185% | 988    |  0.232% | 
 | 107  | Cursola            |  0.22645% | 965    |  0.226% | 
 | 108  | Falinks            |  0.22505% | 959    |  0.225% | 
 | 109  | Conkeldurr         |  0.22317% | 951    |  0.223% | 
 | 110  | Mr. Rime           |  0.21988% | 937    |  0.220% | 
 | 111  | Butterfree         |  0.21237% | 905    |  0.212% | 
 | 112  | Inteleon           |  0.20792% | 886    |  0.208% | 
 | 113  | Rotom-Frost        |  0.20580% | 877    |  0.206% | 
 | 114  | Golisopod          |  0.20252% | 863    |  0.203% | 
 | 115  | Togedemaru         |  0.20017% | 853    |  0.200% | 
 | 116  | Jellicent          |  0.19900% | 848    |  0.199% | 
 | 117  | Rillaboom          |  0.19759% | 842    |  0.198% | 
 | 118  | Ludicolo           |  0.19477% | 830    |  0.195% | 
 | 119  | Sandaconda         |  0.19454% | 829    |  0.195% | 
 | 120  | Indeedee-F         |  0.19384% | 826    |  0.194% | 
 | 121  | Drampa             |  0.19055% | 812    |  0.191% | 
 | 122  | Drednaw            |  0.17483% | 745    |  0.175% | 
 | 123  | Dugtrio            |  0.16943% | 722    |  0.169% | 
 | 124  | Oranguru           |  0.16309% | 695    |  0.163% | 
