 Total leads: 101340
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Excadrill          |  5.53216% | 2740   |  2.704% | 
 | 2    | Landorus-Therian   |  5.38397% | 3686   |  3.637% | 
 | 3    | Mew                |  5.07094% | 2216   |  2.187% | 
 | 4    | Genesect           |  4.72195% | 1996   |  1.970% | 
 | 5    | Darmanitan-Galar   |  4.34617% | 3163   |  3.121% | 
 | 6    | Pelipper           |  2.84229% | 2190   |  2.161% | 
 | 7    | Tapu Koko          |  2.66344% | 1784   |  1.760% | 
 | 8    | Sableye-Mega       |  2.32884% | 1060   |  1.046% | 
 | 9    | Grimmsnarl         |  2.21574% | 1813   |  1.789% | 
 | 10   | Dragapult          |  1.92848% | 1593   |  1.572% | 
 | 11   | Lopunny-Mega       |  1.82540% | 926    |  0.914% | 
 | 12   | Dracovish          |  1.68464% | 1217   |  1.201% | 
 | 13   | Ferrothorn         |  1.58874% | 1878   |  1.853% | 
 | 14   | Ribombee           |  1.57350% | 1221   |  1.205% | 
 | 15   | Tornadus-Therian   |  1.52025% | 523    |  0.516% | 
 | 16   | Greninja           |  1.46464% | 1214   |  1.198% | 
 | 17   | Greninja-Ash       |  1.43587% | 1265   |  1.248% | 
 | 18   | Heatran            |  1.36680% | 1072   |  1.058% | 
 | 19   | Rotom-Wash         |  1.26299% | 1293   |  1.276% | 
 | 20   | Uxie               |  1.25398% | 419    |  0.413% | 
 | 21   | Melmetal           |  1.21135% | 1132   |  1.117% | 
 | 22   | Infernape          |  1.16021% | 612    |  0.604% | 
 | 23   | Garchomp           |  1.13451% | 1220   |  1.204% | 
 | 24   | Metagross-Mega     |  1.11320% | 710    |  0.701% | 
 | 25   | Cinderace          |  1.03184% | 1327   |  1.309% | 
 | 26   | Zapdos             |  1.03045% | 501    |  0.494% | 
 | 27   | Kartana            |  1.00793% | 671    |  0.662% | 
 | 28   | Deoxys-Defense     |  0.88972% | 786    |  0.776% | 
 | 29   | Blastoise-Mega     |  0.85474% | 852    |  0.841% | 
 | 30   | Zygarde            |  0.77941% | 429    |  0.423% | 
 | 31   | Torkoal            |  0.70461% | 673    |  0.664% | 
 | 32   | Diancie-Mega       |  0.70418% | 496    |  0.489% | 
 | 33   | Victini            |  0.68134% | 591    |  0.583% | 
 | 34   | Seismitoad         |  0.67108% | 450    |  0.444% | 
 | 35   | Tyranitar          |  0.66748% | 812    |  0.801% | 
 | 36   | Magearna           |  0.64027% | 416    |  0.410% | 
 | 37   | Corsola-Galar      |  0.63485% | 1158   |  1.143% | 
 | 38   | Toxapex            |  0.59454% | 834    |  0.823% | 
 | 39   | Ditto              |  0.58911% | 418    |  0.412% | 
 | 40   | Galvantula         |  0.58055% | 1096   |  1.082% | 
 | 41   | Hippowdon          |  0.57453% | 348    |  0.343% | 
 | 42   | Chansey            |  0.53042% | 520    |  0.513% | 
 | 43   | Manectric-Mega     |  0.52791% | 270    |  0.266% | 
