 Total leads: 229836
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Groudon-Primal     |  4.45100% | 10230  |  4.451% | 
 | 2    | Smeargle           |  3.37545% | 7758   |  3.375% | 
 | 3    | Zacian-Crowned     |  3.01084% | 6920   |  3.011% | 
 | 4    | Rayquaza-Mega      |  2.02275% | 4649   |  2.023% | 
 | 5    | Deoxys-Speed       |  1.98968% | 4573   |  1.990% | 
 | 6    | Shuckle            |  1.98098% | 4553   |  1.981% | 
 | 7    | Ferrothorn         |  1.80172% | 4141   |  1.802% | 
 | 8    | Ninjask            |  1.42797% | 3282   |  1.428% | 
 | 9    | Necrozma-Dusk-Mane |  1.40230% | 3223   |  1.402% | 
 | 10   | Ditto              |  1.37750% | 3166   |  1.378% | 
 | 11   | Galvantula         |  1.31790% | 3029   |  1.318% | 
 | 12   | Excadrill          |  1.30789% | 3006   |  1.308% | 
 | 13   | Eternatus          |  1.25394% | 2882   |  1.254% | 
 | 14   | Darmanitan-Galar   |  1.15996% | 2666   |  1.160% | 
 | 15   | Dragapult          |  1.12776% | 2592   |  1.128% | 
 | 16   | Dracovish          |  1.06380% | 2445   |  1.064% | 
 | 17   | Grimmsnarl         |  0.93371% | 2146   |  0.934% | 
 | 18   | Arceus-Ground      |  0.92936% | 2136   |  0.929% | 
 | 19   | Corsola-Galar      |  0.92762% | 2132   |  0.928% | 
 | 20   | Yveltal            |  0.92283% | 2121   |  0.923% | 
 | 21   | Xerneas            |  0.87454% | 2010   |  0.875% | 
 | 22   | Scolipede          |  0.76533% | 1759   |  0.765% | 
 | 23   | Toxapex            |  0.72791% | 1673   |  0.728% | 
 | 24   | Cinderace          |  0.72617% | 1669   |  0.726% | 
 | 25   | Mew                |  0.70964% | 1631   |  0.710% | 
 | 26   | Ho-Oh              |  0.70833% | 1628   |  0.708% | 
 | 27   | Kyogre-Primal      |  0.64220% | 1476   |  0.642% | 
 | 28   | Forretress         |  0.62392% | 1434   |  0.624% | 
 | 29   | Marshadow          |  0.61348% | 1410   |  0.613% | 
 | 30   | Deoxys-Attack      |  0.60826% | 1398   |  0.608% | 
 | 31   | Arceus             |  0.58999% | 1356   |  0.590% | 
 | 32   | Cloyster           |  0.58128% | 1336   |  0.581% | 
 | 33   | Zygarde            |  0.57911% | 1331   |  0.579% | 
 | 34   | Eevee              |  0.57041% | 1311   |  0.570% | 
 | 35   | Ribombee           |  0.54648% | 1256   |  0.546% | 
 | 36   | Drifblim           |  0.53777% | 1236   |  0.538% | 
 | 37   | Hatterene          |  0.52211% | 1200   |  0.522% | 
 | 38   | Toxtricity         |  0.49601% | 1140   |  0.496% | 
 | 39   | Landorus-Therian   |  0.48817% | 1122   |  0.488% | 
 | 40   | Gliscor            |  0.47164% | 1084   |  0.472% | 
 | 41   | Kyogre             |  0.46947% | 1079   |  0.469% | 
 | 42   | Blaziken           |  0.46816% | 1076   |  0.468% | 
 | 43   | Polteageist        |  0.46598% | 1071   |  0.466% | 
 | 44   | Greninja           |  0.45424% | 1044   |  0.454% | 
 | 45   | Orbeetle           |  0.45250% | 1040   |  0.452% | 
 | 46   | Gengar-Mega        |  0.44858% | 1031   |  0.449% | 
 | 47   | Mimikyu            |  0.44815% | 1030   |  0.448% | 
 | 48   | Greninja-Ash       |  0.44771% | 1029   |  0.448% | 
 | 49   | Whimsicott         |  0.44292% | 1018   |  0.443% | 
 | 50   | Tyranitar          |  0.43683% | 1004   |  0.437% | 
 | 51   | Garchomp           |  0.42813% | 984    |  0.428% | 
 | 52   | Blaziken-Mega      |  0.42552% | 978    |  0.426% | 
 | 53   | Clefable           |  0.41638% | 957    |  0.416% | 
 | 54   | Pelipper           |  0.40681% | 935    |  0.407% | 
 | 55   | Darkrai            |  0.40551% | 932    |  0.406% | 
 | 56   | Skarmory           |  0.39942% | 918    |  0.399% | 
 | 57   | Aegislash          |  0.39767% | 914    |  0.398% | 
 | 58   | Corviknight        |  0.39637% | 911    |  0.396% | 
 | 59   | Sableye-Mega       |  0.38854% | 893    |  0.389% | 
 | 60   | Charizard          |  0.37157% | 854    |  0.372% | 
 | 61   | Weavile            |  0.36722% | 844    |  0.367% | 
 | 62   | Arceus-Fairy       |  0.35504% | 816    |  0.355% | 
 | 63   | Kyurem-Black       |  0.34329% | 789    |  0.343% | 
 | 64   | Mewtwo-Mega-Y      |  0.33937% | 780    |  0.339% | 
 | 65   | Dugtrio            |  0.33067% | 760    |  0.331% | 
 | 66   | Weezing-Galar      |  0.32850% | 755    |  0.328% | 
 | 67   | Dragonite          |  0.32719% | 752    |  0.327% | 
 | 68   | Aerodactyl         |  0.31849% | 732    |  0.318% | 
 | 69   | Ninetales-Alola    |  0.31762% | 730    |  0.318% | 
 | 70   | Arceus-Water       |  0.31631% | 727    |  0.316% | 
 | 71   | Charizard-Mega-X   |  0.31501% | 724    |  0.315% | 
 | 72   | Klefki             |  0.29586% | 680    |  0.296% | 
 | 73   | Espeon             |  0.29412% | 676    |  0.294% | 
 | 74   | Runerigus          |  0.28934% | 665    |  0.289% | 
