 Total leads: 220886
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Landorus-Therian   |  3.86396% | 6843   |  3.098% | 
 | 2    | Darmanitan-Galar   |  3.62928% | 6926   |  3.136% | 
 | 3    | Excadrill          |  3.26523% | 6129   |  2.775% | 
 | 4    | Pelipper           |  2.79634% | 5302   |  2.400% | 
 | 5    | Ferrothorn         |  2.12490% | 5015   |  2.270% | 
 | 6    | Dragapult          |  1.94611% | 3988   |  1.805% | 
 | 7    | Tapu Koko          |  1.91554% | 3393   |  1.536% | 
 | 8    | Grimmsnarl         |  1.87969% | 3684   |  1.668% | 
 | 9    | Rotom-Wash         |  1.60593% | 3065   |  1.388% | 
 | 10   | Cinderace          |  1.55040% | 3269   |  1.480% | 
 | 11   | Corsola-Galar      |  1.50732% | 3217   |  1.456% | 
 | 12   | Dracovish          |  1.48879% | 3093   |  1.400% | 
 | 13   | Galvantula         |  1.43575% | 3539   |  1.602% | 
 | 14   | Garchomp           |  1.07450% | 2196   |  0.994% | 
 | 15   | Shuckle            |  1.05381% | 2587   |  1.171% | 
 | 16   | Sableye-Mega       |  1.00184% | 2108   |  0.954% | 
 | 17   | Tyranitar          |  0.97497% | 2115   |  0.958% | 
 | 18   | Ribombee           |  0.97074% | 1887   |  0.854% | 
 | 19   | Greninja           |  0.96135% | 1898   |  0.859% | 
 | 20   | Torkoal            |  0.92706% | 1791   |  0.811% | 
 | 21   | Mew                |  0.86725% | 1657   |  0.750% | 
 | 22   | Toxapex            |  0.83594% | 2115   |  0.958% | 
 | 23   | Greninja-Ash       |  0.83362% | 1710   |  0.774% | 
 | 24   | Hatterene          |  0.83151% | 1792   |  0.811% | 
 | 25   | Heatran            |  0.83107% | 1541   |  0.698% | 
 | 26   | Gliscor            |  0.80267% | 1776   |  0.804% | 
 | 27   | Corviknight        |  0.76434% | 1706   |  0.772% | 
 | 28   | Blastoise-Mega     |  0.76211% | 1438   |  0.651% | 
 | 29   | Lopunny-Mega       |  0.73061% | 1433   |  0.649% | 
 | 30   | Infernape          |  0.72015% | 1386   |  0.627% | 
 | 31   | Toxtricity         |  0.69655% | 1690   |  0.765% | 
 | 32   | Ninetales-Alola    |  0.66898% | 1585   |  0.718% | 
 | 33   | Kartana            |  0.66050% | 1266   |  0.573% | 
 | 34   | Runerigus          |  0.64193% | 1526   |  0.691% | 
 | 35   | Rotom-Heat         |  0.64177% | 1279   |  0.579% | 
 | 36   | Diancie-Mega       |  0.62159% | 1206   |  0.546% | 
 | 37   | Araquanid          |  0.56715% | 1261   |  0.571% | 
 | 38   | Tornadus-Therian   |  0.56057% | 969    |  0.439% | 
 | 39   | Skarmory           |  0.54576% | 1200   |  0.543% | 
 | 40   | Metagross-Mega     |  0.53903% | 935    |  0.423% | 
 | 41   | Seismitoad         |  0.53342% | 1066   |  0.483% | 
 | 42   | Kommo-o            |  0.51899% | 1122   |  0.508% | 
 | 43   | Genesect           |  0.51469% | 819    |  0.371% | 
 | 44   | Tapu Lele          |  0.50867% | 937    |  0.424% | 
 | 45   | Hydreigon          |  0.50002% | 1211   |  0.548% | 
 | 46   | Aegislash          |  0.49370% | 1125   |  0.509% | 
 | 47   | Charizard-Mega-Y   |  0.48191% | 1166   |  0.528% | 
 | 48   | Zapdos             |  0.47618% | 872    |  0.395% | 
 | 49   | Ditto              |  0.47337% | 1077   |  0.488% | 
 | 50   | Klefki             |  0.45684% | 936    |  0.424% | 
 | 51   | Smeargle           |  0.45547% | 924    |  0.418% | 
 | 52   | Dugtrio            |  0.45128% | 949    |  0.430% | 
 | 53   | Hippowdon          |  0.44538% | 1039   |  0.470% | 
 | 54   | Forretress         |  0.43745% | 1100   |  0.498% | 
 | 55   | Magearna           |  0.43592% | 781    |  0.354% | 
 | 56   | Gengar             |  0.43371% | 1110   |  0.503% | 
 | 57   | Volcarona          |  0.43090% | 901    |  0.408% | 
 | 58   | Orbeetle           |  0.42812% | 1186   |  0.537% | 
 | 59   | Clefable           |  0.42792% | 920    |  0.417% | 
 | 60   | Medicham-Mega      |  0.42738% | 819    |  0.371% | 
 | 61   | Cloyster           |  0.42089% | 1021   |  0.462% | 
 | 62   | Uxie               |  0.42009% | 763    |  0.345% | 
 | 63   | Polteageist        |  0.40432% | 922    |  0.417% | 
 | 64   | Chansey            |  0.40291% | 799    |  0.362% | 
 | 65   | Snorlax            |  0.38811% | 1017   |  0.460% | 
 | 66   | Mamoswine          |  0.37349% | 848    |  0.384% | 
 | 67   | Melmetal           |  0.37027% | 766    |  0.347% | 
 | 68   | Beedrill-Mega      |  0.36535% | 789    |  0.357% | 
 | 69   | Breloom            |  0.36166% | 780    |  0.353% | 
 | 70   | Serperior          |  0.34055% | 752    |  0.340% | 
 | 71   | Lycanroc-Dusk      |  0.33873% | 629    |  0.285% | 
 | 72   | Mimikyu            |  0.32228% | 898    |  0.407% | 
 | 73   | Incineroar         |  0.32022% | 739    |  0.335% | 
 | 74   | Celesteela         |  0.31438% | 556    |  0.252% | 
 | 75   | Espeon             |  0.31315% | 839    |  0.380% | 
 | 76   | Togekiss           |  0.30960% | 727    |  0.329% | 
 | 77   | Lapras             |  0.30480% | 668    |  0.302% | 
 | 78   | Scizor-Mega        |  0.29953% | 554    |  0.251% | 
 | 79   | Victini            |  0.29851% | 562    |  0.254% | 
 | 80   | Zygarde            |  0.29479% | 492    |  0.223% | 
 | 81   | Dragonite          |  0.29431% | 660    |  0.299% | 
 | 82   | Whimsicott         |  0.29387% | 771    |  0.349% | 
 | 83   | Charizard-Mega-X   |  0.28854% | 677    |  0.306% | 
 | 84   | Manectric-Mega     |  0.28234% | 516    |  0.234% | 
 | 85   | Bronzong           |  0.28200% | 683    |  0.309% | 
 | 86   | Obstagoon          |  0.28146% | 778    |  0.352% | 
 | 87   | Conkeldurr         |  0.28024% | 575    |  0.260% | 
 | 88   | Coalossal          |  0.27592% | 701    |  0.317% | 
 | 89   | Mawile-Mega        |  0.26899% | 556    |  0.252% | 
 | 90   | Weezing-Galar      |  0.26874% | 669    |  0.303% | 
 | 91   | Ambipom            |  0.26504% | 627    |  0.284% | 
 | 92   | Gyarados           |  0.26437% | 602    |  0.273% | 
 | 93   | Charizard          |  0.26078% | 775    |  0.351% | 
 | 94   | Duraludon          |  0.25913% | 659    |  0.298% | 
 | 95   | Dracozolt          |  0.25854% | 564    |  0.255% | 
 | 96   | Tyranitar-Mega     |  0.25745% | 570    |  0.258% | 
 | 97   | Weavile            |  0.25692% | 571    |  0.259% | 
 | 98   | Venusaur-Mega      |  0.25224% | 519    |  0.235% | 
 | 99   | Cofagrigus         |  0.24799% | 562    |  0.254% | 
 | 100  | Magnezone          |  0.24466% | 491    |  0.222% | 
 | 101  | Staraptor          |  0.24396% | 513    |  0.232% | 
 | 102  | Centiskorch        |  0.24249% | 604    |  0.273% | 
 | 103  | Krookodile         |  0.24000% | 569    |  0.258% | 
 | 104  | Blacephalon        |  0.23959% | 460    |  0.208% | 
 | 105  | Eiscue             |  0.23859% | 617    |  0.279% | 
 | 106  | Golisopod          |  0.23612% | 580    |  0.263% | 
 | 107  | Bisharp            |  0.23521% | 526    |  0.238% | 
 | 108  | Nidoking           |  0.23309% | 653    |  0.296% | 
 | 109  | Volcanion          |  0.23250% | 420    |  0.190% | 
 | 110  | Tapu Fini          |  0.22889% | 423    |  0.192% | 
 | 111  | Keldeo             |  0.22819% | 399    |  0.181% | 
 | 112  | Copperajah         |  0.22754% | 535    |  0.242% | 
 | 113  | Cramorant          |  0.22655% | 614    |  0.278% | 
 | 114  | Jolteon            |  0.22575% | 539    |  0.244% | 
 | 115  | Zeraora            |  0.21945% | 498    |  0.225% | 
 | 116  | Arcanine           |  0.21864% | 518    |  0.235% | 
 | 117  | Salamence          |  0.21358% | 493    |  0.223% | 
 | 118  | Gigalith           |  0.21193% | 487    |  0.220% | 
 | 119  | Inteleon           |  0.20854% | 576    |  0.261% | 
 | 120  | Blastoise          |  0.20784% | 451    |  0.204% | 
 | 121  | Rillaboom          |  0.20640% | 496    |  0.225% | 
 | 122  | Vikavolt           |  0.20235% | 481    |  0.218% | 
 | 123  | Empoleon           |  0.19966% | 479    |  0.217% | 
 | 124  | Pikachu            |  0.19240% | 555    |  0.251% | 
 | 125  | Frosmoth           |  0.18923% | 442    |  0.200% | 
 | 126  | Chandelure         |  0.18844% | 468    |  0.212% | 
 | 127  | Morpeko            |  0.18726% | 506    |  0.229% | 
 | 128  | Barraskewda        |  0.18718% | 482    |  0.218% | 
 | 129  | Salazzle           |  0.18609% | 492    |  0.223% | 
 | 130  | Azelf              |  0.18606% | 390    |  0.177% | 
 | 131  | Crobat             |  0.18455% | 404    |  0.183% | 
 | 132  | Drapion            |  0.18386% | 474    |  0.215% | 
 | 133  | Froslass           |  0.18192% | 502    |  0.227% | 
 | 134  | Cursola            |  0.18140% | 428    |  0.194% | 
 | 135  | Rhyperior          |  0.17794% | 373    |  0.169% | 
 | 136  | Falinks            |  0.17634% | 481    |  0.218% | 
 | 137  | Swampert           |  0.16855% | 351    |  0.159% | 
 | 138  | Tapu Bulu          |  0.16532% | 318    |  0.144% | 
 | 139  | Gallade-Mega       |  0.15917% | 370    |  0.168% | 
 | 140  | Lucario            |  0.15725% | 414    |  0.187% | 
 | 141  | Ariados            |  0.15535% | 462    |  0.209% | 
 | 142  | Heliolisk          |  0.15416% | 335    |  0.152% | 
 | 143  | Scolipede          |  0.15253% | 348    |  0.158% | 
 | 144  | Thundurus-Therian  |  0.15202% | 287    |  0.130% | 
 | 145  | Milotic            |  0.15134% | 355    |  0.161% | 
 | 146  | Slurpuff           |  0.15128% | 380    |  0.172% | 
 | 147  | Sirfetch'd         |  0.15065% | 376    |  0.170% | 
 | 148  | Xurkitree          |  0.15042% | 322    |  0.146% | 
 | 149  | Butterfree         |  0.14906% | 449    |  0.203% | 
 | 150  | Mudsdale           |  0.14901% | 414    |  0.187% | 
 | 151  | Hawlucha           |  0.14802% | 415    |  0.188% | 
 | 152  | Aurorus            |  0.14779% | 317    |  0.144% | 
 | 153  | Azumarill          |  0.14741% | 387    |  0.175% | 
 | 154  | Gardevoir          |  0.14682% | 374    |  0.169% | 
 | 155  | Alakazam-Mega      |  0.14601% | 302    |  0.137% | 
 | 156  | Porygon-Z          |  0.14258% | 349    |  0.158% | 
 | 157  | Gardevoir-Mega     |  0.14184% | 331    |  0.150% | 
 | 158  | Jirachi            |  0.14173% | 322    |  0.146% | 
 | 159  | Haxorus            |  0.14109% | 410    |  0.186% | 
 | 160  | Scizor             |  0.14048% | 270    |  0.122% | 
 | 161  | Aerodactyl         |  0.14013% | 312    |  0.141% | 
 | 162  | Gastrodon          |  0.14006% | 308    |  0.139% | 
 | 163  | Machamp            |  0.13875% | 345    |  0.156% | 
 | 164  | Ampharos-Mega      |  0.13853% | 260    |  0.118% | 
 | 165  | Vivillon           |  0.13726% | 300    |  0.136% | 
 | 166  | Aggron-Mega        |  0.13629% | 319    |  0.144% | 
 | 167  | Swampert-Mega      |  0.13439% | 309    |  0.140% | 
 | 168  | Metagross          |  0.13316% | 311    |  0.141% | 
 | 169  | Ninetales          |  0.12871% | 321    |  0.145% | 
 | 170  | Nihilego           |  0.12612% | 264    |  0.120% | 
 | 171  | Boltund            |  0.12436% | 354    |  0.160% | 
 | 172  | Drednaw            |  0.12430% | 315    |  0.143% | 
 | 173  | Primarina          |  0.12406% | 271    |  0.123% | 
 | 174  | Golem              |  0.12184% | 314    |  0.142% | 
 | 175  | Roserade           |  0.12144% | 383    |  0.173% | 
 | 176  | Darmanitan         |  0.12030% | 276    |  0.125% | 
 | 177  | Noivern            |  0.11988% | 329    |  0.149% | 
 | 178  | Pincurchin         |  0.11984% | 321    |  0.145% | 
 | 179  | Goodra             |  0.11944% | 299    |  0.135% | 
 | 180  | Politoed           |  0.11884% | 284    |  0.129% | 
 | 181  | Steelix            |  0.11852% | 283    |  0.128% | 
