 Total leads: 10572
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Machoke            | 22.82045% | 1307   | 12.363% | 
 | 2    | Piloswine          | 10.85223% | 825    |  7.804% | 
 | 3    | Linoone-Galar      | 10.67292% | 856    |  8.097% | 
 | 4    | Ferroseed          |  5.48105% | 341    |  3.226% | 
 | 5    | Palpitoad          |  3.64390% | 274    |  2.592% | 
 | 6    | Mr. Mime-Galar     |  3.42265% | 324    |  3.065% | 
 | 7    | Corsola-Galar      |  3.29370% | 316    |  2.989% | 
 | 8    | Carkol             |  2.97722% | 392    |  3.708% | 
 | 9    | Hattrem            |  2.81782% | 260    |  2.459% | 
 | 10   | Vulpix             |  2.76920% | 243    |  2.299% | 
 | 11   | Gurdurr            |  2.52461% | 277    |  2.620% | 
 | 12   | Charjabug          |  2.45235% | 298    |  2.819% | 
 | 13   | Pawniard           |  2.32716% | 112    |  1.059% | 
 | 14   | Dwebble            |  1.74881% | 49     |  0.463% | 
 | 15   | Thwackey           |  1.64762% | 143    |  1.353% | 
 | 16   | Rufflet            |  1.62132% | 172    |  1.627% | 
 | 17   | Morgrem            |  1.50830% | 282    |  2.667% | 
 | 18   | Klang              |  1.35682% | 167    |  1.580% | 
 | 19   | Mareanie           |  1.33463% | 101    |  0.955% | 
 | 20   | Bronzor            |  1.28267% | 122    |  1.154% | 
 | 21   | Haunter            |  1.11032% | 235    |  2.223% | 
 | 22   | Roselia            |  1.10666% | 181    |  1.712% | 
 | 23   | Drakloak           |  1.07906% | 282    |  2.667% | 
 | 24   | Sneasel            |  1.04424% | 171    |  1.617% | 
 | 25   | Pikachu            |  0.82074% | 234    |  2.213% | 
 | 26   | Raboot             |  0.75371% | 230    |  2.176% | 
 | 27   | Farfetch'd-Galar   |  0.71803% | 123    |  1.163% | 
 | 28   | Fraxure            |  0.68758% | 132    |  1.249% | 
 | 29   | Drilbur            |  0.67550% | 64     |  0.605% | 
 | 30   | Gloom              |  0.60863% | 56     |  0.530% | 
 | 31   | Natu               |  0.49365% | 25     |  0.236% | 
 | 32   | Zweilous           |  0.40274% | 53     |  0.501% | 
 | 33   | Clefairy           |  0.40157% | 170    |  1.608% | 
 | 34   | Cutiefly           |  0.33402% | 116    |  1.097% | 
 | 35   | Drizzile           |  0.30590% | 65     |  0.615% | 
 | 36   | Trapinch           |  0.30569% | 41     |  0.388% | 
 | 37   | Togetic            |  0.29587% | 142    |  1.343% | 
 | 38   | Vullaby            |  0.23437% | 40     |  0.378% | 
 | 39   | Diglett            |  0.22248% | 60     |  0.568% | 
 | 40   | Honedge            |  0.19266% | 21     |  0.199% | 
 | 41   | Boldore            |  0.18331% | 199    |  1.882% | 
 | 42   | Cufant             |  0.17733% | 13     |  0.123% | 
 | 43   | Duosion            |  0.17448% | 56     |  0.530% | 
 | 44   | Swirlix            |  0.12017% | 27     |  0.255% | 
 | 45   | Dottler            |  0.11561% | 170    |  1.608% | 
 | 46   | Lampent            |  0.11039% | 45     |  0.426% | 
