 Total leads: 4914
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Rotom-Wash         |  6.66650% | 304    |  6.186% | 
 | 2    | Dragapult          |  4.75490% | 211    |  4.294% | 
 | 3    | Rotom-Heat         |  4.17037% | 193    |  3.928% | 
 | 4    | Excadrill          |  4.15248% | 174    |  3.541% | 
 | 5    | Grimmsnarl         |  3.74963% | 201    |  4.090% | 
 | 6    | Ferrothorn         |  3.28004% | 156    |  3.175% | 
 | 7    | Obstagoon          |  2.94869% | 151    |  3.073% | 
 | 8    | Diggersby          |  2.69756% | 94     |  1.913% | 
 | 9    | Cinderace          |  2.53039% | 109    |  2.218% | 
 | 10   | Tyranitar          |  2.41759% | 109    |  2.218% | 
 | 11   | Accelgor           |  2.39065% | 105    |  2.137% | 
 | 12   | Shuckle            |  2.26191% | 93     |  1.893% | 
 | 13   | Dracovish          |  2.19664% | 113    |  2.300% | 
 | 14   | Araquanid          |  2.04350% | 88     |  1.791% | 
 | 15   | Darmanitan-Galar   |  2.02653% | 100    |  2.035% | 
 | 16   | Boltund            |  1.62532% | 88     |  1.791% | 
 | 17   | Toxtricity         |  1.61209% | 82     |  1.669% | 
 | 18   | Sylveon            |  1.55625% | 72     |  1.465% | 
 | 19   | Crustle            |  1.54788% | 74     |  1.506% | 
 | 20   | Ninjask            |  1.51070% | 81     |  1.648% | 
 | 21   | Pelipper           |  1.42536% | 82     |  1.669% | 
 | 22   | Ribombee           |  1.37962% | 58     |  1.180% | 
 | 23   | Heliolisk          |  1.23710% | 44     |  0.895% | 
 | 24   | Chandelure         |  1.16494% | 44     |  0.895% | 
 | 25   | Dugtrio            |  1.12220% | 46     |  0.936% | 
 | 26   | Hatterene          |  1.11950% | 63     |  1.282% | 
 | 27   | Seismitoad         |  1.11623% | 48     |  0.977% | 
 | 28   | Indeedee           |  1.09347% | 44     |  0.895% | 
 | 29   | Hydreigon          |  1.08445% | 53     |  1.079% | 
 | 30   | Durant             |  1.04559% | 58     |  1.180% | 
 | 31   | Runerigus          |  1.03254% | 49     |  0.997% | 
 | 32   | Escavalier         |  0.91869% | 42     |  0.855% | 
 | 33   | Aegislash          |  0.86338% | 51     |  1.038% | 
 | 34   | Corviknight        |  0.85514% | 42     |  0.855% | 
