 Total leads: 2236196
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Whimsicott         |  8.32300% | 188440 |  8.427% | 
 | 2    | Togekiss           |  6.71445% | 74622  |  3.337% | 
 | 3    | Dragapult          |  6.36749% | 86825  |  3.883% | 
 | 4    | Grimmsnarl         |  5.84105% | 119304 |  5.335% | 
 | 5    | Excadrill          |  5.38189% | 91020  |  4.070% | 
 | 6    | Arcanine           |  4.65959% | 78513  |  3.511% | 
 | 7    | Duraludon          |  4.47685% | 66830  |  2.989% | 
 | 8    | Indeedee-F         |  3.88947% | 87520  |  3.914% | 
 | 9    | Tyranitar          |  2.62170% | 58671  |  2.624% | 
 | 10   | Snorlax            |  2.31390% | 44291  |  1.981% | 
 | 11   | Braviary           |  2.24601% | 45268  |  2.024% | 
 | 12   | Dusclops           |  2.04884% | 26837  |  1.200% | 
 | 13   | Mimikyu            |  1.91411% | 43188  |  1.931% | 
 | 14   | Charizard          |  1.80584% | 29424  |  1.316% | 
 | 15   | Corviknight        |  1.66693% | 43837  |  1.960% | 
 | 16   | Butterfree         |  1.57344% | 29511  |  1.320% | 
 | 17   | Rotom-Wash         |  1.55059% | 39121  |  1.749% | 
 | 18   | Hatterene          |  1.54763% | 58060  |  2.596% | 
 | 19   | Rhyperior          |  1.39240% | 18462  |  0.826% | 
 | 20   | Dracovish          |  1.38756% | 46101  |  2.062% | 
 | 21   | Sylveon            |  1.32173% | 22454  |  1.004% | 
 | 22   | Gyarados           |  1.22064% | 29464  |  1.318% | 
 | 23   | Mudsdale           |  1.16559% | 23625  |  1.056% | 
 | 24   | Chandelure         |  1.02740% | 17847  |  0.798% | 
 | 25   | Darmanitan-Galar   |  0.99835% | 23355  |  1.044% | 
 | 26   | Rotom-Heat         |  0.96424% | 23414  |  1.047% | 
 | 27   | Hydreigon          |  0.90158% | 16600  |  0.742% | 
 | 28   | Rotom-Mow          |  0.88844% | 15018  |  0.672% | 
 | 29   | Scrafty            |  0.87904% | 22993  |  1.028% | 
 | 30   | Torkoal            |  0.84987% | 23771  |  1.063% | 
 | 31   | Bronzong           |  0.81364% | 15547  |  0.695% | 
 | 32   | Gastrodon          |  0.81076% | 24980  |  1.117% | 
 | 33   | Gothitelle         |  0.77080% | 13065  |  0.584% | 
 | 34   | Durant             |  0.77040% | 6183   |  0.276% | 
 | 35   | Jellicent          |  0.74767% | 11147  |  0.498% | 
 | 36   | Ludicolo           |  0.69780% | 19918  |  0.891% | 
 | 37   | Hawlucha           |  0.58110% | 13822  |  0.618% | 
 | 38   | Lucario            |  0.58007% | 32514  |  1.454% | 
 | 39   | Pelipper           |  0.53093% | 28195  |  1.261% | 
 | 40   | Weezing-Galar      |  0.48233% | 18337  |  0.820% | 
 | 41   | Hitmontop          |  0.43606% | 13219  |  0.591% | 
 | 42   | Oranguru           |  0.43572% | 16811  |  0.752% | 
 | 43   | Vileplume          |  0.42316% | 9286   |  0.415% | 
 | 44   | Togedemaru         |  0.41602% | 7050   |  0.315% | 
 | 45   | Conkeldurr         |  0.40617% | 11031  |  0.493% | 
 | 46   | Milotic            |  0.39213% | 11266  |  0.504% | 
 | 47   | Vanilluxe          |  0.39200% | 6820   |  0.305% | 
 | 48   | Coalossal          |  0.38222% | 18345  |  0.820% | 
 | 49   | Sableye            |  0.36019% | 13140  |  0.588% | 
 | 50   | Haxorus            |  0.30915% | 5564   |  0.249% | 
 | 51   | Ferrothorn         |  0.30907% | 14919  |  0.667% | 
 | 52   | Inteleon           |  0.30395% | 5689   |  0.254% | 
 | 53   | Barraskewda        |  0.30018% | 13883  |  0.621% | 
 | 54   | Raichu             |  0.29612% | 10114  |  0.452% | 
 | 55   | Indeedee           |  0.28899% | 7899   |  0.353% | 
 | 56   | Lapras             |  0.28821% | 7059   |  0.316% | 
 | 57   | Dracozolt          |  0.28023% | 6264   |  0.280% | 
 | 58   | Gengar             |  0.26938% | 8966   |  0.401% | 
 | 59   | Toxtricity         |  0.26469% | 13416  |  0.600% | 
 | 60   | Rillaboom          |  0.25471% | 6063   |  0.271% | 
 | 61   | Silvally           |  0.25222% | 4512   |  0.202% | 
 | 62   | Obstagoon          |  0.25145% | 11944  |  0.534% | 
 | 63   | Mandibuzz          |  0.24864% | 3785   |  0.169% | 
 | 64   | Pikachu            |  0.21989% | 5280   |  0.236% | 
 | 65   | Cofagrigus         |  0.20981% | 5961   |  0.267% | 
 | 66   | Passimian          |  0.20092% | 3078   |  0.138% | 
 | 67   | Sandaconda         |  0.18325% | 5727   |  0.256% | 
 | 68   | Goodra             |  0.18302% | 4288   |  0.192% | 
 | 69   | Kommo-o            |  0.17922% | 6699   |  0.300% | 
 | 70   | Bisharp            |  0.17811% | 4629   |  0.207% | 
 | 71   | Weavile            |  0.17271% | 11670  |  0.522% | 
 | 72   | Mamoswine          |  0.16967% | 5036   |  0.225% | 
 | 73   | Aegislash          |  0.16880% | 6823   |  0.305% | 
 | 74   | Alcremie           |  0.16127% | 7434   |  0.332% | 
 | 75   | Ninetales          |  0.16074% | 6293   |  0.281% | 
 | 76   | Perrserker         |  0.15890% | 4636   |  0.207% | 
 | 77   | Gardevoir          |  0.14711% | 6231   |  0.279% | 
 | 78   | Hippowdon          |  0.14475% | 2056   |  0.092% | 
 | 79   | Mr. Mime-Galar     |  0.14097% | 3379   |  0.151% | 
 | 80   | Gigalith           |  0.13909% | 3576   |  0.160% | 
 | 81   | Gallade            |  0.13841% | 5554   |  0.248% | 
 | 82   | Clefable           |  0.13664% | 7212   |  0.323% | 
 | 83   | Runerigus          |  0.13158% | 6969   |  0.312% | 
 | 84   | Malamar            |  0.13008% | 5880   |  0.263% | 
 | 85   | Umbreon            |  0.12951% | 2155   |  0.096% | 
 | 86   | Drifblim           |  0.12456% | 4384   |  0.196% | 
 | 87   | Flygon             |  0.12077% | 2514   |  0.112% | 
 | 88   | Reuniclus          |  0.11539% | 4358   |  0.195% | 
 | 89   | Centiskorch        |  0.10856% | 4226   |  0.189% | 
 | 90   | Cinderace          |  0.10654% | 5823   |  0.260% | 
 | 91   | Sirfetch'd         |  0.09486% | 3852   |  0.172% | 
 | 92   | Stonjourner        |  0.09215% | 3095   |  0.138% | 
 | 93   | Abomasnow          |  0.09195% | 4129   |  0.185% | 
 | 94   | Klinklang          |  0.09048% | 1325   |  0.059% | 
 | 95   | Ribombee           |  0.08782% | 4321   |  0.193% | 
 | 96   | Roserade           |  0.08717% | 1953   |  0.087% | 
 | 97   | Falinks            |  0.08660% | 5975   |  0.267% | 
 | 98   | Salazzle           |  0.08480% | 4824   |  0.216% | 
 | 99   | Seismitoad         |  0.08480% | 3418   |  0.153% | 
 | 100  | Greedent           |  0.08102% | 3714   |  0.166% | 
 | 101  | Araquanid          |  0.07745% | 2920   |  0.131% | 
 | 102  | Mr. Rime           |  0.07700% | 2897   |  0.130% | 
 | 103  | Copperajah         |  0.07345% | 3534   |  0.158% | 
 | 104  | Eldegoss           |  0.06657% | 2286   |  0.102% | 
 | 105  | Aromatisse         |  0.06531% | 1342   |  0.060% | 
 | 106  | Shiftry            |  0.06337% | 2317   |  0.104% | 
 | 107  | Appletun           |  0.05980% | 2617   |  0.117% | 
 | 108  | Eiscue             |  0.05972% | 4081   |  0.182% | 
 | 109  | Accelgor           |  0.05724% | 2338   |  0.105% | 
 | 110  | Vikavolt           |  0.05650% | 2441   |  0.109% | 
 | 111  | Diggersby          |  0.05636% | 1333   |  0.060% | 
 | 112  | Sigilyph           |  0.05554% | 1412   |  0.063% | 
 | 113  | Polteageist        |  0.05470% | 4050   |  0.181% | 
 | 114  | Drednaw            |  0.05451% | 3380   |  0.151% | 
 | 115  | Shiinotic          |  0.05224% | 1533   |  0.069% | 
 | 116  | Togetic            |  0.04831% | 2774   |  0.124% | 
 | 117  | Trevenant          |  0.04667% | 1906   |  0.085% | 
 | 118  | Bellossom          |  0.04525% | 1171   |  0.052% | 
 | 119  | Morpeko            |  0.04492% | 3602   |  0.161% | 
 | 120  | Tsareena           |  0.04282% | 2002   |  0.090% | 
 | 121  | Corsola-Galar      |  0.04252% | 3126   |  0.140% | 
 | 122  | Beartic            |  0.04090% | 1484   |  0.066% | 
 | 123  | Drampa             |  0.04050% | 1650   |  0.074% | 
 | 124  | Froslass           |  0.04037% | 1190   |  0.053% | 
 | 125  | Heliolisk          |  0.03946% | 3024   |  0.135% | 
 | 126  | Golisopod          |  0.03924% | 2559   |  0.114% | 
 | 127  | Rotom-Frost        |  0.03759% | 1066   |  0.048% | 
 | 128  | Claydol            |  0.03711% | 834    |  0.037% | 
 | 129  | Machamp            |  0.03549% | 2408   |  0.108% | 
 | 130  | Dusknoir           |  0.03453% | 1751   |  0.078% | 
 | 131  | Noivern            |  0.03406% | 2685   |  0.120% | 
 | 132  | Orbeetle           |  0.03212% | 3080   |  0.138% | 
 | 133  | Pincurchin         |  0.03081% | 2736   |  0.122% | 
 | 134  | Cloyster           |  0.03030% | 2195   |  0.098% | 
 | 135  | Cursola            |  0.02996% | 2236   |  0.100% | 
 | 136  | Steelix            |  0.02892% | 1237   |  0.055% | 
 | 137  | Glaceon            |  0.02736% | 1196   |  0.053% | 
 | 138  | Rotom-Fan          |  0.02670% | 551    |  0.025% | 
 | 139  | Frosmoth           |  0.02616% | 2160   |  0.097% | 
 | 140  | Jolteon            |  0.02587% | 1537   |  0.069% | 
 | 141  | Toxicroak          |  0.02544% | 1836   |  0.082% | 
 | 142  | Crawdaunt          |  0.02476% | 1484   |  0.066% | 
 | 143  | Dubwool            |  0.02440% | 1495   |  0.067% | 
 | 144  | Leafeon            |  0.02321% | 1968   |  0.088% | 
 | 145  | Espeon             |  0.02238% | 1401   |  0.063% | 
 | 146  | Gourgeist-Super    |  0.02094% | 851    |  0.038% | 
 | 147  | Escavalier         |  0.02040% | 1650   |  0.074% | 
 | 148  | Dhelmise           |  0.02018% | 1371   |  0.061% | 
 | 149  | Flapple            |  0.02005% | 906    |  0.041% | 
 | 150  | Manectric          |  0.01985% | 1209   |  0.054% | 
 | 151  | Toxapex            |  0.01925% | 2996   |  0.134% | 
 | 152  | Hitmonlee          |  0.01920% | 1420   |  0.064% | 
 | 153  | Drapion            |  0.01778% | 1301   |  0.058% | 
 | 154  | Galvantula         |  0.01743% | 1773   |  0.079% | 
 | 155  | Clefairy           |  0.01710% | 754    |  0.034% | 
 | 156  | Shuckle            |  0.01697% | 1527   |  0.068% | 
 | 157  | Cinccino           |  0.01667% | 1576   |  0.070% | 
 | 158  | Silvally-Grass     |  0.01645% | 600    |  0.027% | 
 | 159  | Vaporeon           |  0.01604% | 679    |  0.030% | 
 | 160  | Grapploct          |  0.01557% | 2331   |  0.104% | 
 | 161  | Musharna           |  0.01540% | 786    |  0.035% | 
 | 162  | Dugtrio            |  0.01538% | 1044   |  0.047% | 
 | 163  | Dottler            |  0.01454% | 782    |  0.035% | 
 | 164  | Arctovish          |  0.01323% | 890    |  0.040% | 
 | 165  | Silvally-Ground    |  0.01309% | 311    |  0.014% | 
 | 166  | Xatu               |  0.01250% | 1062   |  0.047% | 
 | 167  | Arctozolt          |  0.01136% | 1059   |  0.047% | 
 | 168  | Rhydon             |  0.01101% | 653    |  0.029% | 
 | 169  | Cramorant          |  0.01095% | 1447   |  0.065% | 
 | 170  | Sawk               |  0.01087% | 256    |  0.011% | 
 | 171  | Boltund            |  0.01067% | 989    |  0.044% | 
 | 172  | Bewear             |  0.00972% | 853    |  0.038% | 
 | 173  | Thievul            |  0.00959% | 581    |  0.026% | 
 | 174  | Silvally-Fighting  |  0.00959% | 259    |  0.012% | 
 | 175  | Sneasel            |  0.00943% | 624    |  0.028% | 
 | 176  | Silvally-Fairy     |  0.00932% | 161    |  0.007% | 
 | 177  | Wishiwashi         |  0.00915% | 475    |  0.021% | 
 | 178  | Gothorita          |  0.00886% | 394    |  0.018% | 
 | 179  | Mantine            |  0.00847% | 746    |  0.033% | 
 | 180  | Maractus           |  0.00843% | 605    |  0.027% | 
 | 181  | Octillery          |  0.00812% | 577    |  0.026% | 
 | 182  | Cherrim            |  0.00795% | 673    |  0.030% | 
 | 183  | Slurpuff           |  0.00764% | 240    |  0.011% | 
 | 184  | Avalugg            |  0.00760% | 571    |  0.026% | 
 | 185  | Turtonator         |  0.00759% | 411    |  0.018% | 
 | 186  | Type: Null         |  0.00674% | 375    |  0.017% | 
 | 187  | Rapidash-Galar     |  0.00664% | 1172   |  0.052% | 
 | 188  | Shedinja           |  0.00621% | 619    |  0.028% | 
 | 189  | Barbaracle         |  0.00614% | 376    |  0.017% | 
 | 190  | Glalie             |  0.00574% | 321    |  0.014% | 
 | 191  | Hitmonchan         |  0.00563% | 333    |  0.015% | 
 | 192  | Klang              |  0.00524% | 564    |  0.025% | 
 | 193  | Morgrem            |  0.00520% | 146    |  0.007% | 
 | 194  | Quagsire           |  0.00499% | 537    |  0.024% | 
 | 195  | Swoobat            |  0.00482% | 953    |  0.043% | 
 | 196  | Pangoro            |  0.00450% | 492    |  0.022% | 
 | 197  | Linoone-Galar      |  0.00441% | 132    |  0.006% | 
 | 198  | Throh              |  0.00433% | 110    |  0.005% | 
 | 199  | Meowstic           |  0.00429% | 403    |  0.018% | 
 | 200  | Delibird           |  0.00414% | 389    |  0.017% | 
 | 201  | Liepard            |  0.00406% | 329    |  0.015% | 
 | 202  | Silvally-Electric  |  0.00398% | 195    |  0.009% | 
 | 203  | Persian            |  0.00395% | 300    |  0.013% | 
 | 204  | Flareon            |  0.00388% | 330    |  0.015% | 
 | 205  | Kingler            |  0.00370% | 538    |  0.024% | 
 | 206  | Qwilfish           |  0.00339% | 393    |  0.018% | 
 | 207  | Doublade           |  0.00333% | 281    |  0.013% | 
 | 208  | Lanturn            |  0.00332% | 454    |  0.020% | 
 | 209  | Gourgeist          |  0.00316% | 91     |  0.004% | 
 | 210  | Beheeyem           |  0.00307% | 226    |  0.010% | 
 | 211  | Drakloak           |  0.00300% | 91     |  0.004% | 
 | 212  | Ditto              |  0.00300% | 578    |  0.026% | 
 | 213  | Silvally-Fire      |  0.00289% | 199    |  0.009% | 
 | 214  | Wailord            |  0.00287% | 261    |  0.012% | 
 | 215  | Golurk             |  0.00284% | 349    |  0.016% | 
 | 216  | Silvally-Dark      |  0.00278% | 27     |  0.001% | 
 | 217  | Ninjask            |  0.00272% | 804    |  0.036% | 
 | 218  | Rotom              |  0.00254% | 133    |  0.006% | 
 | 219  | Silvally-Poison    |  0.00232% | 75     |  0.003% | 
 | 220  | Piloswine          |  0.00222% | 46     |  0.002% | 
 | 221  | Silvally-Steel     |  0.00211% | 189    |  0.008% | 
 | 222  | Mawile             |  0.00209% | 459    |  0.021% | 
 | 223  | Riolu              |  0.00184% | 67     |  0.003% | 
 | 224  | Silvally-Dragon    |  0.00172% | 25     |  0.001% | 
 | 225  | Crustle            |  0.00171% | 384    |  0.017% | 
 | 226  | Pyukumuku          |  0.00168% | 440    |  0.020% | 
 | 227  | Skuntank           |  0.00149% | 144    |  0.006% | 
 | 228  | Sobble             |  0.00128% | 110    |  0.005% | 
 | 229  | Unfezant           |  0.00126% | 218    |  0.010% | 
 | 230  | Solrock            |  0.00124% | 224    |  0.010% | 
 | 231  | Pumpkaboo-Super    |  0.00117% | 46     |  0.002% | 
 | 232  | Charjabug          |  0.00111% | 283    |  0.013% | 
 | 233  | Haunter            |  0.00104% | 183    |  0.008% | 
 | 234  | Gourgeist-Small    |  0.00094% | 86     |  0.004% | 
 | 235  | Duosion            |  0.00087% | 41     |  0.002% | 
 | 236  | Sudowoodo          |  0.00087% | 85     |  0.004% | 
 | 237  | Trapinch           |  0.00077% | 56     |  0.003% | 
 | 238  | Wobbuffet          |  0.00075% | 292    |  0.013% | 
 | 239  | Bronzor            |  0.00070% | 42     |  0.002% | 
 | 240  | Basculin           |  0.00069% | 45     |  0.002% | 
 | 241  | Silvally-Ice       |  0.00064% | 37     |  0.002% | 
 | 242  | Timburr            |  0.00062% | 3      |  0.000% | 
 | 243  | Silvally-Flying    |  0.00058% | 71     |  0.003% | 
 | 244  | Eevee              |  0.00057% | 81     |  0.004% | 
 | 245  | Onix               |  0.00052% | 58     |  0.003% | 
 | 246  | Drizzile           |  0.00049% | 14     |  0.001% | 
 | 247  | Morelull           |  0.00043% | 29     |  0.001% | 
 | 248  | Duskull            |  0.00043% | 14     |  0.001% | 
 | 249  | Silvally-Water     |  0.00043% | 93     |  0.004% | 
 | 250  | Machoke            |  0.00043% | 20     |  0.001% | 
 | 251  | Zweilous           |  0.00042% | 110    |  0.005% | 
 | 252  | Lampent            |  0.00040% | 11     |  0.000% | 
 | 253  | Mantyke            |  0.00036% | 29     |  0.001% | 
 | 254  | Ponyta-Galar       |  0.00036% | 20     |  0.001% | 
 | 255  | Silvally-Rock      |  0.00036% | 35     |  0.002% | 
 | 256  | Diglett            |  0.00036% | 10     |  0.000% | 
 | 257  | Shellos            |  0.00034% | 28     |  0.001% | 
 | 258  | Lunatone           |  0.00032% | 73     |  0.003% | 
 | 259  | Spritzee           |  0.00031% | 59     |  0.003% | 
 | 260  | Whiscash           |  0.00028% | 104    |  0.005% | 
 | 261  | Mr. Mime           |  0.00026% | 48     |  0.002% | 
 | 262  | Hattrem            |  0.00025% | 19     |  0.001% | 
 | 263  | Munchlax           |  0.00024% | 29     |  0.001% | 
 | 264  | Wimpod             |  0.00023% | 37     |  0.002% | 
 | 265  | Shellder           |  0.00021% | 20     |  0.001% | 
 | 266  | Grookey            |  0.00019% | 1      |  0.000% | 
 | 267  | Espurr             |  0.00018% | 3      |  0.000% | 
 | 268  | Stunfisk-Galar     |  0.00018% | 201    |  0.009% | 
 | 269  | Garbodor           |  0.00017% | 146    |  0.007% | 
 | 270  | Gurdurr            |  0.00016% | 12     |  0.001% | 
 | 271  | Noctowl            |  0.00014% | 33     |  0.001% | 
 | 272  | Baltoy             |  0.00014% | 17     |  0.001% | 
 | 273  | Solosis            |  0.00014% | 20     |  0.001% | 
 | 274  | Meowth             |  0.00014% | 79     |  0.004% | 
 | 275  | Carkol             |  0.00013% | 34     |  0.002% | 
 | 276  | Karrablast         |  0.00013% | 1      |  0.000% | 
 | 277  | Vespiquen          |  0.00012% | 69     |  0.003% | 
 | 278  | Seaking            |  0.00011% | 15     |  0.001% | 
 | 279  | Roselia            |  0.00011% | 23     |  0.001% | 
 | 280  | Silvally-Ghost     |  0.00010% | 66     |  0.003% | 
 | 281  | Koffing            |  0.00008% | 9      |  0.000% | 
 | 282  | Cufant             |  0.00007% | 8      |  0.000% | 
 | 283  | Heatmor            |  0.00006% | 23     |  0.001% | 
 | 284  | Gloom              |  0.00005% | 33     |  0.001% | 
 | 285  | Snom               |  0.00005% | 7      |  0.000% | 
 | 286  | Seedot             |  0.00005% | 5      |  0.000% | 
 | 287  | Combee             |  0.00004% | 1      |  0.000% | 
 | 288  | Thwackey           |  0.00003% | 4      |  0.000% | 
 | 289  | Bonsly             |  0.00003% | 10     |  0.000% | 
 | 290  | Frillish           |  0.00002% | 5      |  0.000% | 
 | 291  | Yamask             |  0.00002% | 5      |  0.000% | 
 | 292  | Yamper             |  0.00002% | 11     |  0.000% | 
 | 293  | Gourgeist-Large    |  0.00002% | 12     |  0.001% | 
 | 294  | Growlithe          |  0.00002% | 2      |  0.000% | 
 | 295  | Mime Jr.           |  0.00001% | 11     |  0.000% | 
 | 296  | Meowth-Galar       |  0.00001% | 7      |  0.000% | 
 | 297  | Magikarp           |  0.00001% | 16     |  0.001% | 
 | 298  | Inkay              |  0.00001% | 15     |  0.001% | 
 | 299  | Gastly             |  0.00001% | 7      |  0.000% | 
 | 300  | Rufflet            |  0.00001% | 41     |  0.002% | 
 | 301  | Bunnelby           |  0.00001% | 13     |  0.001% | 
 | 302  | Mudbray            |  0.00001% | 6      |  0.000% | 
 | 303  | Applin             |  0.00001% | 11     |  0.000% | 
 | 304  | Cottonee           |  0.00001% | 24     |  0.001% | 
 | 305  | Silvally-Psychic   |  0.00001% | 4      |  0.000% | 
 | 306  | Natu               |  0.00001% | 1      |  0.000% | 
 | 307  | Sinistea           |  0.00000% | 8      |  0.000% | 
 | 308  | Farfetch'd-Galar   |  0.00000% | 6      |  0.000% | 
 | 309  | Sliggoo            |  0.00000% | 4      |  0.000% | 
 | 310  | Feebas             |  0.00000% | 2      |  0.000% | 
 | 311  | Krabby             |  0.00000% | 5      |  0.000% | 
 | 312  | Ralts              |  0.00000% | 8      |  0.000% | 
 | 313  | Silvally-Bug       |  0.00000% | 8      |  0.000% | 
 | 314  | Toxel              |  0.00000% | 11     |  0.000% | 
 | 315  | Corphish           |  0.00000% | 10     |  0.000% | 
 | 316  | Togepi             |  0.00000% | 25     |  0.001% | 
 | 317  | Snover             |  0.00000% | 4      |  0.000% | 
 | 318  | Minccino           |  0.00000% | 1      |  0.000% | 
 | 319  | Remoraid           |  0.00000% | 1      |  0.000% | 
 | 320  | Mareanie           |  0.00000% | 7      |  0.000% | 
 | 321  | Boldore            |  0.00000% | 20     |  0.001% | 
 | 322  | Charmeleon         |  0.00000% | 4      |  0.000% | 
 | 323  | Clobbopus          |  0.00000% | 1      |  0.000% | 
 | 324  | Tyrogue            |  0.00000% | 3      |  0.000% | 
 | 325  | Oddish             |  0.00000% | 3      |  0.000% | 
 | 326  | Dewpider           |  0.00000% | 2      |  0.000% | 
 | 327  | Darumaka-Galar     |  0.00000% | 3      |  0.000% | 
 | 328  | Zigzagoon-Galar    |  0.00000% | 1      |  0.000% | 
 | 329  | Trubbish           |  0.00000% | 7      |  0.000% | 
 | 330  | Scraggy            |  0.00000% | 7      |  0.000% | 
 | 331  | Raboot             |  0.00000% | 5      |  0.000% | 
 | 332  | Yamask-Galar       |  0.00000% | 4      |  0.000% | 
 | 333  | Pichu              |  0.00000% | 19     |  0.001% | 
 | 334  | Drifloon           |  0.00000% | 1      |  0.000% | 
 | 335  | Impidimp           |  0.00000% | 5      |  0.000% | 
 | 336  | Chewtle            |  0.00000% | 1      |  0.000% | 
 | 337  | Corvisquire        |  0.00000% | 4      |  0.000% | 
 | 338  | Wingull            |  0.00000% | 1      |  0.000% | 
 | 339  | Budew              |  0.00000% | 7      |  0.000% | 
 | 340  | Swirlix            |  0.00000% | 9      |  0.000% | 
 | 341  | Cleffa             |  0.00000% | 1      |  0.000% | 
 | 342  | Cutiefly           |  0.00000% | 1      |  0.000% | 
 | 343  | Salandit           |  0.00000% | 1      |  0.000% | 
 | 344  | Pidove             |  0.00000% | 3      |  0.000% | 
 | 345  | Purrloin           |  0.00000% | 1      |  0.000% | 
 | 346  | Grubbin            |  0.00000% | 6      |  0.000% | 
