 Total battles: 213067
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Durant             | 83.07500% | 8670   | 42.485% | 6672   | 44.298% | 
 | 2    | Araquanid          | 70.44157% | 9638   | 47.229% | 6953   | 46.164% | 
 | 3    | Frosmoth           | 68.88730% | 14185  | 69.510% | 9546   | 63.380% | 
 | 4    | Centiskorch        | 68.82655% | 15903  | 77.929% | 11243  | 74.647% | 
 | 5    | Galvantula         | 58.78059% | 10975  | 53.781% | 8982   | 59.635% | 
 | 6    | Orbeetle           | 50.50941% | 8452   | 41.417% | 6066   | 40.275% | 
 | 7    | Crustle            | 44.52707% | 7829   | 38.364% | 6177   | 41.012% | 
 | 8    | Shuckle            | 31.95714% | 6208   | 30.421% | 5463   | 36.271% | 
 | 9    | Vikavolt           | 29.42329% | 5256   | 25.756% | 3832   | 25.442% | 
 | 10   | Ribombee           | 20.96032% | 5890   | 28.863% | 4444   | 29.506% | 
 | 11   | Accelgor           | 19.23593% | 3528   | 17.288% | 2635   | 17.495% | 
 | 12   | Golisopod          | 15.42924% | 8241   | 40.383% | 6162   | 40.912% | 
 | 13   | Escavalier         | 10.04291% | 4480   | 21.953% | 3408   | 22.627% | 
 | 14   | Butterfree         |  9.89834% | 4425   | 21.684% | 3077   | 20.430% | 
 | 15   | Silvally-Bug       |  7.94980% | 1073   |  5.258% | 781    |  5.185% | 
 | 16   | Shedinja           |  4.89776% | 2733   | 13.392% | 1740   | 11.553% | 
 | 17   | Ninjask            |  3.48089% | 2772   | 13.584% | 2048   | 13.598% | 
 | 18   | Dottler            |  1.02793% | 249    |  1.220% | 218    |  1.447% | 
 | 19   | Vespiquen          |  0.31103% | 834    |  4.087% | 584    |  3.877% | 
 | 20   | Snom               |  0.09827% | 58     |  0.284% | 47     |  0.312% | 
 | 21   | Charjabug          |  0.09460% | 96     |  0.470% | 74     |  0.491% | 
 | 22   | Skorupi            |  0.00591% | 180    |  0.882% | 140    |  0.930% | 
 | 23   | Shelmet            |  0.00006% | 13     |  0.064% | 12     |  0.080% | 
 | 24   | Wimpod             |  0.00002% | 38     |  0.186% | 14     |  0.093% | 
 | 25   | Blipbug            |  0.00000% | 8      |  0.039% | 8      |  0.053% | 
 | 26   | Nincada            |  0.00000% | 6      |  0.029% | 5      |  0.033% | 
 | 27   | Sizzlipede         |  0.00000% | 5      |  0.025% | 4      |  0.027% | 
 | 28   | Metapod            |  0.00000% | 6      |  0.029% | 5      |  0.033% | 
 | 29   | Combee             |  0.00000% | 3      |  0.015% | 3      |  0.020% | 
 | 30   | Caterpie           |  0.00000% | 3      |  0.015% | 3      |  0.020% | 
 | 31   | Grubbin            |  0.00000% | 3      |  0.015% | 3      |  0.020% | 
 | 32   | Dewpider           |  0.00000% | 1      |  0.005% | 1      |  0.007% | 
 | 33   | Dwebble            |  0.00000% | 21     |  0.103% | 16     |  0.106% | 
 | 34   | Cutiefly           |  0.00000% | 5      |  0.025% | 3      |  0.020% | 
 | 35   | Karrablast         |  0.00000% | 1      |  0.005% | 0      |  0.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
