 Total battles: 213067
 Avg. weight/team: 0.001
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Hydreigon          | 98.83890% | 27153  | 87.503% | 20326  | 87.164% | 
 | 2    | Grimmsnarl         | 90.62817% | 24392  | 78.605% | 18663  | 80.032% | 
 | 3    | Tyranitar          | 89.19408% | 20401  | 65.744% | 15747  | 67.528% | 
 | 4    | Mandibuzz          | 86.53928% | 20421  | 65.808% | 15379  | 65.950% | 
 | 5    | Bisharp            | 84.67799% | 20473  | 65.976% | 15384  | 65.971% | 
 | 6    | Crawdaunt          | 49.33595% | 6508   | 20.973% | 4830   | 20.712% | 
 | 7    | Drapion            | 28.36265% | 8898   | 28.675% | 7038   | 30.181% | 
 | 8    | Sableye            | 19.71446% | 6238   | 20.102% | 5222   | 22.393% | 
 | 9    | Weavile            | 17.05590% | 9435   | 30.405% | 6810   | 29.203% | 
 | 10   | Obstagoon          |  9.32186% | 13257  | 42.722% | 9623   | 41.266% | 
 | 11   | Morpeko            |  6.73994% | 6847   | 22.065% | 5094   | 21.845% | 
 | 12   | Skuntank           |  6.51588% | 1528   |  4.924% | 1144   |  4.906% | 
 | 13   | Malamar            |  3.21815% | 4801   | 15.472% | 3538   | 15.172% | 
 | 14   | Umbreon            |  2.59063% | 3947   | 12.720% | 2745   | 11.771% | 
 | 15   | Pangoro            |  2.18249% | 1437   |  4.631% | 1040   |  4.460% | 
 | 16   | Scrafty            |  1.90806% | 4303   | 13.867% | 3116   | 13.362% | 
 | 17   | Shiftry            |  1.42430% | 1202   |  3.874% | 827    |  3.546% | 
 | 18   | Silvally-Dark      |  1.02027% | 979    |  3.155% | 700    |  3.002% | 
 | 19   | Thievul            |  0.58183% | 2136   |  6.883% | 1599   |  6.857% | 
 | 20   | Liepard            |  0.11274% | 780    |  2.514% | 579    |  2.483% | 
 | 21   | Pawniard           |  0.02149% | 44     |  0.142% | 44     |  0.189% | 
 | 22   | Morgrem            |  0.01114% | 257    |  0.828% | 239    |  1.025% | 
 | 23   | Linoone-Galar      |  0.00081% | 113    |  0.364% | 96     |  0.412% | 
 | 24   | Sneasel            |  0.00023% | 69     |  0.222% | 50     |  0.214% | 
 | 25   | Nuzleaf            |  0.00007% | 7      |  0.023% | 5      |  0.021% | 
 | 26   | Zweilous           |  0.00001% | 20     |  0.064% | 17     |  0.073% | 
 | 27   | Deino              |  0.00000% | 3      |  0.010% | 3      |  0.013% | 
 | 28   | Impidimp           |  0.00000% | 3      |  0.010% | 3      |  0.013% | 
 | 29   | Vullaby            |  0.00000% | 52     |  0.168% | 48     |  0.206% | 
 | 30   | Purrloin           |  0.00000% | 1      |  0.003% | 1      |  0.004% | 
 | 31   | Nickit             |  0.00000% | 1      |  0.003% | 1      |  0.004% | 
 | 32   | Scraggy            |  0.00000% | 3      |  0.010% | 3      |  0.013% | 
 | 33   | Zigzagoon-Galar    |  0.00000% | 1      |  0.003% | 1      |  0.004% | 
 | 34   | Stunky             |  0.00000% | 1      |  0.003% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
