 Total battles: 213067
 Avg. weight/team: 0.051
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 95.53618% | 35898  | 94.683% | 26156  | 96.010% | 
 | 2    | Duraludon          | 81.84007% | 30248  | 79.781% | 24943  | 91.557% | 
 | 3    | Hydreigon          | 77.34465% | 28293  | 74.624% | 19806  | 72.701% | 
 | 4    | Dracovish          | 73.33828% | 27600  | 72.796% | 19889  | 73.006% | 
 | 5    | Kommo-o            | 54.60951% | 19742  | 52.070% | 13644  | 50.083% | 
 | 6    | Goodra             | 37.86163% | 14036  | 37.021% | 9952   | 36.530% | 
 | 7    | Haxorus            | 37.69117% | 14087  | 37.155% | 9490   | 34.835% | 
 | 8    | Dracozolt          | 36.52050% | 14231  | 37.535% | 9794   | 35.951% | 
 | 9    | Noivern            | 30.69673% | 11309  | 29.828% | 8134   | 29.857% | 
 | 10   | Appletun           | 19.98540% | 8716   | 22.989% | 5846   | 21.459% | 
 | 11   | Turtonator         | 17.60812% | 7065   | 18.634% | 5309   | 19.488% | 
 | 12   | Flygon             | 15.99220% | 6733   | 17.759% | 4788   | 17.575% | 
 | 13   | Flapple            | 13.06951% | 5560   | 14.665% | 3657   | 13.424% | 
 | 14   | Silvally-Dragon    |  3.00616% | 1370   |  3.613% | 941    |  3.454% | 
 | 15   | Drampa             |  2.54100% | 1253   |  3.305% | 876    |  3.216% | 
 | 16   | Sliggoo            |  0.18603% | 90     |  0.237% | 56     |  0.206% | 
 | 17   | Zweilous           |  0.13598% | 80     |  0.211% | 59     |  0.217% | 
 | 18   | Drakloak           |  0.13378% | 60     |  0.158% | 53     |  0.195% | 
 | 19   | Hakamo-o           |  0.07876% | 36     |  0.095% | 26     |  0.095% | 
 | 20   | Noibat             |  0.06259% | 18     |  0.047% | 14     |  0.051% | 
 | 21   | Fraxure            |  0.04556% | 18     |  0.047% | 11     |  0.040% | 
 | 22   | Applin             |  0.01130% | 8      |  0.021% | 6      |  0.022% | 
 | 23   | Goomy              |  0.00798% | 3      |  0.008% | 2      |  0.007% | 
 | 24   | Axew               |  0.00578% | 7      |  0.018% | 4      |  0.015% | 
 | 25   | Vibrava            |  0.00390% | 3      |  0.008% | 2      |  0.007% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
