 Total battles: 213067
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Toxtricity         | 89.98131% | 15657  | 83.974% | 11103  | 77.982% | 
 | 2    | Dracozolt          | 89.61618% | 14582  | 78.209% | 10469  | 73.529% | 
 | 3    | Galvantula         | 77.63885% | 12632  | 67.750% | 11587  | 81.382% | 
 | 4    | Rotom-Wash         | 63.92528% | 11596  | 62.194% | 9098   | 63.900% | 
 | 5    | Pincurchin         | 41.41406% | 9390   | 50.362% | 7724   | 54.250% | 
 | 6    | Morpeko            | 38.43194% | 10243  | 54.937% | 7618   | 53.505% | 
 | 7    | Silvally-Electric  | 29.71826% | 1609   |  8.630% | 1140   |  8.007% | 
 | 8    | Heliolisk          | 26.40383% | 4067   | 21.813% | 2938   | 20.635% | 
 | 9    | Boltund            | 25.90282% | 7924   | 42.499% | 5738   | 40.301% | 
 | 10   | Vikavolt           | 22.59003% | 4448   | 23.856% | 3532   | 24.807% | 
 | 11   | Rotom-Heat         | 18.93893% | 2379   | 12.759% | 1832   | 12.867% | 
 | 12   | Arctozolt          | 12.05266% | 3017   | 16.181% | 2196   | 15.424% | 
 | 13   | Raichu             | 10.60228% | 772    |  4.141% | 582    |  4.088% | 
 | 14   | Rotom-Mow          |  9.89070% | 1575   |  8.447% | 1224   |  8.597% | 
 | 15   | Togedemaru         |  9.36787% | 2652   | 14.224% | 2016   | 14.159% | 
 | 16   | Jolteon            |  8.90055% | 2839   | 15.227% | 2029   | 14.251% | 
 | 17   | Lanturn            |  8.00862% | 2422   | 12.990% | 1800   | 12.642% | 
 | 18   | Pikachu            |  4.56860% | 1625   |  8.715% | 1140   |  8.007% | 
 | 19   | Charjabug          |  3.97149% | 288    |  1.545% | 252    |  1.770% | 
 | 20   | Manectric          |  3.58400% | 929    |  4.983% | 676    |  4.748% | 
 | 21   | Rotom              |  2.63482% | 211    |  1.132% | 158    |  1.110% | 
 | 22   | Rotom-Fan          |  1.21762% | 282    |  1.512% | 219    |  1.538% | 
 | 23   | Rotom-Frost        |  0.40024% | 379    |  2.033% | 293    |  2.058% | 
 | 24   | Pichu              |  0.08784% | 29     |  0.156% | 26     |  0.183% | 
 | 25   | Chinchou           |  0.00250% | 8      |  0.043% | 8      |  0.056% | 
 | 26   | Yamper             |  0.00036% | 20     |  0.107% | 18     |  0.126% | 
 | 27   | Joltik             |  0.00019% | 8      |  0.043% | 6      |  0.042% | 
 | 28   | Electrike          |  0.00001% | 5      |  0.027% | 5      |  0.035% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
