 Total battles: 213067
 Avg. weight/team: 0.063
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Grimmsnarl         | 80.36027% | 21547  | 80.360% | 16751  | 83.844% | 
 | 2    | Mimikyu            | 74.66900% | 20021  | 74.669% | 14808  | 74.118% | 
 | 3    | Togekiss           | 73.65084% | 19748  | 73.651% | 14353  | 71.841% | 
 | 4    | Hatterene          | 62.28322% | 16700  | 62.283% | 12127  | 60.699% | 
 | 5    | Weezing-Galar      | 49.68112% | 13321  | 49.681% | 10158  | 50.844% | 
 | 6    | Clefable           | 41.79316% | 11206  | 41.793% | 8320   | 41.644% | 
 | 7    | Gardevoir          | 40.61090% | 10889  | 40.611% | 7517   | 37.625% | 
 | 8    | Ribombee           | 39.34286% | 10549  | 39.343% | 9561   | 47.856% | 
 | 9    | Rapidash-Galar     | 34.24085% | 9181   | 34.241% | 6271   | 31.388% | 
 | 10   | Sylveon            | 23.04106% | 6178   | 23.041% | 4320   | 21.623% | 
 | 11   | Mawile             | 22.43315% | 6015   | 22.433% | 4732   | 23.685% | 
 | 12   | Alcremie           | 18.51341% | 4964   | 18.513% | 3321   | 16.623% | 
 | 13   | Whimsicott         | 15.28363% | 4098   | 15.284% | 3152   | 15.777% | 
 | 14   | Silvally-Fairy     |  6.03812% | 1619   |  6.038% | 1129   |  5.651% | 
 | 15   | Shiinotic          |  5.47869% | 1469   |  5.479% | 959    |  4.800% | 
 | 16   | Slurpuff           |  4.24421% | 1138   |  4.244% | 973    |  4.870% | 
 | 17   | Aromatisse         |  2.68526% | 720    |  2.685% | 516    |  2.583% | 
 | 18   | Mr. Mime           |  1.77526% | 476    |  1.775% | 351    |  1.757% | 
 | 19   | Togetic            |  1.13751% | 305    |  1.138% | 241    |  1.206% | 
 | 20   | Morgrem            |  0.49603% | 133    |  0.496% | 116    |  0.581% | 
 | 21   | Clefairy           |  0.38414% | 103    |  0.384% | 84     |  0.420% | 
 | 22   | Cottonee           |  0.16783% | 45     |  0.168% | 38     |  0.190% | 
 | 23   | Ralts              |  0.09324% | 25     |  0.093% | 18     |  0.090% | 
 | 24   | Togepi             |  0.04848% | 13     |  0.048% | 11     |  0.055% | 
 | 25   | Mime Jr.           |  0.04848% | 13     |  0.048% | 9      |  0.045% | 
 | 26   | Cutiefly           |  0.04102% | 11     |  0.041% | 11     |  0.055% | 
 | 27   | Swirlix            |  0.03730% | 10     |  0.037% | 9      |  0.045% | 
 | 28   | Kirlia             |  0.02984% | 8      |  0.030% | 8      |  0.040% | 
 | 29   | Impidimp           |  0.01492% | 4      |  0.015% | 3      |  0.015% | 
 | 30   | Morelull           |  0.01119% | 3      |  0.011% | 2      |  0.010% | 
 | 31   | Milcery            |  0.01119% | 3      |  0.011% | 3      |  0.015% | 
 | 32   | Spritzee           |  0.01119% | 3      |  0.011% | 0      |  0.000% | 
 | 33   | Cleffa             |  0.00373% | 1      |  0.004% | 1      |  0.005% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
