 Total battles: 213067
 Avg. weight/team: 0.016
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Hawlucha           | 71.95478% | 9133   | 67.567% | 6476   | 66.483% | 
 | 2    | Lucario            | 71.79669% | 9504   | 70.311% | 6916   | 71.000% | 
 | 3    | Kommo-o            | 69.71065% | 8729   | 64.578% | 6340   | 65.087% | 
 | 4    | Conkeldurr         | 55.77040% | 6826   | 50.499% | 5076   | 52.111% | 
 | 5    | Sirfetch'd         | 40.51145% | 5652   | 41.814% | 4103   | 42.122% | 
 | 6    | Gallade            | 39.15851% | 5444   | 40.275% | 3876   | 39.791% | 
 | 7    | Machamp            | 37.62506% | 5682   | 42.036% | 4234   | 43.467% | 
 | 8    | Toxicroak          | 35.42390% | 4975   | 36.806% | 3474   | 35.664% | 
 | 9    | Scrafty            | 34.99683% | 4934   | 36.502% | 3619   | 37.153% | 
 | 10   | Falinks            | 28.71313% | 4347   | 32.160% | 3020   | 31.004% | 
 | 11   | Bewear             | 18.44021% | 2371   | 17.541% | 1731   | 17.771% | 
 | 12   | Hitmonlee          | 17.02158% | 1954   | 14.456% | 1447   | 14.855% | 
 | 13   | Hitmontop          | 15.97328% | 2213   | 16.372% | 1613   | 16.559% | 
 | 14   | Pangoro            | 15.60462% | 1953   | 14.448% | 1374   | 14.106% | 
 | 15   | Grapploct          | 15.12255% | 2609   | 19.302% | 1910   | 19.608% | 
 | 16   | Passimian          | 10.51305% | 1468   | 10.860% | 1037   | 10.646% | 
 | 17   | Hitmonchan         |  5.93846% | 895    |  6.621% | 670    |  6.878% | 
 | 18   | Silvally-Fighting  |  4.67366% | 762    |  5.637% | 582    |  5.975% | 
 | 19   | Sawk               |  4.57500% | 592    |  4.380% | 416    |  4.271% | 
 | 20   | Throh              |  2.77753% | 453    |  3.351% | 321    |  3.295% | 
 | 21   | Farfetch'd-Galar   |  0.65802% | 109    |  0.806% | 81     |  0.832% | 
 | 22   | Gurdurr            |  0.52462% | 59     |  0.436% | 43     |  0.441% | 
 | 23   | Machoke            |  0.21871% | 36     |  0.266% | 33     |  0.339% | 
 | 24   | Croagunk           |  0.18252% | 30     |  0.222% | 21     |  0.216% | 
 | 25   | Scraggy            |  0.11548% | 13     |  0.096% | 7      |  0.072% | 
 | 26   | Riolu              |  0.09206% | 16     |  0.118% | 9      |  0.092% | 
 | 27   | Clobbopus          |  0.07264% | 11     |  0.081% | 5      |  0.051% | 
 | 28   | Tyrogue            |  0.03998% | 6      |  0.044% | 6      |  0.062% | 
 | 29   | Hakamo-o           |  0.03940% | 9      |  0.067% | 5      |  0.051% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
