 Total battles: 213067
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Cinderace          | 96.67971% | 13334  | 84.979% | 9721   | 82.479% | 
 | 2    | Charizard          | 79.83204% | 10646  | 67.848% | 7681   | 65.171% | 
 | 3    | Rotom-Heat         | 78.38202% | 11787  | 75.119% | 9259   | 78.559% | 
 | 4    | Torkoal            | 65.79167% | 9391   | 59.850% | 8536   | 72.425% | 
 | 5    | Chandelure         | 60.36909% | 8404   | 53.559% | 5863   | 49.745% | 
 | 6    | Ninetales          | 49.23026% | 5777   | 36.817% | 4680   | 39.708% | 
 | 7    | Salazzle           | 48.08842% | 5953   | 37.939% | 4191   | 35.559% | 
 | 8    | Arcanine           | 48.06174% | 8434   | 53.751% | 6138   | 52.079% | 
 | 9    | Coalossal          | 28.29871% | 6236   | 39.743% | 4895   | 41.532% | 
 | 10   | Centiskorch        | 27.07427% | 7143   | 45.523% | 4924   | 41.778% | 
 | 11   | Turtonator         |  8.76511% | 3571   | 22.758% | 2630   | 22.315% | 
 | 12   | Silvally-Fire      |  8.09168% | 1378   |  8.782% | 953    |  8.086% | 
 | 13   | Flareon            |  1.03442% | 1188   |  7.571% | 787    |  6.677% | 
 | 14   | Carkol             |  0.13318% | 137    |  0.873% | 113    |  0.959% | 
 | 15   | Lampent            |  0.07749% | 41     |  0.261% | 35     |  0.297% | 
 | 16   | Heatmor            |  0.06859% | 312    |  1.988% | 226    |  1.918% | 
 | 17   | Scorbunny          |  0.00149% | 11     |  0.070% | 10     |  0.085% | 
 | 18   | Salandit           |  0.00000% | 7      |  0.045% | 6      |  0.051% | 
 | 19   | Litwick            |  0.00000% | 11     |  0.070% | 11     |  0.093% | 
 | 20   | Raboot             |  0.00000% | 21     |  0.134% | 18     |  0.153% | 
 | 21   | Growlithe          |  0.00000% | 3      |  0.019% | 3      |  0.025% | 
 | 22   | Sizzlipede         |  0.00000% | 8      |  0.051% | 4      |  0.034% | 
 | 23   | Vulpix             |  0.00000% | 1      |  0.006% | 0      |  0.000% | 
 | 24   | Charmeleon         |  0.00000% | 24     |  0.153% | 20     |  0.170% | 
 | 25   | Charmander         |  0.00000% | 12     |  0.076% | 12     |  0.102% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
