 Total battles: 213067
 Avg. weight/team: 0.025
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Corviknight        | 83.92062% | 9050   | 83.921% | 6801   | 89.065% | 
 | 2    | Togekiss           | 74.15616% | 7997   | 74.156% | 5537   | 72.512% | 
 | 3    | Gyarados           | 74.02634% | 7983   | 74.026% | 5378   | 70.430% | 
 | 4    | Hawlucha           | 61.31306% | 6612   | 61.313% | 4347   | 56.928% | 
 | 5    | Noivern            | 54.31194% | 5857   | 54.312% | 4193   | 54.911% | 
 | 6    | Mandibuzz          | 40.81046% | 4401   | 40.810% | 3033   | 39.720% | 
 | 7    | Charizard          | 34.96847% | 3771   | 34.968% | 2564   | 33.578% | 
 | 8    | Xatu               | 26.53932% | 2862   | 26.539% | 2286   | 29.937% | 
 | 9    | Rotom-Fan          | 26.38168% | 2845   | 26.382% | 2296   | 30.068% | 
 | 10   | Braviary           | 17.84125% | 1924   | 17.841% | 1304   | 17.077% | 
 | 11   | Cramorant          | 14.22478% | 1534   | 14.225% | 1166   | 15.270% | 
 | 12   | Butterfree         | 13.57567% | 1464   | 13.576% | 1062   | 13.908% | 
 | 13   | Sigilyph           | 11.96217% | 1290   | 11.962% | 893    | 11.695% | 
 | 14   | Drifblim           | 11.67470% | 1259   | 11.675% | 891    | 11.668% | 
 | 15   | Pelipper           | 10.88650% | 1174   | 10.886% | 935    | 12.245% | 
 | 16   | Mantine            |  9.90356% | 1068   |  9.904% | 748    |  9.796% | 
 | 17   | Ninjask            |  7.91914% | 854    |  7.919% | 618    |  8.093% | 
 | 18   | Unfezant           |  5.24852% | 566    |  5.249% | 398    |  5.212% | 
 | 19   | Silvally-Flying    |  3.27337% | 353    |  3.273% | 246    |  3.222% | 
 | 20   | Delibird           |  3.15282% | 340    |  3.153% | 285    |  3.732% | 
 | 21   | Vespiquen          |  2.82826% | 305    |  2.828% | 231    |  3.025% | 
 | 22   | Swoobat            |  2.54080% | 274    |  2.541% | 218    |  2.855% | 
 | 23   | Noctowl            |  2.20697% | 238    |  2.207% | 169    |  2.213% | 
 | 24   | Togetic            |  1.82678% | 197    |  1.827% | 160    |  2.095% | 
 | 25   | Mantyke            |  0.28746% | 31     |  0.287% | 16     |  0.210% | 
 | 26   | Corvisquire        |  0.25037% | 27     |  0.250% | 14     |  0.183% | 
 | 27   | Tranquill          |  0.07418% | 8      |  0.074% | 7      |  0.092% | 
 | 28   | Vullaby            |  0.07418% | 8      |  0.074% | 8      |  0.105% | 
 | 29   | Natu               |  0.02782% | 3      |  0.028% | 3      |  0.039% | 
 | 30   | Drifloon           |  0.02782% | 3      |  0.028% | 3      |  0.039% | 
 | 31   | Hoothoot           |  0.02782% | 3      |  0.028% | 3      |  0.039% | 
 | 32   | Pidove             |  0.01855% | 2      |  0.019% | 2      |  0.026% | 
 | 33   | Rookidee           |  0.00927% | 1      |  0.009% | 1      |  0.013% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
