 Total battles: 213067
 Avg. weight/team: 0.079
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Dragapult          | 91.52218% | 51002  | 89.751% | 35621  | 86.702% | 
 | 2    | Mimikyu            | 78.99762% | 42756  | 75.240% | 30329  | 73.821% | 
 | 3    | Aegislash          | 76.74046% | 42557  | 74.890% | 30918  | 75.255% | 
 | 4    | Corsola-Galar      | 71.19155% | 39084  | 68.778% | 31750  | 77.280% | 
 | 5    | Gengar             | 67.96824% | 38288  | 67.378% | 25420  | 61.872% | 
 | 6    | Polteageist        | 48.05496% | 26500  | 46.634% | 18116  | 44.094% | 
 | 7    | Chandelure         | 34.05582% | 19997  | 35.190% | 13767  | 33.509% | 
 | 8    | Runerigus          | 25.95159% | 15211  | 26.768% | 12518  | 30.469% | 
 | 9    | Jellicent          | 17.90706% | 10119  | 17.807% | 6963   | 16.948% | 
 | 10   | Dhelmise           | 14.33809% | 8259   | 14.534% | 5777   | 14.061% | 
 | 11   | Froslass           | 14.28763% | 7908   | 13.916% | 6898   | 16.790% | 
 | 12   | Sableye            | 11.34905% | 6529   | 11.489% | 5105   | 12.426% | 
 | 13   | Cursola            |  8.38080% | 5526   |  9.724% | 3962   |  9.644% | 
 | 14   | Drifblim           |  5.95158% | 3886   |  6.838% | 2724   |  6.630% | 
 | 15   | Golurk             |  5.53237% | 3763   |  6.622% | 2874   |  6.995% | 
 | 16   | Cofagrigus         |  4.13763% | 2784   |  4.899% | 2252   |  5.481% | 
 | 17   | Trevenant          |  3.75167% | 2738   |  4.818% | 1841   |  4.481% | 
 | 18   | Dusknoir           |  3.74352% | 2842   |  5.001% | 2073   |  5.046% | 
 | 19   | Dusclops           |  3.35521% | 2316   |  4.076% | 1782   |  4.337% | 
 | 20   | Shedinja           |  3.05913% | 2074   |  3.650% | 1309   |  3.186% | 
 | 21   | Gourgeist-Super    |  2.58835% | 1603   |  2.821% | 1092   |  2.658% | 
 | 22   | Rotom              |  2.31948% | 1482   |  2.608% | 1160   |  2.823% | 
 | 23   | Doublade           |  2.24138% | 1504   |  2.647% | 1117   |  2.719% | 
 | 24   | Silvally-Ghost     |  1.07819% | 888    |  1.563% | 641    |  1.560% | 
 | 25   | Gourgeist          |  0.36517% | 261    |  0.459% | 192    |  0.467% | 
 | 26   | Gourgeist-Large    |  0.10404% | 61     |  0.107% | 45     |  0.110% | 
 | 27   | Gourgeist-Small    |  0.09963% | 71     |  0.125% | 46     |  0.112% | 
 | 28   | Haunter            |  0.09244% | 91     |  0.160% | 72     |  0.175% | 
 | 29   | Duskull            |  0.04708% | 30     |  0.053% | 27     |  0.066% | 
 | 30   | Drakloak           |  0.02781% | 27     |  0.048% | 20     |  0.049% | 
 | 31   | Yamask             |  0.02622% | 25     |  0.044% | 21     |  0.051% | 
 | 32   | Yamask-Galar       |  0.02613% | 29     |  0.051% | 28     |  0.068% | 
 | 33   | Pumpkaboo-Super    |  0.01997% | 14     |  0.025% | 9      |  0.022% | 
 | 34   | Phantump           |  0.00941% | 10     |  0.018% | 7      |  0.017% | 
 | 35   | Frillish           |  0.00852% | 6      |  0.011% | 4      |  0.010% | 
 | 36   | Lampent            |  0.00506% | 5      |  0.009% | 5      |  0.012% | 
 | 37   | Litwick            |  0.00330% | 3      |  0.005% | 3      |  0.007% | 
 | 38   | Drifloon           |  0.00324% | 4      |  0.007% | 4      |  0.010% | 
 | 39   | Sinistea           |  0.00301% | 3      |  0.005% | 3      |  0.007% | 
 | 40   | Gastly             |  0.00285% | 9      |  0.016% | 9      |  0.022% | 
 | 41   | Golett             |  0.00212% | 2      |  0.004% | 2      |  0.005% | 
 | 42   | Pumpkaboo-Small    |  0.00110% | 1      |  0.002% | 1      |  0.002% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
