 Total battles: 213067
 Avg. weight/team: 0.029
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 84.66178% | 10388  | 84.662% | 9316   | 99.930% | 
 | 2    | Appletun           | 57.85656% | 7099   | 57.857% | 5262   | 56.444% | 
 | 3    | Whimsicott         | 57.57946% | 7065   | 57.579% | 5653   | 60.638% | 
 | 4    | Rotom-Mow          | 52.47759% | 6439   | 52.478% | 5083   | 54.524% | 
 | 5    | Roserade           | 50.69275% | 6220   | 50.693% | 4653   | 49.912% | 
 | 6    | Rillaboom          | 47.57946% | 5838   | 47.579% | 4195   | 44.999% | 
 | 7    | Ludicolo           | 36.46292% | 4474   | 36.463% | 3295   | 35.345% | 
 | 8    | Flapple            | 35.12632% | 4310   | 35.126% | 2990   | 32.073% | 
 | 9    | Shiftry            | 23.67563% | 2905   | 23.676% | 2091   | 22.430% | 
 | 10   | Dhelmise           | 22.63244% | 2777   | 22.632% | 2044   | 21.925% | 
 | 11   | Tsareena           | 20.76610% | 2548   | 20.766% | 1767   | 18.954% | 
 | 12   | Eldegoss           | 18.50041% | 2270   | 18.500% | 1607   | 17.238% | 
 | 13   | Vileplume          | 17.18826% | 2109   | 17.188% | 1498   | 16.069% | 
 | 14   | Leafeon            | 13.33333% | 1636   | 13.333% | 1124   | 12.057% | 
 | 15   | Trevenant          | 10.16300% | 1247   | 10.163% | 897    |  9.622% | 
 | 16   | Abomasnow          |  8.76121% | 1075   |  8.761% | 814    |  8.732% | 
 | 17   | Silvally-Grass     |  8.12551% | 997    |  8.126% | 681    |  7.305% | 
 | 18   | Bellossom          |  7.35941% | 903    |  7.359% | 639    |  6.854% | 
 | 19   | Gourgeist-Super    |  7.27791% | 893    |  7.278% | 682    |  7.316% | 
 | 20   | Shiinotic          |  7.11491% | 873    |  7.115% | 603    |  6.468% | 
 | 21   | Maractus           |  3.82233% | 469    |  3.822% | 357    |  3.829% | 
 | 22   | Cherrim            |  2.59984% | 319    |  2.600% | 225    |  2.414% | 
 | 23   | Gourgeist-Small    |  1.63814% | 201    |  1.638% | 140    |  1.502% | 
 | 24   | Gourgeist          |  1.08394% | 133    |  1.084% | 93     |  0.998% | 
 | 25   | Roselia            |  0.73350% | 90     |  0.733% | 78     |  0.837% | 
 | 26   | Cottonee           |  0.40750% | 50     |  0.407% | 39     |  0.418% | 
 | 27   | Gloom              |  0.40750% | 50     |  0.407% | 34     |  0.365% | 
 | 28   | Gossifleur         |  0.15485% | 19     |  0.155% | 17     |  0.182% | 
 | 29   | Ferroseed          |  0.14670% | 18     |  0.147% | 17     |  0.182% | 
 | 30   | Gourgeist-Large    |  0.13040% | 16     |  0.130% | 14     |  0.150% | 
 | 31   | Pumpkaboo-Super    |  0.08965% | 11     |  0.090% | 10     |  0.107% | 
 | 32   | Applin             |  0.07335% | 9      |  0.073% | 8      |  0.086% | 
 | 33   | Thwackey           |  0.06520% | 8      |  0.065% | 6      |  0.064% | 
 | 34   | Budew              |  0.01630% | 2      |  0.016% | 2      |  0.021% | 
 | 35   | Lombre             |  0.00815% | 1      |  0.008% | 1      |  0.011% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
