 Total battles: 213067
 Avg. weight/team: 0.029
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Excadrill          | 88.90947% | 11039  | 88.909% | 8437   | 91.369% | 
 | 2    | Hippowdon          | 77.52094% | 9625   | 77.521% | 8467   | 91.694% | 
 | 3    | Mamoswine          | 67.31637% | 8358   | 67.316% | 5763   | 62.411% | 
 | 4    | Flygon             | 57.43396% | 7131   | 57.434% | 4964   | 53.758% | 
 | 5    | Seismitoad         | 45.37693% | 5634   | 45.377% | 4273   | 46.275% | 
 | 6    | Gastrodon          | 44.45071% | 5519   | 44.451% | 3940   | 42.668% | 
 | 7    | Sandaconda         | 37.68524% | 4679   | 37.685% | 3310   | 35.846% | 
 | 8    | Dugtrio            | 30.13048% | 3741   | 30.130% | 2707   | 29.316% | 
 | 9    | Runerigus          | 29.05122% | 3607   | 29.051% | 2832   | 30.669% | 
 | 10   | Diggersby          | 26.40142% | 3278   | 26.401% | 2329   | 25.222% | 
 | 11   | Claydol            | 17.16334% | 2131   | 17.163% | 1498   | 16.223% | 
 | 12   | Quagsire           | 16.70425% | 2074   | 16.704% | 1481   | 16.039% | 
 | 13   | Rhyperior          | 13.95780% | 1733   | 13.958% | 1254   | 13.580% | 
 | 14   | Steelix            | 11.30799% | 1404   | 11.308% | 1031   | 11.165% | 
 | 15   | Golurk             |  8.69040% | 1079   |  8.690% | 769    |  8.328% | 
 | 16   | Mudsdale           |  7.71585% | 958    |  7.716% | 677    |  7.332% | 
 | 17   | Silvally-Ground    |  7.28093% | 904    |  7.281% | 614    |  6.649% | 
 | 18   | Stunfisk-Galar     |  4.22841% | 525    |  4.228% | 392    |  4.245% | 
 | 19   | Rhydon             |  2.93170% | 364    |  2.932% | 256    |  2.772% | 
 | 20   | Whiscash           |  2.15045% | 267    |  2.150% | 172    |  1.863% | 
 | 21   | Piloswine          |  1.34504% | 167    |  1.345% | 113    |  1.224% | 
 | 22   | Yamask-Galar       |  0.17719% | 22     |  0.177% | 21     |  0.227% | 
 | 23   | Onix               |  0.17719% | 22     |  0.177% | 18     |  0.195% | 
 | 24   | Pupitar            |  0.16108% | 20     |  0.161% | 16     |  0.173% | 
 | 25   | Nincada            |  0.14497% | 18     |  0.145% | 14     |  0.152% | 
 | 26   | Hippopotas         |  0.13692% | 17     |  0.137% | 16     |  0.173% | 
 | 27   | Drilbur            |  0.10470% | 13     |  0.105% | 10     |  0.108% | 
 | 28   | Palpitoad          |  0.08054% | 10     |  0.081% | 8      |  0.087% | 
 | 29   | Silicobra          |  0.06443% | 8      |  0.064% | 2      |  0.022% | 
 | 30   | Wooper             |  0.06443% | 8      |  0.064% | 7      |  0.076% | 
 | 31   | Diglett            |  0.04027% | 5      |  0.040% | 5      |  0.054% | 
 | 32   | Trapinch           |  0.02416% | 3      |  0.024% | 3      |  0.032% | 
 | 33   | Swinub             |  0.01611% | 2      |  0.016% | 2      |  0.022% | 
 | 34   | Barboach           |  0.01611% | 2      |  0.016% | 2      |  0.022% | 
 | 35   | Rhyhorn            |  0.00805% | 1      |  0.008% | 1      |  0.011% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
