 Total battles: 213067
 Avg. weight/team: 0.048
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Darmanitan-Galar   | 91.89456% | 33649  | 89.848% | 24612  | 89.830% | 
 | 2    | Frosmoth           | 56.60827% | 20898  | 55.801% | 13689  | 49.963% | 
 | 3    | Mamoswine          | 55.91076% | 20127  | 53.742% | 15571  | 56.832% | 
 | 4    | Vanilluxe          | 48.13871% | 17211  | 45.956% | 14408  | 52.587% | 
 | 5    | Cloyster           | 47.14117% | 16934  | 45.216% | 12495  | 45.605% | 
 | 6    | Lapras             | 44.21976% | 16114  | 43.027% | 11757  | 42.911% | 
 | 7    | Avalugg            | 43.29980% | 14779  | 39.462% | 10791  | 39.385% | 
 | 8    | Eiscue             | 39.10961% | 15774  | 42.119% | 11033  | 40.269% | 
 | 9    | Froslass           | 27.19281% | 9999   | 26.699% | 8121   | 29.640% | 
 | 10   | Weavile            | 25.43733% | 9825   | 26.234% | 6828   | 24.921% | 
 | 11   | Abomasnow          | 25.02571% | 10372  | 27.695% | 8203   | 29.940% | 
 | 12   | Mr. Rime           | 19.96922% | 8204   | 21.906% | 5386   | 19.658% | 
 | 13   | Rotom-Frost        | 15.19167% | 5632   | 15.038% | 4142   | 15.118% | 
 | 14   | Arctozolt          | 13.41715% | 5812   | 15.519% | 4032   | 14.716% | 
 | 15   | Beartic            |  9.37111% | 3819   | 10.197% | 2582   |  9.424% | 
 | 16   | Mr. Mime-Galar     |  8.75778% | 3190   |  8.518% | 2243   |  8.187% | 
 | 17   | Arctovish          |  7.18101% | 3174   |  8.475% | 2276   |  8.307% | 
 | 18   | Glaceon            |  5.84568% | 2779   |  7.420% | 1840   |  6.716% | 
 | 19   | Glalie             |  5.56070% | 2015   |  5.380% | 1491   |  5.442% | 
 | 20   | Piloswine          |  5.27442% | 1729   |  4.617% | 1449   |  5.289% | 
 | 21   | Silvally-Ice       |  2.27122% | 966    |  2.579% | 711    |  2.595% | 
 | 22   | Delibird           |  1.29507% | 625    |  1.669% | 478    |  1.745% | 
 | 23   | Sneasel            |  0.33635% | 93     |  0.248% | 81     |  0.296% | 
 | 24   | Snom               |  0.30228% | 198    |  0.529% | 129    |  0.471% | 
 | 25   | Cubchoo            |  0.04629% | 23     |  0.061% | 16     |  0.058% | 
 | 26   | Snorunt            |  0.02234% | 12     |  0.032% | 9      |  0.033% | 
 | 27   | Swinub             |  0.01632% | 5      |  0.013% | 4      |  0.015% | 
 | 28   | Vanillish          |  0.01509% | 6      |  0.016% | 5      |  0.018% | 
 | 29   | Darumaka-Galar     |  0.00491% | 8      |  0.021% | 8      |  0.029% | 
 | 30   | Snover             |  0.00164% | 1      |  0.003% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
