 Total battles: 213067
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ditto              | 93.51402% | 13752  | 71.812% | 10154  | 71.417% | 
 | 2    | Snorlax            | 80.72442% | 12497  | 65.258% | 9360   | 65.833% | 
 | 3    | Indeedee           | 79.15410% | 9007   | 47.034% | 6467   | 45.485% | 
 | 4    | Obstagoon          | 73.32338% | 13864  | 72.397% | 10480  | 73.710% | 
 | 5    | Heliolisk          | 69.05539% | 10164  | 53.076% | 7665   | 53.911% | 
 | 6    | Bewear             | 58.91461% | 6273   | 32.757% | 4730   | 33.268% | 
 | 7    | Diggersby          | 41.11543% | 8193   | 42.783% | 6256   | 44.001% | 
 | 8    | Braviary           | 31.31744% | 7657   | 39.984% | 5613   | 39.479% | 
 | 9    | Dubwool            | 20.23221% | 6655   | 34.752% | 5178   | 36.419% | 
 | 10   | Cinccino           | 12.99598% | 6446   | 33.661% | 4775   | 33.585% | 
 | 11   | Unfezant           |  7.61001% | 2387   | 12.465% | 1803   | 12.681% | 
 | 12   | Drampa             |  7.54007% | 4141   | 21.624% | 2914   | 20.495% | 
 | 13   | Silvally           |  7.22363% | 1891   |  9.875% | 1313   |  9.235% | 
 | 14   | Type: Null         |  4.47331% | 1807   |  9.436% | 1341   |  9.432% | 
 | 15   | Noctowl            |  3.95722% | 1359   |  7.097% | 946    |  6.654% | 
 | 16   | Greedent           |  2.57419% | 2358   | 12.313% | 1756   | 12.351% | 
 | 17   | Indeedee-F         |  2.25356% | 2417   | 12.621% | 1783   | 12.541% | 
 | 18   | Munchlax           |  2.13182% | 144    |  0.752% | 106    |  0.746% | 
 | 19   | Oranguru           |  1.59680% | 1606   |  8.386% | 1295   |  9.108% | 
 | 20   | Persian            |  0.17457% | 813    |  4.245% | 664    |  4.670% | 
 | 21   | Meowth             |  0.04717% | 129    |  0.674% | 101    |  0.710% | 
 | 22   | Eevee              |  0.03709% | 315    |  1.645% | 241    |  1.695% | 
 | 23   | Linoone-Galar      |  0.02406% | 237    |  1.238% | 193    |  1.357% | 
 | 24   | Rufflet            |  0.00233% | 18     |  0.094% | 11     |  0.077% | 
 | 25   | Wooloo             |  0.00177% | 96     |  0.501% | 74     |  0.520% | 
 | 26   | Tranquill          |  0.00054% | 19     |  0.099% | 15     |  0.106% | 
 | 27   | Stufful            |  0.00023% | 14     |  0.073% | 12     |  0.084% | 
 | 28   | Bunnelby           |  0.00000% | 56     |  0.292% | 55     |  0.387% | 
 | 29   | Hoothoot           |  0.00000% | 9      |  0.047% | 2      |  0.014% | 
 | 30   | Minccino           |  0.00000% | 4      |  0.021% | 3      |  0.021% | 
 | 31   | Skwovet            |  0.00000% | 2      |  0.010% | 1      |  0.007% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
