 Total battles: 213067
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Indeedee           | 83.57687% | 6091   | 46.642% | 4629   | 47.530% | 
 | 2    | Gallade            | 75.15854% | 8204   | 62.823% | 5760   | 59.143% | 
 | 3    | Gardevoir          | 71.17429% | 5565   | 42.614% | 4017   | 41.246% | 
 | 4    | Hatterene          | 59.88195% | 9183   | 70.319% | 6959   | 71.454% | 
 | 5    | Mew                | 54.58826% | 3740   | 28.639% | 2831   | 29.068% | 
 | 6    | Malamar            | 51.50504% | 5059   | 38.740% | 3830   | 39.326% | 
 | 7    | Orbeetle           | 43.84858% | 5111   | 39.138% | 4084   | 41.934% | 
 | 8    | Bronzong           | 42.93638% | 6214   | 47.584% | 5418   | 55.631% | 
 | 9    | Reuniclus          | 37.45478% | 4458   | 34.137% | 3065   | 31.471% | 
 | 10   | Claydol            | 13.93458% | 2648   | 20.277% | 2056   | 21.111% | 
 | 11   | Mr. Rime           | 13.85084% | 2428   | 18.593% | 1642   | 16.860% | 
 | 12   | Indeedee-F         |  8.95845% | 1829   | 14.006% | 1407   | 14.447% | 
 | 13   | Rapidash-Galar     |  8.72035% | 4491   | 34.390% | 3068   | 31.502% | 
 | 14   | Xatu               |  7.43281% | 1006   |  7.703% | 763    |  7.834% | 
 | 15   | Espeon             |  7.41393% | 3284   | 25.147% | 2362   | 24.253% | 
 | 16   | Sigilyph           |  7.27577% | 1944   | 14.886% | 1359   | 13.954% | 
 | 17   | Dottler            |  2.40180% | 89     |  0.682% | 72     |  0.739% | 
 | 18   | Silvally-Psychic   |  2.16475% | 509    |  3.898% | 351    |  3.604% | 
 | 19   | Mr. Mime-Galar     |  1.39846% | 1063   |  8.140% | 781    |  8.019% | 
 | 20   | Swoobat            |  1.09163% | 621    |  4.755% | 485    |  4.980% | 
 | 21   | Wobbuffet          |  1.03759% | 607    |  4.648% | 471    |  4.836% | 
 | 22   | Meowstic           |  0.97714% | 603    |  4.618% | 453    |  4.651% | 
 | 23   | Solrock            |  0.70717% | 370    |  2.833% | 287    |  2.947% | 
 | 24   | Duosion            |  0.62842% | 77     |  0.590% | 61     |  0.626% | 
 | 25   | Oranguru           |  0.57387% | 822    |  6.295% | 620    |  6.366% | 
 | 26   | Lunatone           |  0.49647% | 216    |  1.654% | 152    |  1.561% | 
 | 27   | Musharna           |  0.30673% | 568    |  4.349% | 398    |  4.087% | 
 | 28   | Gothitelle         |  0.22193% | 612    |  4.686% | 461    |  4.733% | 
 | 29   | Beheeyem           |  0.16039% | 442    |  3.385% | 322    |  3.306% | 
 | 30   | Mr. Mime           |  0.04380% | 136    |  1.041% | 111    |  1.140% | 
 | 31   | Kirlia             |  0.00357% | 29     |  0.222% | 26     |  0.267% | 
 | 32   | Ralts              |  0.00303% | 10     |  0.077% | 10     |  0.103% | 
 | 33   | Solosis            |  0.00301% | 6      |  0.046% | 5      |  0.051% | 
 | 34   | Hattrem            |  0.00137% | 42     |  0.322% | 36     |  0.370% | 
 | 35   | Ponyta-Galar       |  0.00037% | 15     |  0.115% | 9      |  0.092% | 
 | 36   | Gothorita          |  0.00020% | 28     |  0.214% | 24     |  0.246% | 
 | 37   | Baltoy             |  0.00001% | 19     |  0.145% | 19     |  0.195% | 
 | 38   | Bronzor            |  0.00001% | 7      |  0.054% | 5      |  0.051% | 
 | 39   | Wynaut             |  0.00001% | 9      |  0.069% | 8      |  0.082% | 
 | 40   | Munna              |  0.00000% | 4      |  0.031% | 1      |  0.010% | 
 | 41   | Mime Jr.           |  0.00000% | 9      |  0.069% | 4      |  0.041% | 
 | 42   | Gothita            |  0.00000% | 3      |  0.023% | 3      |  0.031% | 
 | 43   | Hatenna            |  0.00000% | 3      |  0.023% | 2      |  0.021% | 
 | 44   | Natu               |  0.00000% | 2      |  0.015% | 1      |  0.010% | 
 | 45   | Elgyem             |  0.00000% | 9      |  0.069% | 7      |  0.072% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
