 Total battles: 213067
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Tyranitar          | 95.17463% | 4826   | 91.246% | 3607   | 93.413% | 
 | 2    | Rhyperior          | 83.81633% | 2902   | 54.869% | 2017   | 52.236% | 
 | 3    | Shuckle            | 75.22353% | 3663   | 69.257% | 3347   | 86.680% | 
 | 4    | Barbaracle         | 72.04120% | 2690   | 50.860% | 1835   | 47.522% | 
 | 5    | Coalossal          | 71.41311% | 3763   | 71.148% | 2749   | 71.193% | 
 | 6    | Drednaw            | 40.31121% | 2559   | 48.383% | 1749   | 45.295% | 
 | 7    | Lunatone           | 38.64544% | 2267   | 42.863% | 1487   | 38.510% | 
 | 8    | Crustle            | 29.23391% | 1821   | 34.430% | 1375   | 35.609% | 
 | 9    | Stonjourner        | 27.74825% | 1276   | 24.126% | 889    | 23.023% | 
 | 10   | Silvally-Rock      | 24.21895% | 1051   | 19.871% | 738    | 19.113% | 
 | 11   | Gigalith           | 16.48474% | 2137   | 40.405% | 1579   | 40.893% | 
 | 12   | Solrock            |  8.44238% | 729    | 13.783% | 559    | 14.477% | 
 | 13   | Rhydon             |  8.41150% | 737    | 13.935% | 493    | 12.768% | 
 | 14   | Sudowoodo          |  5.45031% | 553    | 10.456% | 410    | 10.618% | 
 | 15   | Onix               |  0.34166% | 270    |  5.105% | 220    |  5.698% | 
 | 16   | Carkol             |  0.24996% | 64     |  1.210% | 38     |  0.984% | 
 | 17   | Pupitar            |  0.01041% | 65     |  1.229% | 42     |  1.088% | 
 | 18   | Boldore            |  0.00001% | 15     |  0.284% | 9      |  0.233% | 
 | 19   | Rolycoly           |  0.00000% | 6      |  0.113% | 5      |  0.129% | 
 | 20   | Dwebble            |  0.00000% | 15     |  0.284% | 11     |  0.285% | 
 | 21   | Roggenrola         |  0.00000% | 4      |  0.076% | 4      |  0.104% | 
 | 22   | Larvitar           |  0.00000% | 1      |  0.019% | 1      |  0.026% | 
 | 23   | Rhyhorn            |  0.00000% | 1      |  0.019% | 1      |  0.026% | 
 | 24   | Bonsly             |  0.00000% | 3      |  0.057% | 3      |  0.078% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
