 Total battles: 213067
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Corviknight        | 98.07857% | 25463  | 85.980% | 17883  | 83.825% | 
 | 2    | Excadrill          | 97.45924% | 22565  | 76.194% | 16080  | 75.374% | 
 | 3    | Aegislash          | 89.31367% | 23806  | 80.385% | 16896  | 79.199% | 
 | 4    | Ferrothorn         | 85.06717% | 22507  | 75.999% | 17795  | 83.413% | 
 | 5    | Duraludon          | 80.87875% | 19939  | 67.327% | 14908  | 69.880% | 
 | 6    | Bisharp            | 55.30640% | 15611  | 52.713% | 10333  | 48.435% | 
 | 7    | Lucario            | 35.99342% | 11817  | 39.902% | 7958   | 37.303% | 
 | 8    | Durant             | 21.79312% | 4766   | 16.093% | 3253   | 15.248% | 
 | 9    | Bronzong           | 17.21795% | 7337   | 24.775% | 5811   | 27.239% | 
 | 10   | Copperajah         |  9.86705% | 6691   | 22.593% | 4867   | 22.814% | 
 | 11   | Doublade           |  4.73820% | 1423   |  4.805% | 1019   |  4.776% | 
 | 12   | Perrserker         |  0.95634% | 2803   |  9.465% | 1988   |  9.319% | 
 | 13   | Steelix            |  0.80028% | 2891   |  9.762% | 2149   | 10.073% | 
 | 14   | Silvally-Steel     |  0.77515% | 1729   |  5.838% | 1171   |  5.489% | 
 | 15   | Togedemaru         |  0.65305% | 2206   |  7.449% | 1693   |  7.936% | 
 | 16   | Klinklang          |  0.63472% | 2006   |  6.774% | 1450   |  6.797% | 
 | 17   | Mawile             |  0.17444% | 1322   |  4.464% | 916    |  4.294% | 
 | 18   | Escavalier         |  0.16105% | 1399   |  4.724% | 929    |  4.355% | 
 | 19   | Stunfisk-Galar     |  0.12862% | 973    |  3.285% | 768    |  3.600% | 
 | 20   | Bronzor            |  0.00204% | 53     |  0.179% | 39     |  0.183% | 
 | 21   | Klang              |  0.00005% | 44     |  0.149% | 41     |  0.192% | 
 | 22   | Meowth-Galar       |  0.00001% | 34     |  0.115% | 22     |  0.103% | 
 | 23   | Pawniard           |  0.00000% | 10     |  0.034% | 8      |  0.037% | 
 | 24   | Cufant             |  0.00000% | 11     |  0.037% | 8      |  0.037% | 
 | 25   | Ferroseed          |  0.00000% | 16     |  0.054% | 15     |  0.070% | 
 | 26   | Klink              |  0.00000% | 1      |  0.003% | 1      |  0.005% | 
 | 27   | Honedge            |  0.00000% | 1      |  0.003% | 1      |  0.005% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
