 Total battles: 213067
 Avg. weight/team: 0.001
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Seismitoad         | 78.35609% | 24568  | 51.906% | 18961  | 53.986% | 
 | 2    | Pelipper           | 73.82161% | 36297  | 76.686% | 32050  | 91.253% | 
 | 3    | Dracovish          | 68.87568% | 33631  | 71.053% | 24101  | 68.621% | 
 | 4    | Barraskewda        | 63.93537% | 31260  | 66.044% | 21976  | 62.570% | 
 | 5    | Toxapex            | 59.72299% | 24062  | 50.837% | 18569  | 52.870% | 
 | 6    | Gyarados           | 55.54336% | 20889  | 44.133% | 14021  | 39.921% | 
 | 7    | Rotom-Wash         | 30.61648% | 19241  | 40.651% | 14643  | 41.692% | 
 | 8    | Araquanid          | 29.35018% | 8553   | 18.070% | 7247   | 20.634% | 
 | 9    | Crawdaunt          | 28.36270% | 4587   |  9.691% | 3226   |  9.185% | 
 | 10   | Inteleon           | 22.28600% | 6963   | 14.711% | 4581   | 13.043% | 
 | 11   | Cloyster           | 11.48738% | 9791   | 20.686% | 7096   | 20.204% | 
 | 12   | Ludicolo           |  9.85045% | 9488   | 20.046% | 6428   | 18.302% | 
 | 13   | Mantine            |  9.72693% | 2213   |  4.675% | 1586   |  4.516% | 
 | 14   | Drednaw            |  8.97951% | 7429   | 15.696% | 5283   | 15.042% | 
 | 15   | Gastrodon          |  8.44807% | 4565   |  9.645% | 3259   |  9.279% | 
 | 16   | Milotic            |  7.61717% | 3550   |  7.500% | 2317   |  6.597% | 
 | 17   | Lapras             |  6.43890% | 5437   | 11.487% | 3928   | 11.184% | 
 | 18   | Lanturn            |  4.31276% | 3887   |  8.212% | 2762   |  7.864% | 
 | 19   | Quagsire           |  3.96607% | 4237   |  8.952% | 2980   |  8.485% | 
 | 20   | Pyukumuku          |  3.81634% | 1874   |  3.959% | 1412   |  4.020% | 
 | 21   | Cramorant          |  3.39184% | 5061   | 10.693% | 3769   | 10.731% | 
 | 22   | Golisopod          |  2.79272% | 3141   |  6.636% | 2207   |  6.284% | 
 | 23   | Vaporeon           |  1.92643% | 1479   |  3.125% | 1008   |  2.870% | 
 | 24   | Jellicent          |  1.86486% | 1965   |  4.152% | 1374   |  3.912% | 
 | 25   | Qwilfish           |  1.30585% | 878    |  1.855% | 719    |  2.047% | 
 | 26   | Arctovish          |  0.79645% | 835    |  1.764% | 565    |  1.609% | 
 | 27   | Barbaracle         |  0.74590% | 1361   |  2.875% | 936    |  2.665% | 
 | 28   | Kingler            |  0.44814% | 2229   |  4.709% | 1441   |  4.103% | 
 | 29   | Silvally-Water     |  0.40794% | 674    |  1.424% | 444    |  1.264% | 
 | 30   | Octillery          |  0.40412% | 881    |  1.861% | 667    |  1.899% | 
 | 31   | Whiscash           |  0.19303% | 506    |  1.069% | 343    |  0.977% | 
 | 32   | Wailord            |  0.02839% | 357    |  0.754% | 253    |  0.720% | 
 | 33   | Basculin           |  0.01801% | 133    |  0.281% | 94     |  0.268% | 
 | 34   | Wishiwashi         |  0.01516% | 278    |  0.587% | 188    |  0.535% | 
 | 35   | Palpitoad          |  0.01188% | 31     |  0.065% | 24     |  0.068% | 
 | 36   | Mantyke            |  0.00221% | 8      |  0.017% | 4      |  0.011% | 
 | 37   | Seaking            |  0.00210% | 219    |  0.463% | 135    |  0.384% | 
 | 38   | Frillish           |  0.00193% | 13     |  0.027% | 11     |  0.031% | 
 | 39   | Lombre             |  0.00067% | 13     |  0.027% | 13     |  0.037% | 
 | 40   | Mareanie           |  0.00041% | 17     |  0.036% | 16     |  0.046% | 
 | 41   | Wailmer            |  0.00023% | 3      |  0.006% | 3      |  0.009% | 
 | 42   | Dewpider           |  0.00000% | 7      |  0.015% | 6      |  0.017% | 
 | 43   | Wimpod             |  0.00000% | 12     |  0.025% | 11     |  0.031% | 
 | 44   | Wooper             |  0.00000% | 6      |  0.013% | 5      |  0.014% | 
 | 45   | Drizzile           |  0.00000% | 2      |  0.004% | 1      |  0.003% | 
 | 46   | Magikarp           |  0.00000% | 24     |  0.051% | 20     |  0.057% | 
 | 47   | Feebas             |  0.00000% | 5      |  0.011% | 4      |  0.011% | 
 | 48   | Sobble             |  0.00000% | 3      |  0.006% | 3      |  0.009% | 
 | 49   | Corphish           |  0.00000% | 3      |  0.006% | 2      |  0.006% | 
 | 50   | Goldeen            |  0.00000% | 6      |  0.013% | 4      |  0.011% | 
 | 51   | Barboach           |  0.00000% | 2      |  0.004% | 2      |  0.006% | 
 | 52   | Chinchou           |  0.00000% | 3      |  0.006% | 2      |  0.006% | 
 | 53   | Chewtle            |  0.00000% | 4      |  0.008% | 1      |  0.003% | 
 | 54   | Remoraid           |  0.00000% | 18     |  0.038% | 6      |  0.017% | 
 | 55   | Shellder           |  0.00000% | 1      |  0.002% | 1      |  0.003% | 
 | 56   | Shellos            |  0.00000% | 1      |  0.002% | 1      |  0.003% | 
 | 57   | Krabby             |  0.00000% | 3      |  0.006% | 3      |  0.009% | 
 | 58   | Arrokuda           |  0.00000% | 21     |  0.044% | 20     |  0.057% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
