 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Shuckle            | 22.99610% | 3330   | 16.318% | 
 | 2    | Galvantula         | 17.72504% | 4243   | 20.792% | 
 | 3    | Durant             | 16.18832% | 638    |  3.126% | 
 | 4    | Orbeetle           |  8.46865% | 1701   |  8.335% | 
 | 5    | Crustle            |  7.53470% | 2158   | 10.575% | 
 | 6    | Ribombee           |  7.03581% | 1393   |  6.826% | 
 | 7    | Araquanid          |  5.51036% | 1397   |  6.846% | 
 | 8    | Accelgor           |  3.59106% | 635    |  3.112% | 
 | 9    | Silvally-Bug       |  2.90837% | 119    |  0.583% | 
 | 10   | Centiskorch        |  2.48627% | 978    |  4.792% | 
 | 11   | Frosmoth           |  2.28066% | 715    |  3.504% | 
 | 12   | Vikavolt           |  0.85703% | 602    |  2.950% | 
 | 13   | Escavalier         |  0.81208% | 413    |  2.024% | 
 | 14   | Golisopod          |  0.61739% | 571    |  2.798% | 
 | 15   | Butterfree         |  0.52846% | 513    |  2.514% | 
 | 16   | Ninjask            |  0.20686% | 379    |  1.857% | 
 | 17   | Dottler            |  0.13876% | 119    |  0.583% | 
 | 18   | Shedinja           |  0.03950% | 271    |  1.328% | 
 | 19   | Vespiquen          |  0.03903% | 118    |  0.578% | 
 | 20   | Charjabug          |  0.03237% | 23     |  0.113% | 
 | 21   | Skorupi            |  0.00310% | 35     |  0.172% | 
 | 22   | Shelmet            |  0.00006% | 12     |  0.059% | 
 | 23   | Wimpod             |  0.00002% | 11     |  0.054% | 
 | 24   | Snom               |  0.00001% | 12     |  0.059% | 
 | 25   | Blipbug            |  0.00000% | 6      |  0.029% | 
 | 26   | Sizzlipede         |  0.00000% | 1      |  0.005% | 
 | 27   | Metapod            |  0.00000% | 2      |  0.010% | 
 | 28   | Caterpie           |  0.00000% | 1      |  0.005% | 
 | 29   | Grubbin            |  0.00000% | 1      |  0.005% | 
 | 30   | Dwebble            |  0.00000% | 8      |  0.039% | 
 | 31   | Cutiefly           |  0.00000% | 2      |  0.010% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
