 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Grimmsnarl         | 18.40740% | 5712   | 18.407% | 
 | 2    | Tyranitar          | 15.73588% | 4883   | 15.736% | 
 | 3    | Hydreigon          |  9.89978% | 3072   |  9.900% | 
 | 4    | Bisharp            |  8.07902% | 2507   |  8.079% | 
 | 5    | Sableye            |  7.78576% | 2416   |  7.786% | 
 | 6    | Drapion            |  6.99945% | 2172   |  6.999% | 
 | 7    | Obstagoon          |  6.28404% | 1950   |  6.284% | 
 | 8    | Morpeko            |  4.39238% | 1363   |  4.392% | 
 | 9    | Weavile            |  4.35693% | 1352   |  4.357% | 
 | 10   | Mandibuzz          |  3.89288% | 1208   |  3.893% | 
 | 11   | Crawdaunt          |  3.19036% | 990    |  3.190% | 
 | 12   | Malamar            |  2.67474% | 830    |  2.675% | 
 | 13   | Scrafty            |  1.84976% | 574    |  1.850% | 
 | 14   | Thievul            |  1.54362% | 479    |  1.544% | 
 | 15   | Umbreon            |  0.84109% | 261    |  0.841% | 
 | 16   | Pangoro            |  0.71864% | 223    |  0.719% | 
 | 17   | Skuntank           |  0.65418% | 203    |  0.654% | 
 | 18   | Liepard            |  0.58973% | 183    |  0.590% | 
 | 19   | Morgrem            |  0.55428% | 172    |  0.554% | 
 | 20   | Shiftry            |  0.55428% | 172    |  0.554% | 
 | 21   | Silvally-Dark      |  0.50917% | 158    |  0.509% | 
 | 22   | Linoone-Galar      |  0.19013% | 59     |  0.190% | 
 | 23   | Pawniard           |  0.14179% | 44     |  0.142% | 
 | 24   | Vullaby            |  0.06445% | 20     |  0.064% | 
 | 25   | Sneasel            |  0.03223% | 10     |  0.032% | 
 | 26   | Zweilous           |  0.02578% | 8      |  0.026% | 
 | 27   | Nuzleaf            |  0.01289% | 4      |  0.013% | 
 | 28   | Deino              |  0.00967% | 3      |  0.010% | 
 | 29   | Scraggy            |  0.00967% | 3      |  0.010% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
