 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Duraludon          | 32.40281% | 10885  | 28.710% | 
 | 2    | Kommo-o            | 12.07178% | 3486   |  9.194% | 
 | 3    | Dragapult          | 11.83830% | 5063   | 13.354% | 
 | 4    | Dracovish          | 10.90963% | 3783   |  9.978% | 
 | 5    | Hydreigon          |  9.56437% | 3187   |  8.406% | 
 | 6    | Noivern            |  6.05347% | 1744   |  4.600% | 
 | 7    | Haxorus            |  4.38499% | 1878   |  4.953% | 
 | 8    | Dracozolt          |  3.96892% | 1923   |  5.072% | 
 | 9    | Goodra             |  3.77742% | 1442   |  3.803% | 
 | 10   | Turtonator         |  1.37280% | 1189   |  3.136% | 
 | 11   | Flygon             |  1.18948% | 1038   |  2.738% | 
 | 12   | Appletun           |  1.00502% | 1057   |  2.788% | 
 | 13   | Flapple            |  0.75464% | 720    |  1.899% | 
 | 14   | Silvally-Dragon    |  0.29799% | 227    |  0.599% | 
 | 15   | Drampa             |  0.26670% | 218    |  0.575% | 
 | 16   | Noibat             |  0.07530% | 6      |  0.016% | 
 | 17   | Drakloak           |  0.05320% | 25     |  0.066% | 
 | 18   | Zweilous           |  0.00781% | 16     |  0.042% | 
 | 19   | Fraxure            |  0.00361% | 6      |  0.016% | 
 | 20   | Sliggoo            |  0.00095% | 5      |  0.013% | 
 | 21   | Goomy              |  0.00073% | 2      |  0.005% | 
 | 22   | Hakamo-o           |  0.00006% | 9      |  0.024% | 
 | 23   | Axew               |  0.00000% | 3      |  0.008% | 
 | 24   | Vibrava            |  0.00000% | 1      |  0.003% | 
 | 25   | Applin             |  0.00000% | 1      |  0.003% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
