 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Galvantula         | 45.51316% | 8341   | 44.736% | 
 | 2    | Pincurchin         | 12.11772% | 2505   | 13.435% | 
 | 3    | Vikavolt           |  7.91128% | 1255   |  6.731% | 
 | 4    | Rotom-Wash         |  5.64737% | 1022   |  5.481% | 
 | 5    | Morpeko            |  4.89896% | 912    |  4.891% | 
 | 6    | Toxtricity         |  4.17868% | 816    |  4.377% | 
 | 7    | Dracozolt          |  3.97595% | 773    |  4.146% | 
 | 8    | Boltund            |  2.69671% | 520    |  2.789% | 
 | 9    | Heliolisk          |  2.32925% | 384    |  2.060% | 
 | 10   | Rotom-Mow          |  1.62838% | 249    |  1.335% | 
 | 11   | Togedemaru         |  1.60696% | 310    |  1.663% | 
 | 12   | Rotom-Heat         |  1.43847% | 285    |  1.529% | 
 | 13   | Jolteon            |  1.01354% | 198    |  1.062% | 
 | 14   | Arctozolt          |  0.94486% | 196    |  1.051% | 
 | 15   | Raichu             |  0.72533% | 137    |  0.735% | 
 | 16   | Lanturn            |  0.71574% | 176    |  0.944% | 
 | 17   | Charjabug          |  0.66115% | 129    |  0.692% | 
 | 18   | Pikachu            |  0.59552% | 125    |  0.670% | 
 | 19   | Manectric          |  0.54894% | 117    |  0.628% | 
 | 20   | Silvally-Electric  |  0.54320% | 108    |  0.579% | 
 | 21   | Rotom-Fan          |  0.14087% | 33     |  0.177% | 
 | 22   | Rotom-Frost        |  0.08155% | 28     |  0.150% | 
 | 23   | Rotom              |  0.06487% | 16     |  0.086% | 
 | 24   | Pichu              |  0.01095% | 5      |  0.027% | 
 | 25   | Yamper             |  0.00500% | 3      |  0.016% | 
 | 26   | Joltik             |  0.00388% | 1      |  0.005% | 
 | 27   | Chinchou           |  0.00173% | 1      |  0.005% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
