 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ribombee           | 40.25960% | 7208   | 26.882% | 
 | 2    | Grimmsnarl         | 21.65920% | 4784   | 17.842% | 
 | 3    | Gardevoir          |  9.74115% | 880    |  3.282% | 
 | 4    | Hatterene          |  6.61862% | 2221   |  8.283% | 
 | 5    | Togekiss           |  5.90681% | 1526   |  5.691% | 
 | 6    | Mawile             |  5.33717% | 961    |  3.584% | 
 | 7    | Clefable           |  5.10478% | 2024   |  7.549% | 
 | 8    | Mimikyu            |  1.49322% | 1169   |  4.360% | 
 | 9    | Weezing-Galar      |  1.20038% | 2145   |  8.000% | 
 | 10   | Slurpuff           |  1.14689% | 530    |  1.977% | 
 | 11   | Whimsicott         |  0.38220% | 1013   |  3.778% | 
 | 12   | Sylveon            |  0.38052% | 500    |  1.865% | 
 | 13   | Shiinotic          |  0.32907% | 169    |  0.630% | 
 | 14   | Rapidash-Galar     |  0.28632% | 715    |  2.667% | 
 | 15   | Clefairy           |  0.04886% | 39     |  0.145% | 
 | 16   | Silvally-Fairy     |  0.04407% | 201    |  0.750% | 
 | 17   | Alcremie           |  0.04300% | 337    |  1.257% | 
 | 18   | Aromatisse         |  0.01350% | 144    |  0.537% | 
 | 19   | Morgrem            |  0.00324% | 80     |  0.298% | 
 | 20   | Togetic            |  0.00067% | 56     |  0.209% | 
 | 21   | Mr. Mime           |  0.00048% | 73     |  0.272% | 
 | 22   | Cottonee           |  0.00022% | 8      |  0.030% | 
 | 23   | Ralts              |  0.00002% | 9      |  0.034% | 
 | 24   | Milcery            |  0.00000% | 1      |  0.004% | 
 | 25   | Cutiefly           |  0.00000% | 10     |  0.037% | 
 | 26   | Swirlix            |  0.00000% | 5      |  0.019% | 
 | 27   | Morelull           |  0.00000% | 2      |  0.007% | 
 | 28   | Kirlia             |  0.00000% | 1      |  0.004% | 
 | 29   | Cleffa             |  0.00000% | 1      |  0.004% | 
 | 30   | Impidimp           |  0.00000% | 1      |  0.004% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
