 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Kommo-o            | 14.37449% | 1943   | 14.374% | 
 | 2    | Hawlucha           |  9.60272% | 1298   |  9.603% | 
 | 3    | Machamp            |  8.40423% | 1136   |  8.404% | 
 | 4    | Lucario            |  8.40423% | 1136   |  8.404% | 
 | 5    | Sirfetch'd         |  8.07872% | 1092   |  8.079% | 
 | 6    | Scrafty            |  7.24273% | 979    |  7.243% | 
 | 7    | Falinks            |  7.09477% | 959    |  7.095% | 
 | 8    | Conkeldurr         |  7.03558% | 951    |  7.036% | 
 | 9    | Gallade            |  6.08123% | 822    |  6.081% | 
 | 10   | Grapploct          |  4.97152% | 672    |  4.972% | 
 | 11   | Toxicroak          |  4.26870% | 577    |  4.269% | 
 | 12   | Pangoro            |  2.47096% | 334    |  2.471% | 
 | 13   | Hitmonlee          |  2.44137% | 330    |  2.441% | 
 | 14   | Hitmontop          |  2.16764% | 293    |  2.168% | 
 | 15   | Bewear             |  2.01968% | 273    |  2.020% | 
 | 16   | Passimian          |  1.67197% | 226    |  1.672% | 
 | 17   | Silvally-Fighting  |  1.18369% | 160    |  1.184% | 
 | 18   | Hitmonchan         |  1.12451% | 152    |  1.125% | 
 | 19   | Sawk               |  0.64363% | 87     |  0.644% | 
 | 20   | Throh              |  0.39950% | 54     |  0.399% | 
 | 21   | Farfetch'd-Galar   |  0.14056% | 19     |  0.141% | 
 | 22   | Machoke            |  0.05918% | 8      |  0.059% | 
 | 23   | Riolu              |  0.04439% | 6      |  0.044% | 
 | 24   | Tyrogue            |  0.03699% | 5      |  0.037% | 
 | 25   | Croagunk           |  0.02959% | 4      |  0.030% | 
 | 26   | Gurdurr            |  0.00740% | 1      |  0.007% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
