 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Torkoal            | 24.83635% | 4540   | 28.934% | 
 | 2    | Ninetales          | 14.35742% | 1513   |  9.642% | 
 | 3    | Rotom-Heat         | 12.59819% | 2392   | 15.244% | 
 | 4    | Cinderace          | 11.70236% | 1379   |  8.788% | 
 | 5    | Salazzle           |  8.45018% | 781    |  4.977% | 
 | 6    | Arcanine           |  8.31558% | 628    |  4.002% | 
 | 7    | Coalossal          |  7.38059% | 1745   | 11.121% | 
 | 8    | Chandelure         |  6.02526% | 758    |  4.831% | 
 | 9    | Centiskorch        |  1.96016% | 630    |  4.015% | 
 | 10   | Charizard          |  1.89157% | 535    |  3.410% | 
 | 11   | Turtonator         |  1.31273% | 381    |  2.428% | 
 | 12   | Silvally-Fire      |  0.68370% | 158    |  1.007% | 
 | 13   | Heatmor            |  0.19190% | 42     |  0.268% | 
 | 14   | Flareon            |  0.10441% | 103    |  0.656% | 
 | 15   | Carkol             |  0.07333% | 65     |  0.414% | 
 | 16   | Lampent            |  0.07175% | 11     |  0.070% | 
 | 17   | Litwick            |  0.04447% | 11     |  0.070% | 
 | 18   | Salandit           |  0.00005% | 1      |  0.006% | 
 | 19   | Raboot             |  0.00000% | 4      |  0.025% | 
 | 20   | Growlithe          |  0.00000% | 2      |  0.013% | 
 | 21   | Sizzlipede         |  0.00000% | 3      |  0.019% | 
 | 22   | Scorbunny          |  0.00000% | 2      |  0.013% | 
 | 23   | Charmeleon         |  0.00000% | 1      |  0.006% | 
 | 24   | Charmander         |  0.00000% | 6      |  0.038% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
