 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Noivern            | 11.39651% | 1229   | 11.397% | 
 | 2    | Xatu               | 10.19102% | 1099   | 10.191% | 
 | 3    | Rotom-Fan          |  9.51409% | 1026   |  9.514% | 
 | 4    | Corviknight        |  8.76298% | 945    |  8.763% | 
 | 5    | Togekiss           |  8.47552% | 914    |  8.476% | 
 | 6    | Hawlucha           |  7.53895% | 813    |  7.539% | 
 | 7    | Gyarados           |  6.37982% | 688    |  6.380% | 
 | 8    | Mandibuzz          |  5.68435% | 613    |  5.684% | 
 | 9    | Charizard          |  4.60868% | 497    |  4.609% | 
 | 10   | Pelipper           |  3.72774% | 402    |  3.728% | 
 | 11   | Butterfree         |  3.69065% | 398    |  3.691% | 
 | 12   | Cramorant          |  3.48665% | 376    |  3.487% | 
 | 13   | Sigilyph           |  3.25482% | 351    |  3.255% | 
 | 14   | Drifblim           |  2.35534% | 254    |  2.355% | 
 | 15   | Braviary           |  2.18843% | 236    |  2.188% | 
 | 16   | Ninjask            |  1.86387% | 201    |  1.864% | 
 | 17   | Delibird           |  1.71550% | 185    |  1.716% | 
 | 18   | Swoobat            |  1.31677% | 142    |  1.317% | 
 | 19   | Vespiquen          |  0.90875% | 98     |  0.909% | 
 | 20   | Mantine            |  0.89948% | 97     |  0.899% | 
 | 21   | Unfezant           |  0.87166% | 94     |  0.872% | 
 | 22   | Togetic            |  0.41728% | 45     |  0.417% | 
 | 23   | Silvally-Flying    |  0.34310% | 37     |  0.343% | 
 | 24   | Noctowl            |  0.33383% | 36     |  0.334% | 
 | 25   | Corvisquire        |  0.03709% | 4      |  0.037% | 
 | 26   | Tranquill          |  0.01855% | 2      |  0.019% | 
 | 27   | Natu               |  0.00927% | 1      |  0.009% | 
 | 28   | Pidove             |  0.00927% | 1      |  0.009% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
