 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Corsola-Galar      | 27.36362% | 13403  | 23.586% | 
 | 2    | Dragapult          | 19.78424% | 6607   | 11.627% | 
 | 3    | Froslass           | 10.44595% | 4706   |  8.281% | 
 | 4    | Runerigus          |  8.56335% | 6669   | 11.736% | 
 | 5    | Aegislash          |  8.37269% | 3228   |  5.680% | 
 | 6    | Gengar             |  6.05337% | 3353   |  5.900% | 
 | 7    | Polteageist        |  5.88070% | 4122   |  7.254% | 
 | 8    | Chandelure         |  3.84364% | 2520   |  4.435% | 
 | 9    | Mimikyu            |  2.74767% | 2867   |  5.045% | 
 | 10   | Dhelmise           |  2.07135% | 770    |  1.355% | 
 | 11   | Sableye            |  1.48612% | 1822   |  3.206% | 
 | 12   | Jellicent          |  0.85497% | 666    |  1.172% | 
 | 13   | Cursola            |  0.77716% | 965    |  1.698% | 
 | 14   | Golurk             |  0.72772% | 1012   |  1.781% | 
 | 15   | Cofagrigus         |  0.21483% | 1096   |  1.929% | 
 | 16   | Trevenant          |  0.20583% | 342    |  0.602% | 
 | 17   | Drifblim           |  0.11036% | 416    |  0.732% | 
 | 18   | Shedinja           |  0.09438% | 346    |  0.609% | 
 | 19   | Dusclops           |  0.09093% | 456    |  0.802% | 
 | 20   | Rotom              |  0.08319% | 475    |  0.836% | 
 | 21   | Gourgeist-Super    |  0.07584% | 208    |  0.366% | 
 | 22   | Doublade           |  0.04109% | 112    |  0.197% | 
 | 23   | Gourgeist-Large    |  0.03172% | 13     |  0.023% | 
 | 24   | Silvally-Ghost     |  0.03102% | 116    |  0.204% | 
 | 25   | Dusknoir           |  0.02929% | 374    |  0.658% | 
 | 26   | Gourgeist          |  0.01145% | 67     |  0.118% | 
 | 27   | Gourgeist-Small    |  0.00405% | 16     |  0.028% | 
 | 28   | Duskull            |  0.00243% | 18     |  0.032% | 
 | 29   | Haunter            |  0.00104% | 24     |  0.042% | 
 | 30   | Yamask-Galar       |  0.00001% | 15     |  0.026% | 
 | 31   | Drakloak           |  0.00000% | 9      |  0.016% | 
 | 32   | Gastly             |  0.00000% | 5      |  0.009% | 
 | 33   | Phantump           |  0.00000% | 1      |  0.002% | 
 | 34   | Yamask             |  0.00000% | 3      |  0.005% | 
 | 35   | Drifloon           |  0.00000% | 1      |  0.002% | 
 | 36   | Lampent            |  0.00000% | 1      |  0.002% | 
 | 37   | Litwick            |  0.00000% | 1      |  0.002% | 
 | 38   | Golett             |  0.00000% | 1      |  0.002% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
