 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Ferrothorn         | 28.98507% | 3785   | 30.848% | 
 | 2    | Rotom-Mow          | 23.19281% | 1681   | 13.700% | 
 | 3    | Roserade           | 15.79398% | 1316   | 10.725% | 
 | 4    | Rillaboom          |  8.93481% | 842    |  6.862% | 
 | 5    | Whimsicott         |  8.42842% | 1357   | 11.059% | 
 | 6    | Ludicolo           |  3.02926% | 397    |  3.236% | 
 | 7    | Appletun           |  2.40532% | 374    |  3.048% | 
 | 8    | Eldegoss           |  2.13186% | 272    |  2.217% | 
 | 9    | Shiftry            |  1.89055% | 306    |  2.494% | 
 | 10   | Dhelmise           |  1.84422% | 260    |  2.119% | 
 | 11   | Flapple            |  0.90026% | 313    |  2.551% | 
 | 12   | Silvally-Grass     |  0.64309% | 124    |  1.011% | 
 | 13   | Vileplume          |  0.53567% | 126    |  1.027% | 
 | 14   | Trevenant          |  0.23932% | 134    |  1.092% | 
 | 15   | Tsareena           |  0.22441% | 216    |  1.760% | 
 | 16   | Gourgeist-Super    |  0.18816% | 82     |  0.668% | 
 | 17   | Cottonee           |  0.16330% | 17     |  0.139% | 
 | 18   | Bellossom          |  0.14326% | 97     |  0.791% | 
 | 19   | Roselia            |  0.13138% | 38     |  0.310% | 
 | 20   | Abomasnow          |  0.12138% | 169    |  1.377% | 
 | 21   | Cherrim            |  0.03287% | 53     |  0.432% | 
 | 22   | Gloom              |  0.00943% | 8      |  0.065% | 
 | 23   | Shiinotic          |  0.00806% | 106    |  0.864% | 
 | 24   | Ferroseed          |  0.00773% | 10     |  0.081% | 
 | 25   | Gourgeist-Small    |  0.00745% | 22     |  0.179% | 
 | 26   | Leafeon            |  0.00542% | 52     |  0.424% | 
 | 27   | Gourgeist          |  0.00240% | 14     |  0.114% | 
 | 28   | Maractus           |  0.00008% | 84     |  0.685% | 
 | 29   | Applin             |  0.00003% | 2      |  0.016% | 
 | 30   | Gossifleur         |  0.00000% | 6      |  0.049% | 
 | 31   | Budew              |  0.00000% | 2      |  0.016% | 
 | 32   | Thwackey           |  0.00000% | 3      |  0.024% | 
 | 33   | Pumpkaboo-Super    |  0.00000% | 2      |  0.016% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
