 Total leads: 426134
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Hippowdon          | 31.60574% | 4360   | 35.116% | 
 | 2    | Mamoswine          | 13.48766% | 952    |  7.668% | 
 | 3    | Diggersby          | 10.05218% | 651    |  5.243% | 
 | 4    | Flygon             |  9.27799% | 864    |  6.959% | 
 | 5    | Seismitoad         |  7.69277% | 627    |  5.050% | 
 | 6    | Excadrill          |  7.36689% | 622    |  5.010% | 
 | 7    | Sandaconda         |  6.06899% | 829    |  6.677% | 
 | 8    | Runerigus          |  5.93998% | 1067   |  8.594% | 
 | 9    | Dugtrio            |  2.40568% | 722    |  5.815% | 
 | 10   | Gastrodon          |  1.42607% | 223    |  1.796% | 
 | 11   | Rhyperior          |  1.21836% | 168    |  1.353% | 
 | 12   | Steelix            |  1.09946% | 201    |  1.619% | 
 | 13   | Claydol            |  0.73602% | 361    |  2.908% | 
 | 14   | Quagsire           |  0.70083% | 152    |  1.224% | 
 | 15   | Silvally-Ground    |  0.21400% | 100    |  0.805% | 
 | 16   | Mudsdale           |  0.20303% | 140    |  1.128% | 
 | 17   | Golurk             |  0.19380% | 127    |  1.023% | 
 | 18   | Rhydon             |  0.13239% | 60     |  0.483% | 
 | 19   | Piloswine          |  0.07538% | 16     |  0.129% | 
 | 20   | Stunfisk-Galar     |  0.03725% | 92     |  0.741% | 
 | 21   | Onix               |  0.03441% | 7      |  0.056% | 
 | 22   | Yamask-Galar       |  0.01747% | 17     |  0.137% | 
 | 23   | Nincada            |  0.01170% | 4      |  0.032% | 
 | 24   | Whiscash           |  0.00103% | 22     |  0.177% | 
 | 25   | Pupitar            |  0.00091% | 1      |  0.008% | 
 | 26   | Wooper             |  0.00000% | 2      |  0.016% | 
 | 27   | Hippopotas         |  0.00000% | 12     |  0.097% | 
 | 28   | Swinub             |  0.00000% | 2      |  0.016% | 
 | 29   | Diglett            |  0.00000% | 4      |  0.032% | 
 | 30   | Drilbur            |  0.00000% | 9      |  0.072% | 
 | 31   | Palpitoad          |  0.00000% | 2      |  0.016% | 
 + ---- + ------------------ + --------- + ------ + ------- + 
